timestamp,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,com_x,com_y,com_z,contact_count,left_contact,right_contact,left_slip_m,right_slip_m,max_joint_error_deg,max_saturation_fraction,max_abs_actuator_force,left_ankle_pitch_target_deg,left_ankle_pitch_actual_deg,left_ankle_pitch_force
0.001,0.0,0.0,0.68,0.0,-0.0,0.0,0.005621692662336757,0.00025176609100720427,0.7124937672722609,0,0,0,0.0,0.0,2.155926453787578e-20,0.0,0.0,0.0,9.990795714845763e-25,0.0
0.010000000000000002,1.9196762381092467e-22,9.933307384784519e-22,0.6795585500000001,1.5297534932009651e-18,-0.0,0.0,0.005621692662336757,0.00025176609100720427,0.7120523172722608,0,0,0,0.0,0.0,2.277033620342342e-18,0.0,0.0,0.0,1.129820057562663e-18,0.0
0.02000000000000001,7.162898978820461e-22,4.1839882311657055e-21,0.6781361000000002,6.4231950880665525e-18,-0.0,0.0,0.005621692662336757,0.00025176609100720427,0.7106298672722612,0,0,0,0.0,0.0,7.109504598400365e-18,0.0,0.0,0.0,3.753558207104939e-18,0.0
0.03000000000000002,1.3217212911984505e-21,9.59400269132075e-21,0.6757326500000005,1.4554499665828756e-17,-0.0,0.0,0.005621692662336757,0.00025176609100720427,0.7082264172722612,0,0,0,0.0,0.0,1.2648759287448702e-17,0.0,0.0,0.0,6.746635301639428e-18,0.0
0.04000000000000003,6.080311246488183e-05,-1.0069373220139153e-07,0.6733737232680251,-6.926270584465195e-06,-0.011074315597941585,-8.371024747835168e-05,0.0056487811960750835,0.00025185072473199335,0.7058560544043333,20,1,1,6.036194918185822e-06,6.0264333125892285e-06,0.05891389559941685,0.0,0.0,0.0,-0.017285152840107107,0.0
0.05000000000000004,0.00027589287928080856,-2.7903211559602477e-07,0.6727442212241875,-2.6109168354355983e-05,-0.04729836218485834,-0.0003237025652673961,0.00574786197788695,0.00025215854586084507,0.7051854214988821,22,1,1,1.6253958936764713e-05,1.6222372254551953e-05,0.23616781457095762,0.0,0.0,0.0,-0.05992829958603669,0.0
0.060000000000000046,0.0005783326845833163,-3.2904154243780123e-07,0.6728552739260837,-4.744346827018585e-05,-0.09264703391823252,-0.000588702149825426,0.0058914757948058385,0.0002525848153093146,0.7052379081795866,22,1,1,2.2955472487532372e-05,2.290243203875763e-05,0.4839831750864833,0.0,0.0,0.0,-0.1113318417826414,0.0
0.07000000000000005,0.0009344980300523665,-2.578065339632524e-07,0.6731988151295606,-6.6532487759852e-05,-0.13935347288970884,-0.0008341166116668113,0.006065166620949543,0.0002530555166885261,0.7055120642053699,20,1,1,2.6306793665240725e-05,2.623574192498143e-05,0.7798830161344992,0.0,0.0,0.0,-0.16627625292831494,0.0
0.08000000000000006,0.0013310025383326122,-1.1827299606776621e-07,0.6735635863032106,-8.229514634475277e-05,-0.1845359503114264,-0.0010532381825037948,0.006262994481643884,0.00025353088186511573,0.7057997293869244,20,1,1,2.7712321136806063e-05,2.762675637370927e-05,1.1144406636896127,0.0,0.0,0.0,-0.2237306286776223,0.0
0.09000000000000007,0.0017639541015945026,4.591849391989332e-08,0.6738736874896996,-9.514154938111577e-05,-0.2276967391697751,-0.001251226491200404,0.006483135457706852,0.00025399353840098134,0.7060265339380722,20,1,1,2.831450300419765e-05,2.8217079448137116e-05,1.483896857822699,0.0,0.0,0.0,-0.2841144782040796,0.0
0.10000000000000007,0.0022337296491551652,2.0922515539420982e-07,0.6741112866839428,-0.00010582524352183075,-0.26946395687298785,-0.0014351308768082362,0.006725676035676471,0.00025443831495335545,0.7061755461746311,20,1,1,2.874827305357962e-05,2.8640849351141218e-05,1.8866234464356892,0.0,0.0,0.0,-0.348224176538737,0.0
0.11000000000000008,0.00274231111514956,3.6144538444080805e-07,0.6742785646618882,-0.0001155499200742111,-0.31091284810937536,-0.001611551662164609,0.006991426321052518,0.00025486730223195126,0.706249670691524,20,1,1,2.9468943585410405e-05,2.9352681205820538e-05,2.3218022811189485,0.0,0.0,0.0,-0.41701659567781585,0.0
