timestamp,pair,x,y,z,nx,ny,nz,normal_force,friction_force_1,friction_force_2,distance
0.002,floor<->15,-0.06940997321520215,0.18715010773024798,-5.04772161761223e-06,0.0,0.0,1.0,24.13736255083799,0.0007149780242876602,-0.6468999753737101,-1.0095443235223593e-05
0.002,floor<->16,-0.08440997325848386,0.16215010775627073,-5.073636602804729e-06,0.0,0.0,1.0,24.662879633724494,0.0012493790660981219,-0.6460096120756198,-1.0147273205608591e-05
0.002,floor<->17,-0.06940997338867916,0.08715010773024799,-5.048895453085497e-06,0.0,0.0,1.0,24.13473952385508,0.000714978084565665,-0.6433373273639873,-1.0097790906170127e-05
0.002,floor<->18,-0.08440997334522236,0.11215010775627074,-5.074223520541363e-06,0.0,0.0,1.0,24.66156813590834,0.0012493791104510876,-0.6442282861035844,-1.0148447041081858e-05
0.002,floor<->19,0.09059002678386423,0.18715010745267194,-4.774425336846397e-06,0.0,0.0,1.0,18.524934626775327,-0.004985224676150146,-0.6468970139986903,-9.548850673691926e-06
0.002,floor<->20,0.09059002661038722,0.08715010745267195,-4.775599172319664e-06,0.0,0.0,1.0,18.522311281965838,-0.004985224901924212,-0.6433344066616948,-9.55119834463846e-06
0.002,floor<->21,-0.039409973406201906,0.07715010767820249,-4.997769783991399e-06,0.0,0.0,1.0,23.082135536558482,-0.0003538203207922308,-0.6429804831503736,-9.99553956798193e-06
0.002,floor<->22,-0.039409973198029496,0.19715010767820246,-4.996361181423478e-06,0.0,0.0,1.0,23.08528324322045,-0.00035382032583974876,-0.6472556513943797,-9.992722362846089e-06
0.002,floor<->23,0.05059002659327293,0.07715010752206597,-4.844040626060184e-06,0.0,0.0,1.0,19.92514220245062,-0.003560186704653745,-0.6429788350386696,-9.6880812521195e-06
0.002,floor<->24,0.05059002680144535,0.19715010752206594,-4.842632023492263e-06,0.0,0.0,1.0,19.928290124285006,-0.0035601865159087254,-0.6472539757787228,-9.685264046983659e-06
0.002,floor<->38,-0.06940997667201253,-0.08715011568639697,-5.047471113675192e-06,0.0,0.0,1.0,24.069664091416794,0.0028147648204468467,-0.6419349020365459,-1.0094942227349517e-05
0.002,floor<->39,-0.08440997617923315,-0.11215011598201421,-5.072561921509386e-06,0.0,0.0,1.0,24.595994099692383,0.002350574930370719,-0.6427088447462728,-1.0145123843017904e-05
0.002,floor<->40,-0.06940997470124298,-0.1871501156863969,-5.045677903046594e-06,0.0,0.0,1.0,24.076948512282275,0.0028147647227712014,-0.645029491990277,-1.0091355806092321e-05
0.002,floor<->41,-0.08440997519384838,-0.16215011598201418,-5.0716653161916175e-06,0.0,0.0,1.0,24.5996362881558,0.00235057489974011,-0.6442561413694312,-1.0143330632382368e-05
0.002,floor<->42,0.09059002332705983,-0.08715011253314615,-4.775053935151749e-06,0.0,0.0,1.0,18.474984077039416,0.007766059922539981,-0.6419319938978933,-9.55010787030263e-06
0.002,floor<->43,0.09059002529782938,-0.18715011253314606,-4.773260724523151e-06,0.0,0.0,1.0,18.482268942584955,0.00776605946029818,-0.6450265498472927,-9.546521449045435e-06
0.002,floor<->44,-0.03940997450433995,-0.19715011509516236,-4.9944203610163135e-06,0.0,0.0,1.0,23.028663241691948,0.003743141249126225,-0.6453383662369587,-9.98884072203176e-06
0.002,floor<->45,-0.03940997686926341,-0.07715011509516245,-4.996572213767855e-06,0.0,0.0,1.0,23.0199218325909,0.0037431414522721695,-0.6416248661300878,-9.993144427534843e-06
0.002,floor<->46,0.05059002549513825,-0.19715011332145876,-4.84118569809254e-06,0.0,0.0,1.0,19.881653595533304,0.006528246372217161,-0.6453367018853573,-9.682371396184213e-06
0.002,floor<->47,0.050590023130214795,-0.07715011332145888,-4.843337550851021e-06,0.0,0.0,1.0,19.872911885349176,0.006528246822384176,-0.641623224774464,-9.686675101701174e-06
0.003,floor<->15,-0.0694099967245454,0.18715012444720727,-9.941905212257005e-06,0.0,0.0,1.0,24.093035146179048,0.0006767337037771881,-0.6449113225972285,-1.988381042451314e-05
0.003,floor<->16,-0.0844099967486636,0.16215012446194302,-9.999441676787277e-06,0.0,0.0,1.0,24.61298602815623,0.0011987593818005848,-0.6440435954070445,-1.9998883353573686e-05
0.003,floor<->17,-0.06940999682275054,0.08715012444720731,-9.944083953361202e-06,0.0,0.0,1.0,24.090369735712027,0.0006767338702973191,-0.6414312843445034,-1.9888167906721536e-05
0.003,floor<->18,-0.08440999679776619,0.11215012446194304,-1.0000531047339375e-05,0.0,0.0,1.0,24.611653380171305,0.001198759516004344,-0.6423035678430891,-2.0001062094677884e-05
0.003,floor<->19,0.09059000327083523,0.18715012429002606,-9.333992900225838e-06,0.0,0.0,1.0,18.540146408254312,-0.00489122004474396,-0.644888093711316,-1.8667985800450808e-05
0.003,floor<->20,0.09059000317263009,0.08715012429002611,-9.336171641330035e-06,0.0,0.0,1.0,18.537479843524824,-0.0048912208931310985,-0.6414082291981504,-1.8672343282659203e-05
0.003,floor<->21,-0.03940999683343718,0.07715012441773585,-9.830318268967339e-06,0.0,0.0,1.0,23.04888635412825,-0.00036730176133570325,-0.6410788002424797,-1.966063653793381e-05
0.003,floor<->22,-0.03940999671559101,0.19715012441773577,-9.827703779640914e-06,0.0,0.0,1.0,23.052085117602466,-0.00036730172080368106,-0.6452548060076593,-1.965540755928096e-05
0.003,floor<->23,0.05059000316396442,0.07715012432932142,-9.48836759344894e-06,0.0,0.0,1.0,19.925375160125736,-0.0034992855860700445,-0.6410658044398332,-1.8976735186897013e-05
0.003,floor<->24,0.0505900032818106,0.19715012432932136,-9.485753104122516e-06,0.0,0.0,1.0,19.928574705311647,-0.003499284857702456,-0.6452416926893259,-1.8971506208244164e-05
0.003,floor<->38,-0.069410002981013,-0.08715013975818084,-9.940713592926018e-06,0.0,0.0,1.0,24.024854199840206,0.0027832309744653116,-0.6399956468660948,-1.9881427185851168e-05
0.003,floor<->39,-0.08441000209715689,-0.11215014028824366,-9.996711927305266e-06,0.0,0.0,1.0,24.54553860019985,0.0023273514340367285,-0.6407576904230039,-1.9993423854609664e-05
0.003,floor<->40,-0.06940999944731023,-0.18715013975818062,-9.937438364865034e-06,0.0,0.0,1.0,24.031810589461344,0.0027832303985322326,-0.6430347766119109,-1.98748767297292e-05
0.003,floor<->41,-0.0844100003303055,-0.16215014028824354,-9.995074313274774e-06,0.0,0.0,1.0,24.549016716731945,0.00232735121012162,-0.6422772624171005,-1.999014862654868e-05
0.003,floor<->42,0.09058999701439578,-0.087150134104177,-9.33466408476434e-06,0.0,0.0,1.0,18.4897962860479,0.0076456728123357465,-0.6399727121511267,-1.8669328169527814e-05
0.003,floor<->43,0.09059000054809856,-0.1871501341041768,-9.331388856703357e-06,0.0,0.0,1.0,18.496754250738526,0.007645670963937867,-0.6430116954130671,-1.8662777713405847e-05
0.003,floor<->44,-0.03940999909480079,-0.19715013869805487,-9.823476559282437e-06,0.0,0.0,1.0,22.994633584599775,0.0036949754628299303,-0.6433341988208507,-1.9646953118564008e-05
0.003,floor<->45,-0.03941000333524414,-0.07715013869805515,-9.827406832951455e-06,0.0,0.0,1.0,22.98628554680668,0.0036949764559679465,-0.6396872769931337,-1.9654813665902042e-05
0.003,floor<->46,0.050590000902616644,-0.19715013551767774,-9.482573710943229e-06,0.0,0.0,1.0,19.881153990724183,0.006430106033668892,-0.643321170449008,-1.896514742188559e-05
0.003,floor<->47,0.050589996662173314,-0.07715013551767799,-9.486503984612246e-06,0.0,0.0,1.0,19.872804886101804,0.006430107889340064,-0.6396743477074862,-1.8973007969223625e-05
0.004,floor<->15,-0.06941006497114173,0.18715013936560637,-1.4685665612209839e-05,0.0,0.0,1.0,24.051008788545374,0.0006339198500198151,-0.6429095307070645,-2.937133122441881e-05
0.004,floor<->16,-0.08441006492142614,0.16215013933648526,-1.4779756182933465e-05,0.0,0.0,1.0,24.56578042718142,0.0011444385316199401,-0.6420650392369485,-2.9559512365866063e-05
0.004,floor<->17,-0.06941006477692534,0.0871501393656065,-1.4688694879074968e-05,0.0,0.0,1.0,24.048282319176067,0.0006339201428273711,-0.639506379490399,-2.9377389758149068e-05
0.004,floor<->18,-0.08441006482431795,0.11215013933648532,-1.478127081636603e-05,0.0,0.0,1.0,24.564417309562245,0.0011444387804901979,-0.6403634436203092,-2.956254163273119e-05
0.004,floor<->19,0.09058993501646921,0.18715013967623195,-1.3690110902802796e-05,0.0,0.0,1.0,18.553718478605838,-0.004810857616162956,-0.642845373434084,-2.7380221805604725e-05
0.004,floor<->20,0.0905899352106856,0.08715013967623209,-1.3693140169667925e-05,0.0,0.0,1.0,18.550989661271952,-0.004810859349070107,-0.6394426326041405,-2.7386280339334983e-05
0.004,floor<->21,-0.03941006475982664,0.07715013942384882,-1.4502331297750956e-05,0.0,0.0,1.0,23.0171461055647,-0.00038708000829501543,-0.6391536890701888,-2.9004662595501045e-05
0.004,floor<->22,-0.03941006499288631,0.19715013942384865,-1.4498696177511414e-05,0.0,0.0,1.0,23.020418422073437,-0.00038707987708974656,-0.6432373754426264,-2.899739235502196e-05
0.004,floor<->23,0.050589935233204514,0.07715013959857571,-1.3942331773706892e-05,0.0,0.0,1.0,19.924893468161926,-0.003449790044095735,-0.6391177552942402,-2.7884663547412918e-05
0.004,floor<->24,0.05058993500014486,0.19715013959857552,-1.393869665346735e-05,0.0,0.0,1.0,19.928167375303268,-0.0034497885393580674,-0.6432011640212982,-2.7877393306933833e-05
