receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,time_from_motion_start_seconds,source_time_ns,source_time_utc,meas_time_ns,frame_id,sequence,joint_index,joint_name,command_position,position,velocity,effort,coil_temp,motor_temp,motor_vol
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,2,left_shoulder_yaw_joint,,-0.008532524108886719,0.0061054229736328125,0.5567779541015625,53,48,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,3,left_elbow_joint,,-1.1739583015441895,-0.0061054229736328125,-1.377288818359375,54,51,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,4,left_wrist_yaw_joint,,0.012175559997558594,0.0061054229736328125,-0.26373291015625,59,53,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,5,left_wrist_pitch_joint,,0.00209808349609375,-0.0073261260986328125,-0.10158729553222656,53,0,25
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,6,left_wrist_roll_joint,,-0.01811981201171875,-0.0073261260986328125,0.5079383850097656,45,0,25
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,7,right_shoulder_pitch_joint,,0.3975830078125,0.0061054229736328125,0.3223419189453125,47,43,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,8,right_shoulder_roll_joint,,0.012942790985107422,-0.0061054229736328125,-1.377288818359375,49,45,54
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,9,right_shoulder_yaw_joint,,0.006040096282958984,0.0061054229736328125,-0.20513153076171875,53,48,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,10,right_elbow_joint,,-1.1712737083435059,0.0061054229736328125,-1.377288818359375,56,52,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,11,right_wrist_yaw_joint,,-0.00795745849609375,0.0061054229736328125,0.3223419189453125,61,54,53
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,12,right_wrist_pitch_joint,,0.00667572021484375,0.0073261260986328125,-0.14847564697265625,53,0,25
1786663939255858427,2026-08-13T23:32:19.255858+00:00,14076330953214,9.666388485,-4.923991297999999,1786663939204992090,2026-08-13T23:32:19.204992+00:00,0,x2_arm,7006770,13,right_wrist_roll_joint,,0.00591278076171875,-0.0073261260986328125,-0.21098899841308594,44,0,25
1786663939276566315,2026-08-13T23:32:19.276566+00:00,14076351660942,9.687096213,-4.903283569999999,1786663939224991674,2026-08-13T23:32:19.224992+00:00,0,x2_arm,7006780,0,left_shoulder_pitch_joint,,0.3939399719238281,-0.0061054229736328125,0.5567779541015625,50,47,53
1786663939276566315,2026-08-13T23:32:19.276566+00:00,14076351660942,9.687096213,-4.903283569999999,1786663939224991674,2026-08-13T23:32:19.224992+00:00,0,x2_arm,7006780,1,left_shoulder_roll_joint,,-0.012558937072753906,-0.0061054229736328125,1.2014617919921875,51,46,53
1786663939276566315,2026-08-13T23:32:19.276566+00:00,14076351660942,9.687096213,-4.903283569999999,1786663939224991674,2026-08-13T23:32:19.224992+00:00,0,x2_arm,7006780,2,left_shoulder_yaw_joint,,-0.008532524108886719,0.0061054229736328125,0.4981689453125,53,48,53
