normalized_phase,time_from_motion_start_seconds,joint_name,joint_index,baseline_position,position,position_relative_to_baseline,velocity,effort,source_time_ns,receive_wall_ns,receive_monotonic_ns
0.0,0.0,left_shoulder_pitch_joint,0,0.3939399719238281,0.3939399719238281,0.0,-0.018314361572265625,0.3223419189453125,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_shoulder_roll_joint,1,-0.012558937072753906,-0.011792182922363281,0.000766754150390625,0.06715583801269531,2.4322357177734375,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_shoulder_yaw_joint,2,-0.008532524108886719,-0.008532524108886719,0.0,0.03052520751953125,1.0256423950195312,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_elbow_joint,3,-1.1739583015441895,-1.1739583015441895,0.0,-0.0061054229736328125,-1.4358978271484375,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_wrist_yaw_joint,4,0.012175559997558594,0.012175559997558594,0.0,0.03052520751953125,0.02930450439453125,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_wrist_pitch_joint,5,0.00209808349609375,0.00209808349609375,0.0,-0.0073261260986328125,-0.10158729553222656,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,left_wrist_roll_joint,6,-0.01811981201171875,-0.01811981201171875,0.0,-0.0073261260986328125,0.3203926086425781,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_shoulder_pitch_joint,7,0.3975830078125,0.3975830078125,0.0,-0.0061054229736328125,0.08791351318359375,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_shoulder_roll_joint,8,0.012942790985107422,0.012175559997558594,-0.0007672309875488281,-0.09157562255859375,-2.6080551147460938,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_shoulder_yaw_joint,9,0.006040096282958984,0.006040096282958984,0.0,0.0061054229736328125,-0.7912063598632812,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_elbow_joint,10,-1.1712737083435059,-1.1712737083435059,0.0,0.0061054229736328125,-1.4945068359375,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_wrist_yaw_joint,11,-0.00795745849609375,-0.00795745849609375,0.0,-0.03052520751953125,0.02930450439453125,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_wrist_pitch_joint,12,0.00667572021484375,0.00667572021484375,0.0,0.0073261260986328125,-0.14847564697265625,1786663944128650926,1786663944179849948,14081254944512
0.0,0.0,right_wrist_roll_joint,13,0.00591278076171875,0.00591278076171875,0.0,-0.0073261260986328125,-0.03907203674316406,1786663944128650926,1786663944179849948,14081254944512
0.003664532061807829,0.020739115000001362,left_shoulder_pitch_joint,0,0.3939399719238281,0.39374828338623047,-0.00019168853759765625,-0.04273414611816406,0.14652252197265625,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_shoulder_roll_joint,1,-0.012558937072753906,-0.008724212646484375,0.0038347244262695312,0.1770458221435547,3.0183181762695312,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_shoulder_yaw_joint,2,-0.008532524108886719,-0.007765293121337891,0.0007672309875488281,0.05494499206542969,1.26007080078125,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_elbow_joint,3,-1.1739583015441895,-1.1739583015441895,0.0,-0.0061054229736328125,-1.4945068359375,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_wrist_yaw_joint,4,0.012175559997558594,0.012558937072753906,0.0003833770751953125,0.07936477661132812,0.14652252197265625,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_wrist_pitch_joint,5,0.00209808349609375,0.00209808349609375,0.0,-0.0073261260986328125,-0.10158729553222656,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,left_wrist_roll_joint,6,-0.01811981201171875,-0.01850128173828125,-0.0003814697265625,-0.0073261260986328125,0.19536209106445312,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_shoulder_pitch_joint,7,0.3975830078125,0.3975830078125,0.0,-0.018314361572265625,-0.14652252197265625,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_shoulder_roll_joint,8,0.012942790985107422,0.009299278259277344,-0.003643512725830078,-0.1892547607421875,-3.3113555908203125,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_shoulder_yaw_joint,9,0.006040096282958984,0.0054645538330078125,-0.0005755424499511719,-0.06715583801269531,-0.9670333862304688,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_elbow_joint,10,-1.1712737083435059,-1.1712737083435059,0.0,0.0061054229736328125,-1.4358978271484375,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_wrist_yaw_joint,11,-0.00795745849609375,-0.008724212646484375,-0.000766754150390625,-0.07936477661132812,-0.08791351318359375,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_wrist_pitch_joint,12,0.00667572021484375,0.00667572021484375,0.0,0.0073261260986328125,-0.16410446166992188,1786663944150650759,1786663944200588744,14081275683627
0.003664532061807829,0.020739115000001362,right_wrist_roll_joint,13,0.00591278076171875,0.00629425048828125,0.0003814697265625,0.021978378295898438,0.07033157348632812,1786663944150650759,1786663944200588744,14081275683627
0.007609046497001005,0.043062767000000335,left_shoulder_pitch_joint,0,0.3939399719238281,0.39298105239868164,-0.0009589195251464844,-0.05494499206542969,-0.02930450439453125,1786663944172647676,1786663944222912652,14081298007279
0.007609046497001005,0.043062767000000335,left_shoulder_roll_joint,1,-0.012558937072753906,-0.0023965835571289062,0.010162353515625,0.34798622131347656,3.4285736083984375,1786663944172647676,1786663944222912652,14081298007279
0.007609046497001005,0.043062767000000335,left_shoulder_yaw_joint,2,-0.008532524108886719,-0.006231784820556641,0.002300739288330078,0.11599540710449219,1.5531158447265625,1786663944172647676,1786663944222912652,14081298007279
