experiment,joint_name,real_pre_mean_rad,sim_target_mean_rad,sim_settled_mean_rad,settled_minus_real_rad,classification
fixed_baseline,left_ankle_pitch_joint,-0.2727570533752441,-0.2727570533752441,-0.27275705337524625,-2.1649348980190553e-15,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,right_ankle_pitch_joint,-0.2949991226196289,-0.2949991226196289,-0.29499912261962563,3.2751579226442118e-15,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,left_hip_pitch_joint,-0.3007521629333496,-0.3007521629333496,-0.30075216293357904,-2.294275880387886e-13,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,right_hip_pitch_joint,-0.2568421363830566,-0.2570338249206543,-0.2570338249208495,-0.00019168853779288897,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,left_knee_joint,0.5036177635192871,0.5036177635192871,0.503617763519288,8.881784197001252e-16,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,right_knee_joint,0.4803366738316036,0.48041677474975575,0.4804167747497652,8.010091816157416e-05,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,waist_pitch_joint,-0.030836192020741202,-0.0309069952289138,-0.030906994890094353,-7.080286935315025e-05,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_baseline,waist_roll_joint,-0.0010051460594627,-0.0010823870317433,-0.001082387655438814,-7.724159597611419e-05,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,left_ankle_pitch_joint,-0.2727570533752441,-0.2727570533752441,-0.2727570533752466,-2.4980018054066022e-15,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,right_ankle_pitch_joint,-0.2949991226196289,-0.2949991226196289,-0.2949991226196255,3.3861802251067274e-15,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,left_hip_pitch_joint,-0.3007521629333496,-0.3007521629333496,-0.30075216293357915,-2.295386103412511e-13,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,right_hip_pitch_joint,-0.2568421363830566,-0.2570338249206543,-0.2570338249208498,-0.00019168853779322204,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,left_knee_joint,0.5036177635192871,0.5036177635192871,0.503617763519288,8.881784197001252e-16,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
fixed_interp_zoh,right_knee_joint,0.4803366738316036,0.48041677474975575,0.4804167747497652,8.010091816157416e-05,SIMULATION_REFERENCE_ALIGNMENT_NOT_HARDWARE_ZERO_CALIBRATION
