experiment,parent,changed_category,classification,free_base,interpolation,reference_rate_hz,controller_rate_hz,timestep_s,shoulder_gain_scale,wrist_gain_scale,balance_gain_scale,standing_reference_scale,velocity_limit_rad_s,mean_arm_rmse_rad,mean_arm_mae_rad,median_arm_lag_s,mean_abs_equilibrium_error_rad,mean_balance_relative_rmse_rad,stable_no_fall,minimum_limit_margin_rad,maximum_ctrl_saturation_fraction,persistent_saturation_sample_fraction,self_collision_samples,nonfoot_ground_contact_samples,both_feet_contact_fraction,warning
fixed_wrists_scale_4p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,4.0,1.0,0.0,,0.21146890535531077,0.13950205800063953,0.22999999999999998,5.247924009998717e-05,,True,0.047956485944481216,0.28653391315352916,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_6p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,6.0,1.0,0.0,,0.19822479137749105,0.1297666805439064,0.21,5.247924004511684e-05,,True,0.04795648347587614,0.2907152858945207,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_8p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,8.0,1.0,0.0,,0.18990175303728252,0.12389823897888166,0.2,5.2479239999205375e-05,,True,0.047956482339828674,0.2944652634476544,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_arm_pd_candidate,fixed_baseline,per-joint simulation arm PD bandwidth,ACCEPTED_SIM_CONTROLLER_ALIGNMENT,False,linear,50.0,1000.0,0.001,8.0,8.0,1.0,0.0,,0.1110113442000556,0.0692529565895108,0.13,5.247923999644204e-05,,True,0.04795252047993873,0.29264787353973537,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
free_baseline,none,none,DIAGNOSTIC_ONLY,True,linear,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.27062219709194724,0.18958618909758418,0.31,0.04755886865581983,0.021136489979705825,True,0.047956547078721365,0.40615079338276155,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_arm_pd_candidate,free_baseline,per-joint simulation arm PD bandwidth,DIAGNOSTIC_ONLY,True,linear,50.0,1000.0,0.001,8.0,8.0,1.0,0.0,,0.11102739679213516,0.0692686821541755,0.13,0.04755907139003418,0.02342315736079445,True,0.04795254409867311,0.4528824969907857,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_balance_scale_0p5,free_arm_pd_candidate,simulation balance gains,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.5,0.0,,0.17829446210021122,0.11349833589508158,0.1,0.040771247505490285,0.1814216109352804,False,-0.08486650971267162,1.0,0.09789518900343643,676,661,0.5682989690721649,NOT HARDWARE CALIBRATION
free_balance_scale_0p6,free_arm_pd_candidate,simulation balance gains,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.6,0.0,,0.11101553725313751,0.06926473023176691,0.13,0.04446025697985117,0.017151209106697814,True,0.04795243410953729,0.47769778399687557,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_balance_scale_0p7,free_arm_pd_candidate,simulation balance gains,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,0.0,,0.11101182206845642,0.06926312338648677,0.13,0.04592188164631658,0.019638484267642836,True,0.04795251769802488,0.4634728289302724,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_balance_scale_0p8,free_arm_pd_candidate,simulation balance gains,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.8,0.0,,0.11101010470420108,0.0692592260091852,0.13,0.04667858587890565,0.01904987626569894,True,0.047952529738050816,0.40057982188026325,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_standing_reference_scale_0p25,free_balance_scale_0p7,simulation standing equilibrium targets,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,0.25,,0.11101249589719552,0.06926300226823631,0.13,0.031214619488634066,0.019326746186596567,True,0.04795252150126219,0.4159321908639818,0.0,0,0,0.9987113402061856,NOT HARDWARE CALIBRATION
free_standing_reference_scale_0p5,free_balance_scale_0p7,simulation standing equilibrium targets,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,0.5,,0.11101342252120683,0.06926291438810793,0.13,0.017247403711800523,0.018849124607664254,True,0.04795251133385727,0.37345455034809405,0.0,0,0,0.9993556701030928,NOT HARDWARE CALIBRATION
free_standing_reference_scale_0p75,free_balance_scale_0p7,simulation standing equilibrium targets,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,0.75,,0.1110140502936983,0.06926311943592933,0.13,0.014218536751119944,0.01845406820705011,True,0.04795252180483274,0.3731364748507433,0.0,0,0,0.9993556701030928,NOT HARDWARE CALIBRATION
free_standing_reference_scale_1p0,free_balance_scale_0p7,simulation standing equilibrium targets,REJECTED,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,1.0,,0.11101432021054436,0.06926327119505306,0.13,0.014733056818576139,0.017958577867441358,True,0.04795251030533458,0.37673494388116174,0.0,0,0,0.9993556701030928,NOT HARDWARE CALIBRATION
free_final_candidate,free_standing_reference_scale_1p0,simulation standing equilibrium targets,ACCEPTED_SIM_CONTROLLER_ALIGNMENT,True,linear,50.0,1000.0,0.001,8.0,8.0,0.7,1.0,,0.11101432021054436,0.06926327119505306,0.13,0.014733056818576139,0.017958577867441358,True,0.04795251030533458,0.37673494388116174,0.0,0,0,0.9993556701030928,NOT HARDWARE CALIBRATION
