experiment,joint_name,real_excursion_rad,sim_excursion_rad,excursion_ratio,relative_rmse_rad,phase_lag_s,shape_correlation,peak_timing_difference_s,real_recovery_s,sim_recovery_s,mapping_status
free_baseline,left_ankle_pitch_joint,0.04620965483869738,0.0731328119321738,1.582630560376533,0.027484769301948212,1.0,0.23346462145723615,-0.4199999999997672,0.010203230000776387,,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,right_ankle_pitch_joint,0.0320215225219726,0.0721859720180793,2.254295434220736,0.024009016025685958,-0.42,0.3472849368604743,-0.3999999999997783,0.010203230000776387,0.010203230000776387,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,left_hip_pitch_joint,0.03565635734796191,0.048237856054406,1.3528542914146906,0.021390626271139686,1.0,0.29468254885743866,-2.300000000001072,0.010203230000776387,,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,right_hip_pitch_joint,0.04103374481201166,0.05245878451134281,1.2784303443829659,0.02728794181138763,1.0,0.26711005424078066,-2.200000000000879,0.010203230000776387,0.010203230000776387,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,left_knee_joint,0.007477760314941406,0.08885580396140902,11.88267612481041,0.02478228287024312,0.56,0.3786881983732039,-2.340000000001014,,0.6102032300015097,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,right_knee_joint,0.023776531219482477,0.08161648731797178,3.4326490506359173,0.024993384583461477,0.42,0.33989377840136403,-0.239999999999867,0.010203230000776387,,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,waist_pitch_joint,0.032339343251161,0.0407446901409262,1.2599108715500413,0.015930602572615107,-0.36,0.2893418509859835,1.9000000000013295,0.010203230000776387,0.010203230000776387,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_baseline,waist_roll_joint,0.010208618397005566,0.00040528146403999996,0.0396999327704206,0.0032132964011654165,-0.48,0.36457380310421006,0.899999999999574,0.010203230000776387,0.010203230000776387,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_arm_pd_candidate,left_ankle_pitch_joint,0.04620965483869738,0.07882711153508026,1.705858046554116,0.0313747425057622,1.0,0.3585308337718876,2.4190000000020353,0.010203230000776387,,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
free_arm_pd_candidate,right_ankle_pitch_joint,0.0320215225219726,0.07668314376840335,2.394737592998107,0.027512948416005108,1.0,0.3599706098699858,-0.4999999999997229,0.010203230000776387,,IDENTITY_NAME_CANDIDATE_UNVERIFIED_SIGN_ZERO_RELATIVE_MOTION_ONLY
