experiment,real_imu,quantity,real_relative_excursion,sim_relative_excursion,excursion_ratio,relative_rmse,phase_lag_s,shape_correlation,comparison_scope
free_baseline,chest,relative_roll,0.011442744235855805,0.0068613944131326,0.5996283995960026,0.0032972111490741666,-0.9200000000011244,0.45710693732165003,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_baseline,chest,relative_pitch,0.024709938768634435,0.0714045919652794,2.889711408589844,0.021901473904206298,0.4600000000005622,0.8925098445613435,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_baseline,chest,gyro_norm,0.10167963125425863,0.15143687320650942,1.4893530920448417,0.0645440215812982,0.5000000000006111,0.4956534638581619,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_baseline,torso,relative_roll,0.0039553389833458024,0.0068613944131326,1.734717161290833,0.0022177023342909476,1.0000000000012221,0.22277074911938088,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_baseline,torso,relative_pitch,0.04689364454739085,0.0714045919652794,1.522692310535124,0.022149582215710062,0.3400000000004155,0.6758878128249926,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_baseline,torso,gyro_norm,0.11067325706058972,0.15143687320650942,1.3683239946900907,0.06884903119648676,0.36000000000043997,0.6429063945035601,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,chest,relative_roll,0.011442744235855805,0.002404338890703201,0.21011907992920198,0.002402198492122977,0.6600000000008066,0.5770087069399727,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,chest,relative_pitch,0.024709938768634435,0.0690906322546147,2.796066509979171,0.02430902263092493,0.54000000000066,0.5168089569674171,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,chest,gyro_norm,0.10167963125425863,0.138705617289209,1.3641435907882447,0.04456650298876787,0.4600000000005622,0.5126620428419391,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,torso,relative_roll,0.0039553389833458024,0.002404338890703201,0.6078717654357357,0.0019257289649620168,-1.0000000000012221,0.09630833044626139,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,torso,relative_pitch,0.04689364454739085,0.0690906322546147,1.4733474636374555,0.02457427484251785,0.40000000000048885,0.5353170877336324,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
free_final_candidate,torso,gyro_norm,0.11067325706058972,0.138705617289209,1.2532893760709738,0.04489735372573708,0.26000000000031775,0.42202663454496187,RELATIVE_MOTION_AUXILIARY_ONLY_IMU_TRANSFORM_PARTIAL
