sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,gyro_norm,left_foot_slip_proxy_m,right_foot_slip_proxy_m,left_foot_contact,right_foot_contact,nonfoot_ground_contact_count,self_collision_contact_count,max_contact_penetration_m
0.001,-13.769379783,0.0,0.0,0.68,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.02000000000000001,-13.750379783,3.161034914061794e-05,3.3074200184059196e-07,0.6798007642864698,-5.469131110199646e-07,5.1440286277289494e-05,1.3012390895885597e-06,0.005199531588506693,9.819425440981066e-06,5.933371159024301e-06,0,0,0,0,0.0
0.04000000000000003,-13.730379783,0.00013449022001610177,1.1811798016487257e-06,0.6795470347686802,-1.8608004904374143e-06,0.0002081497498422467,1.1160441280696788e-06,0.009993253172224369,1.9173341169404225e-05,1.3232767798630076e-05,0,0,0,0,0.0
0.060000000000000046,-13.710379782999999,0.0002935494656757823,2.616382249355339e-06,0.6794407936798,-3.994914424990958e-06,0.000443206670078261,5.038462630069469e-07,0.013053390298960812,2.8403028714168236e-05,2.326209090324313e-05,0,0,0,0,0.0
0.08000000000000006,-13.690379783,0.000484234735001146,4.709320990086327e-06,0.6794377671760052,-7.066537469978174e-06,0.0007219577686661189,3.6245986851467975e-07,0.014532422815898968,4.49729844754567e-05,4.098222308418067e-05,0,0,0,0,0.0
0.10000000000000007,-13.670379783,0.0006872433164592654,7.408922815274461e-06,0.6794685384370098,-1.1014911912849642e-05,0.001017946808523676,4.56410910207808e-07,0.014925590789096669,6.94086414187247e-05,6.584406722086935e-05,0,0,0,0,0.0
0.12000000000000009,-13.650379783,0.0008931246426258268,1.0509007885953091e-05,0.6795062352942458,-1.5542808490826697e-05,0.0013181940843639544,4.80986849505209e-07,0.015028305092006262,9.835759400417146e-05,9.463298231940678e-05,0,0,0,0,0.0
0.1400000000000001,-13.630379782999999,0.0010961096104863334,1.3738541590336819e-05,0.6795426381458798,-2.025770556014022e-05,0.0016144214301433326,3.700125884254373e-07,0.014504411475330959,0.00012917356670079177,0.00012497525224016478,0,0,0,0,0.0
0.16000000000000011,-13.610379782999999,0.0012866649596705625,1.690798566204187e-05,0.6795719322653966,-2.4887013660455844e-05,0.001892655201351513,1.8292376373399504e-07,0.013258795849094375,0.0001600009923268003,0.0001551760885697413,0,0,0,0,0.0
0.18000000000000013,-13.590379783,0.0014555590493346587,1.9912589989712116e-05,0.6795900542402996,-2.9279863478526096e-05,0.0021394082512082324,-1.4860993233332663e-08,0.011444284377142877,0.00018911831960165834,0.00018363122757410533,0,0,0,0,0.0
0.20000000000000015,-13.570379783,0.0015972089588048627,2.2661189907804572e-05,0.6795993370422736,-3.3301298999983984e-05,0.0023464942029116846,-1.8998457281133376e-07,0.00934335705066019,0.0002149299681304072,0.00020888035037241014,0,0,0,0,0.0
0.22000000000000017,-13.550379782999999,0.0017091815271447343,2.5061111150506062e-05,0.6796036308758526,-3.6813741201510156e-05,0.002510298559787642,-3.218567576728052e-07,0.007148036421870202,0.00023647881053853409,0.0002300276229009182,0,0,0,0,0.0
0.24000000000000019,-13.530379782999999,0.0017912849915127267,2.7030755820220257e-05,0.6796054819930981,-3.9696681564475594e-05,0.002630488827186883,-4.054226609231671e-07,0.004998869130897955,0.00025340175171524766,0.0002467073086563497,0,0,0,0,0.0
0.2600000000000002,-13.510379783,0.001844920103377676,2.8507625963071436e-05,0.6796062411882451,-4.185822978419033e-05,0.0027090738543651557,-4.4765951423827313e-07,0.002992694763701597,0.00026572002705485656,0.0002589146612069628,0,0,0,0,0.0
0.2800000000000002,-13.490379783,0.001872531773553809,2.9453698838642178e-05,0.6796065542103207,-4.3242671733667785e-05,0.0027496009955191598,-4.5958581047821246e-07,0.001189718491457225,0.0002736899800206607,0.000266877415791271,0,0,0,0,0.0
0.3000000000000002,-13.470379782999998,0.0018771659129548648,2.985808827081478e-05,0.6796067087384962,-4.383415229248616e-05,0.0027565056954493962,-4.5113078281387094e-07,0.0003795075191697015,0.0002777087825350892,0.00027096820436869613,0,0,0,0,0.0
0.32000000000000023,-13.450379782999999,0.0018621373333458466,2.9737096123073697e-05,0.679606824052566,-4.3656636253468236e-05,0.0027346238702232297,-4.294595829258523e-07,0.0017020025156286123,0.0002782512133403815,0.0002716422092064147,0,0,0,0,0.0
0.34000000000000025,-13.430379783,0.0018307300906458253,2.9132981611781474e-05,0.6796069440441054,-4.277209412748e-05,0.002688749530035598,-3.9930880645155787e-07,0.0028165867470527003,0.0002758249979833346,0.0002693919478527598,0,0,0,0,0.0
