sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-2.999,left,0.0015233686278937277,0,
0.001,-2.999,right,0.0,0,
0.02000000000000001,-2.98,left,0.0017014724827051906,0,
0.02000000000000001,-2.98,right,0.0,0,
0.04000000000000003,-2.96,left,0.0020614845488284976,0,
0.04000000000000003,-2.96,right,0.0014367760042294678,0,
0.060000000000000046,-2.94,left,0.0020978944730468065,0,
0.060000000000000046,-2.94,right,0.0013229490033351277,0,
0.08000000000000006,-2.92,left,0.0020716969166114834,0,
0.08000000000000006,-2.92,right,0.0,0,
0.10000000000000007,-2.9,left,0.002147092602867517,0,
0.10000000000000007,-2.9,right,0.0012148878058076446,0,
0.12000000000000009,-2.88,left,0.0022103339931658812,0,
0.12000000000000009,-2.88,right,0.0,0,
0.1400000000000001,-2.86,left,0.002201969721525459,0,
0.1400000000000001,-2.86,right,0.0011510731341478465,0,
0.16000000000000011,-2.84,left,0.002170522841695104,0,
0.16000000000000011,-2.84,right,0.0011833299611715559,0,
0.18000000000000013,-2.82,left,0.0021367573376253634,0,
0.18000000000000013,-2.82,right,0.0012198230333652948,0,
0.20000000000000015,-2.8,left,0.002102870887382499,0,
0.20000000000000015,-2.8,right,0.001257678649531876,0,
0.22000000000000017,-2.78,left,0.0020684041661363584,0,
0.22000000000000017,-2.78,right,0.0012971186169233905,0,
0.24000000000000019,-2.76,left,0.0020340410822722904,0,
0.24000000000000019,-2.76,right,0.0,0,
0.2600000000000002,-2.7399999999999998,left,0.0,0,
0.2600000000000002,-2.7399999999999998,right,0.001376161726238789,0,
0.2800000000000002,-2.7199999999999998,left,0.001967748671966082,0,
0.2800000000000002,-2.7199999999999998,right,0.0014154652709384163,0,
0.3000000000000002,-2.6999999999999997,left,0.001933257653363542,0,
0.3000000000000002,-2.6999999999999997,right,0.0,0,
0.32000000000000023,-2.6799999999999997,left,0.0018957031307112193,0,
0.32000000000000023,-2.6799999999999997,right,0.001499672833084437,0,
0.34000000000000025,-2.6599999999999997,left,0.0018499581618235327,0,
0.34000000000000025,-2.6599999999999997,right,0.0015510541951050804,0,
0.36000000000000026,-2.6399999999999997,left,0.0017953405337237111,0,
0.36000000000000026,-2.6399999999999997,right,0.0016107205151170794,0,
0.3800000000000003,-2.6199999999999997,left,0.0017328552692301431,0,
0.3800000000000003,-2.6199999999999997,right,0.0016775562785806837,0,
0.4000000000000003,-2.5999999999999996,left,0.0016634696595511876,0,
0.4000000000000003,-2.5999999999999996,right,0.0017505187088887532,0,
0.4200000000000003,-2.5799999999999996,left,0.0015893428439127763,0,
