sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-2.999,left,0.0015233686278937277,0,
0.001,-2.999,right,0.0,0,
0.02000000000000001,-2.98,left,0.0017015614411989904,0,
0.02000000000000001,-2.98,right,0.001866579904926644,0,
0.04000000000000003,-2.96,left,0.0020615583546830683,0,
0.04000000000000003,-2.96,right,0.0014358474292962811,0,
0.060000000000000046,-2.94,left,0.002098820249956996,0,
0.060000000000000046,-2.94,right,0.0013215683169374404,0,
0.08000000000000006,-2.92,left,0.002085602130592263,0,
0.08000000000000006,-2.92,right,0.0012911637051588865,0,
0.10000000000000007,-2.9,left,0.0021875850684739055,0,
0.10000000000000007,-2.9,right,0.001173612035193323,0,
0.12000000000000009,-2.88,left,0.0022406613676615437,0,
0.12000000000000009,-2.88,right,0.0,0,
0.1400000000000001,-2.86,left,0.0022291436620622907,0,
0.1400000000000001,-2.86,right,0.0011203413060924723,0,
0.16000000000000011,-2.84,left,0.0022045485210094124,0,
0.16000000000000011,-2.84,right,0.0011446252447522448,0,
0.18000000000000013,-2.82,left,0.0021807264798356634,0,
0.18000000000000013,-2.82,right,0.0011698308159571568,0,
0.20000000000000015,-2.8,left,0.002157049426348686,0,
0.20000000000000015,-2.8,right,0.0011961088646893772,0,
0.22000000000000017,-2.78,left,0.0021326345694828407,0,
0.22000000000000017,-2.78,right,0.00122376088543604,0,
0.24000000000000019,-2.76,left,0.00210740893541007,0,
0.24000000000000019,-2.76,right,0.0012518540214010313,0,
0.2600000000000002,-2.7399999999999998,left,0.0020803006621394797,0,
0.2600000000000002,-2.7399999999999998,right,0.0012810886258312418,0,
0.2800000000000002,-2.7199999999999998,left,0.002047659946691775,0,
0.2800000000000002,-2.7199999999999998,right,0.0013152923783013787,0,
0.3000000000000002,-2.6999999999999997,left,0.0020079913656556743,0,
0.3000000000000002,-2.6999999999999997,right,0.0013561827156460301,0,
0.32000000000000023,-2.6799999999999997,left,0.0019643851818973213,0,
0.32000000000000023,-2.6799999999999997,right,0.0014009989043009211,0,
0.34000000000000025,-2.6599999999999997,left,0.001918948546393797,0,
0.34000000000000025,-2.6599999999999997,right,0.0014479841103223483,0,
0.36000000000000026,-2.6399999999999997,left,0.0018723900809961905,0,
0.36000000000000026,-2.6399999999999997,right,0.0014965162210001355,0,
0.3800000000000003,-2.6199999999999997,left,0.0018244990142436484,0,
0.3800000000000003,-2.6199999999999997,right,0.0015468229286743447,0,
0.4000000000000003,-2.5999999999999996,left,0.0017758238780104145,0,
0.4000000000000003,-2.5999999999999996,right,0.0015982511179084805,0,
