sim_time,t,joint_name,input_mode,reference_position,reference_velocity,target_position,position,velocity,ctrl_saturation_fraction,limit_margin_rad
0.001,-4.999,head_yaw_joint,STANDING_TARGET,0.0001437664031982,0.0030689239501953,0.0001437664031982,0.00014377298621600452,6.58301780451093e-06,0.00010647975093442591,0.348922227013784
0.001,-4.999,left_ankle_pitch_joint,STANDING_TARGET,-0.270456314086914,0.0061054229736328,-0.23197550882432377,-0.2703812148850669,0.07509920184713179,0.058639386783778336,0.5324697851149331
0.001,-4.999,left_ankle_roll_joint,STANDING_TARGET,0.0121755599975585,0.0061054229736328,0.0121755599975585,0.012175360768006311,-0.00019922955218911573,0.00015720247513463978,0.24962363923199368
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-0.0061054229736328,-1.172232151031494,-1.1722324279688285,-0.0002769373345228522,0.06901447838998871,1.1722324279688285
0.001,-4.999,left_hip_pitch_joint,STANDING_TARGET,-0.3268289566040039,-0.0061054229736328,-0.2899710669632994,-0.32678172747240525,0.047229131598664764,0.0028710598208183734,2.2301262725275945
0.001,-4.999,left_hip_roll_joint,STANDING_TARGET,-0.0213799476623535,-0.0061054229736328,0.003620052337646503,-0.021376754514933684,0.0031931474198144904,0.025279477082521786,0.21424224548506632
0.001,-4.999,left_hip_yaw_joint,STANDING_TARGET,9.584426879882812e-05,0.0061054229736328,9.584426879882812e-05,9.800857987273737e-05,0.002164311073909245,0.00022103383932540246,1.6843400085798728
0.001,-4.999,left_knee_joint,STANDING_TARGET,0.5220255851745605,-0.0061054229736328,0.41769063712644927,0.5218929058680909,-0.1326793064696994,0.09645983229864068,0.5218929058680909
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3956656455993652,-0.0061054229736328,0.3956656455993652,0.3956701222098358,0.004476610470614721,0.00459865882139466,1.6376388777901643
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0146684646606445,-0.0061054229736328,-0.0146684646606445,-0.014668375229592037,8.943105246318745e-05,0.03448572135779542,0.046418624770407965
0.001,-4.999,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.009490966796875,0.0061054229736328,-0.009490966796875,-0.009490742138744523,0.00022465813047665612,0.020813618903841313,2.5474172578612553
0.001,-4.999,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0013351440429687,-0.0073261260986328,0.0013351440429687,0.0013350781709947916,-6.587197390827243e-05,0.09112687389355986,0.5746239218290052
0.001,-4.999,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0043869018554687,-0.0073261260986328,-0.0043869018554687,-0.0043868911131114225,1.0742357277204564e-05,0.01910453665736727,0.7286988911131114
0.001,-4.999,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0062317848205566,0.0061054229736328,0.0062317848205566,0.0062317832672211535,-1.5533354462846753e-06,0.0004343724773005024,2.550676216732779
0.001,-4.999,right_ankle_pitch_joint,STANDING_TARGET,-0.3164749145507812,-0.0061054229736328,-0.2505623404374831,-0.3163614497016597,0.11346484912152187,0.10048996669826403,0.4864895502983403
0.001,-4.999,right_ankle_roll_joint,STANDING_TARGET,0.0058479309082031,0.0061054229736328,0.0058479309082031,0.0058479476991589435,1.679095584324167e-05,0.00037866265294900225,0.2559510523008411
0.001,-4.999,right_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1722326278686523,0.0061054229736328,-1.1722326278686523,-1.1722328962317432,-0.00026836309094956085,0.068395676914406,1.1722328962317432
0.001,-4.999,right_hip_pitch_joint,STANDING_TARGET,-0.2298059463500976,0.0061054229736328,-0.21750100844621423,-0.22976087320604802,0.04507314404958386,0.004976312105976129,2.327147126793952
0.001,-4.999,right_hip_roll_joint,STANDING_TARGET,0.0116004943847656,-0.0061054229736328,0.0116004943847656,0.011600561586388019,6.720162241828587e-05,0.0012682410409235315,0.22401843841361196
0.001,-4.999,right_hip_yaw_joint,STANDING_TARGET,-0.0033555030822753,0.0061054229736328,-0.0033555030822753,-0.0033552718928639524,0.00023118941134740083,7.256549941691549e-05,1.687597271892864
0.001,-4.999,right_knee_joint,STANDING_TARGET,0.4656524658203125,0.0061054229736328,0.3563159369918968,0.46551637081645114,-0.13609500386136228,0.09908601238660572,0.46551637081645114
0.001,-4.999,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3971996307373047,0.0061054229736328,0.3971996307373047,0.3972033201833341,0.0036894460293996055,0.0032947910993057247,1.636105679816666
0.001,-4.999,right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.0081491470336914,-0.0061054229736328,0.0081491470336914,0.008149086089539221,-6.094415217786641e-05,0.03593590780950873,0.05293791391046078
0.001,-4.999,right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0102581977844238,0.0061054229736328,0.0102581977844238,0.010258115235915181,-8.254850861964285e-05,0.021683174516325815,2.5466498847640846
0.001,-4.999,right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0028610229492187,0.0073261260986328,0.0028610229492187,0.0028609660597817884,-5.688943691157196e-05,0.09025088082129405,0.5730980339402182
0.001,-4.999,right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.0017166137695312,-0.0073261260986328,0.0017166137695312,0.0017166223949148358,8.625383635818945e-06,0.021459973838003656,0.7260286223949148
0.001,-4.999,right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.008340835571289,0.0061054229736328,0.008340835571289,0.00834084146121397,5.88992496959662e-06,0.0004618334920830173,2.548567158538786
0.001,-4.999,waist_pitch_joint,STANDING_TARGET,-0.0287813382420912,-1.5179507665494589e-06,-0.028710895612034045,-0.028787201867478275,-0.00586362538707399,0.012835008944938215,0.2853717981325217
0.001,-4.999,waist_roll_joint,STANDING_TARGET,-0.0012392314797718,0.0049322851458272,-0.0011623047362995513,-0.0012392807092633726,-4.922949157266286e-05,0.002129382959572159,0.48745271929073664
0.001,-4.999,waist_yaw_joint,STANDING_TARGET,-0.0010547637939453,-0.0061054229736328,-0.0010547637939453,-0.001054624851864425,0.00013894208087483946,0.0,2.208896624851864
0.02000000000000001,-4.98,head_yaw_joint,STANDING_TARGET,0.0001437664031982,0.0030689239501953,0.0001437664031982,0.00014433816214799792,2.627995521823696e-05,0.0001976177519603498,0.348921661837852
0.02000000000000001,-4.98,left_ankle_pitch_joint,STANDING_TARGET,-0.270456314086914,0.0061054229736328,-0.23197550882432377,-0.2669064142299917,0.17789707250505565,0.005702038770596303,0.5359445857700083
0.02000000000000001,-4.98,left_ankle_roll_joint,STANDING_TARGET,0.0121755599975585,0.0061054229736328,0.0121755599975585,0.01215395418920411,-0.001382541005182493,0.0006868467599094134,0.24964504581079588
0.02000000000000001,-4.98,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-0.0061054229736328,-1.172232151031494,-1.1722392489939817,0.00016278478572813768,0.06902148001448936,1.1722392489939817
0.02000000000000001,-4.98,left_hip_pitch_joint,STANDING_TARGET,-0.3268289566040039,-0.0061054229736328,-0.2899710669632994,-0.3229791995556427,0.23384144005637386,0.03463161892299155,2.233928800444357
0.02000000000000001,-4.98,left_hip_roll_joint,STANDING_TARGET,-0.0213799476623535,-0.0061054229736328,0.003620052337646503,-0.02084858375484887,0.04641219202221612,0.01853084341552057,0.2147704162451511
0.02000000000000001,-4.98,left_hip_yaw_joint,STANDING_TARGET,9.584426879882812e-05,0.0061054229736328,9.584426879882812e-05,0.00023206581680810238,0.006993688763752865,0.001085630916715885,1.684474065816808
