sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-4.999,left,0.0033606102022932663,0,
0.001,-4.999,right,0.003569589272430114,0,
0.02000000000000001,-4.98,left,0.0,0,
0.02000000000000001,-4.98,right,0.0034076376384167277,0,
0.04000000000000003,-4.96,left,0.0,0,
0.04000000000000003,-4.96,right,0.003308587594424322,0,
0.060000000000000046,-4.94,left,0.0036349376611204878,0,
0.060000000000000046,-4.94,right,0.0032994102781344686,0,
0.08000000000000006,-4.92,left,0.0036754726611020307,0,
0.08000000000000006,-4.92,right,0.0032486036970516504,0,
0.10000000000000007,-4.9,left,0.0,0,
0.10000000000000007,-4.9,right,0.003135244427422301,0,
0.12000000000000009,-4.88,left,0.0038274653589934213,0,
0.12000000000000009,-4.88,right,0.003091870643884875,0,
0.1400000000000001,-4.86,left,0.0038452939735511434,0,
0.1400000000000001,-4.86,right,0.0030758473731697916,0,
0.16000000000000011,-4.84,left,0.0,0,
0.16000000000000011,-4.84,right,0.003065978955362188,0,
0.18000000000000013,-4.82,left,0.003868178528432015,0,
0.18000000000000013,-4.82,right,0.003058085185139514,0,
0.20000000000000015,-4.8,left,0.0038774850648462043,0,
0.20000000000000015,-4.8,right,0.0030514391883826974,0,
0.22000000000000017,-4.78,left,0.0038856234777651325,0,
0.22000000000000017,-4.78,right,0.0030459203944337033,0,
0.24000000000000019,-4.76,left,0.0,0,
0.24000000000000019,-4.76,right,0.003041592743853359,0,
0.2600000000000002,-4.74,left,0.003898539645092206,0,
0.2600000000000002,-4.74,right,0.003038042834074012,0,
0.2800000000000002,-4.72,left,0.00390355261558511,0,
0.2800000000000002,-4.72,right,0.0030354363074411514,0,
0.3000000000000002,-4.7,left,0.003907565084955351,0,
0.3000000000000002,-4.7,right,0.003033759835041163,0,
0.32000000000000023,-4.68,left,0.0,0,
0.32000000000000023,-4.68,right,0.0030327030422040643,0,
0.34000000000000025,-4.66,left,0.0,0,
0.34000000000000025,-4.66,right,0.003031894924848734,0,
0.36000000000000026,-4.64,left,0.003916570692814661,0,
0.36000000000000026,-4.64,right,0.0030312583498547548,0,
0.3800000000000003,-4.62,left,0.0039190625389794705,0,
0.3800000000000003,-4.62,right,0.0030307806484831663,0,
0.4000000000000003,-4.6,left,0.003921343974638599,0,
0.4000000000000003,-4.6,right,0.003030452854806683,0,
0.4200000000000003,-4.58,left,0.003923438760460203,0,
0.4200000000000003,-4.58,right,0.0030302608428654804,0,
0.44000000000000034,-4.56,left,0.003925375540602729,0,
0.44000000000000034,-4.56,right,0.003030185647106549,0,
0.46000000000000035,-4.54,left,0.003927185285848964,0,
0.46000000000000035,-4.54,right,0.0,0,
0.48000000000000037,-4.52,left,0.003928898597022669,0,
0.48000000000000037,-4.52,right,0.0030302987802504166,0,
0.5000000000000003,-4.5,left,0.003930543282575424,0,
0.5000000000000003,-4.5,right,0.003030444726499907,0,
0.5200000000000004,-4.4799999999999995,left,0.003932154507459916,0,
0.5200000000000004,-4.4799999999999995,right,0.0,0,
0.5400000000000004,-4.46,left,0.003933785147165154,0,
0.5400000000000004,-4.46,right,0.003030769496459649,0,
0.5600000000000004,-4.4399999999999995,left,0.003935447419641322,0,
0.5600000000000004,-4.4399999999999995,right,0.003030886571774683,0,
0.5800000000000004,-4.42,left,0.003937142854397749,0,
0.5800000000000004,-4.42,right,0.003030966627123239,0,
0.6000000000000004,-4.3999999999999995,left,0.003938870407551942,0,
0.6000000000000004,-4.3999999999999995,right,0.0030310106396156254,0,
0.6200000000000004,-4.38,left,0.003940627714561063,0,
0.6200000000000004,-4.38,right,0.0030310211021532816,0,
0.6400000000000005,-4.359999999999999,left,0.003942411690924319,0,
0.6400000000000005,-4.359999999999999,right,0.003031001185499872,0,
0.6600000000000005,-4.34,left,0.003944218962629786,0,
0.6600000000000005,-4.34,right,0.0,0,
0.6800000000000005,-4.319999999999999,left,0.003946046167918906,0,
0.6800000000000005,-4.319999999999999,right,0.0030308835111300387,0,
0.7000000000000005,-4.3,left,0.003947890150856302,0,
0.7000000000000005,-4.3,right,0.0030307919543074843,0,
0.7200000000000005,-4.279999999999999,left,0.003949748070696653,0,
