sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-4.999,left,0.0015233686278937277,0,
0.001,-4.999,right,0.0,0,
0.02000000000000001,-4.98,left,0.0017024716275403523,0,
0.02000000000000001,-4.98,right,0.0018663037950739927,0,
0.04000000000000003,-4.96,left,0.0020671443990010604,0,
0.04000000000000003,-4.96,right,0.001431405139894717,0,
0.060000000000000046,-4.94,left,0.002105639745099274,0,
0.060000000000000046,-4.94,right,0.0013160152353002012,0,
0.08000000000000006,-4.92,left,0.0020748946665550593,0,
0.08000000000000006,-4.92,right,0.0013016655572277449,0,
0.10000000000000007,-4.9,left,0.0021443573235628483,0,
0.10000000000000007,-4.9,right,0.0012168475230452036,0,
0.12000000000000009,-4.88,left,0.002198328839552733,0,
0.12000000000000009,-4.88,right,0.0011552379427380542,0,
0.1400000000000001,-4.86,left,0.002181464597440342,0,
0.1400000000000001,-4.86,right,0.001168672860050198,0,
0.16000000000000011,-4.84,left,0.002141389320154309,0,
0.16000000000000011,-4.84,right,0.0012086624982090286,0,
0.18000000000000013,-4.82,left,0.0020992239420833305,0,
0.18000000000000013,-4.82,right,0.0012526193743273,0,
0.20000000000000015,-4.8,left,0.002057092488647351,0,
0.20000000000000015,-4.8,right,0.0,0,
0.22000000000000017,-4.78,left,0.0020141431216163077,0,
0.22000000000000017,-4.78,right,0.001344489286583307,0,
0.24000000000000019,-4.76,left,0.0019729531025584795,0,
0.24000000000000019,-4.76,right,0.001390217056731599,0,
0.2600000000000002,-4.74,left,0.0019347803804779383,0,
0.2600000000000002,-4.74,right,0.0014334046044394587,0,
0.2800000000000002,-4.72,left,0.0018950023996818434,0,
0.2800000000000002,-4.72,right,0.0014784732504562151,0,
0.3000000000000002,-4.7,left,0.0018527452957411315,0,
0.3000000000000002,-4.7,right,0.001526110160462744,0,
0.32000000000000023,-4.68,left,0.0018086479263821884,0,
0.32000000000000023,-4.68,right,0.001575362588302204,0,
0.34000000000000025,-4.66,left,0.0017624027938151962,0,
0.34000000000000025,-4.66,right,0.001625799998350333,0,
0.36000000000000026,-4.64,left,0.001714392007397113,0,
0.36000000000000026,-4.64,right,0.0016770572793723688,0,
0.3800000000000003,-4.62,left,0.00166626118673038,0,
0.3800000000000003,-4.62,right,0.0017282716088527375,0,
0.4000000000000003,-4.6,left,0.0016181517478495251,0,
0.4000000000000003,-4.6,right,0.001779831209501256,0,
0.4200000000000003,-4.58,left,0.0015710999603897203,0,
0.4200000000000003,-4.58,right,0.0018306511268653784,0,
