sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,com_x,com_y,com_z,com_support_margin_m,raw_pitch_feedback_nm,applied_pitch_feedback_nm,raw_roll_feedback_nm,applied_roll_feedback_nm,left_pelvis_hip_distance_m,right_pelvis_hip_distance_m,left_pelvis_hip_contact,right_pelvis_hip_contact,self_collision_contact_count,nonfoot_ground_contact_count,left_foot_contact,right_foot_contact,left_foot_slip_m,right_foot_slip_m,max_contact_penetration_m,minimum_joint_margin_rad,minimum_actuator_margin
0.001,-4.999,0.0,0.0,0.6617591154922626,0.0,-0.0,0.0,0.0142670656607992,0.00019885355128851972,0.7007714009160573,0.079824969248507,0.0,0.0,-0.0,0.0,0.0033606102022932663,0.003569589272430114,0,0,0,0,0,0,0.0,0.0,0.0,0.0481486835503482,0.8994024373315438
0.02000000000000001,-4.98,3.282541858379192e-05,-0.0002281156149010496,0.6604340935823314,-0.002919938417502789,0.00020230045556356057,0.00022177890017919166,0.014354494373053162,0.00022519487096664818,0.6993924092498361,0.08052478995927831,-0.3951170431380247,0.06440047159545823,3.3949984610679946,0.45000000000000023,0.003539463805278042,0.0034081341127186237,0,0,0,0,1,1,0.0007889826479509531,0.0008438764526320213,0.0005461360833694624,0.04859037934822125,0.7521038272980696
0.04000000000000003,-4.96,0.0006177673080079819,-0.00041712713775181987,0.6580433563046637,-0.004903366479774609,-0.0026665955131777576,0.0010960188587147992,0.01494218794957647,0.00026387718843350164,0.6970481345180504,0.08169083581583265,-4.846092553518088,-0.7355995284045425,0.6741293314573072,0.6297451859859241,0.0036336841338139147,0.003309104616896439,0,0,0,0,1,1,0.0025514765652086806,0.0024480646903472167,0.0015501637772680028,0.048514296359055756,0.6485515953410975
0.060000000000000046,-4.94,0.0020845786432639847,-0.0005282740354474021,0.6559772169359965,-0.005005037730078683,-0.0072296438561783635,0.0012175241543822403,0.015999630317539617,0.00025072894434610525,0.69505505797603,0.08246624757697951,-5.744675423629028,-1.5355995284045432,0.26923489370065,0.188464425590455,0.0036344199668395596,0.0032997386958702347,0,0,0,0,1,1,0.004396360712642517,0.004118949005755728,0.0011916912261645497,0.048357797646908465,0.6623276166289944
0.08000000000000006,-4.92,0.004090342588110035,-0.0007431744256185572,0.6544482119826363,-0.0056112470484370675,-0.011281521268320847,0.0009458383909512898,0.017309573036223515,0.00018528163514371638,0.693581944381469,0.08255707447043417,-5.062554246716995,-2.3355995284045434,1.5668784735954868,0.6205275113635373,0.003673443832826785,0.00325069367861872,0,0,0,0,1,1,0.005810244835155007,0.005212224478186996,0.0007447361135379622,0.048314065214422136,0.7286746772837023
0.10000000000000007,-4.9,0.0061279577983080254,-0.001027051598844027,0.6537727048366768,-0.007222412858462272,-0.013511212223196118,0.00022915089927398366,0.01859135525273435,0.0001494113785789005,0.69292794698301,0.08196049383981162,-3.128259756005077,-2.4474341889912123,1.2479610158532313,0.8908209719196944,0.003779369534190057,0.003139838369217449,0,0,0,0,1,1,0.006503578344901533,0.0053495940924962355,0.0007887370683960461,0.048261292866561285,0.8396711410704961
0.12000000000000009,-4.88,0.007868531710598288,-0.0011785685637782399,0.6536826024172897,-0.007829293583426107,-0.013860171213541094,-0.00019677807378957012,0.019720766513775464,0.00015868425310952694,0.6928178718950329,0.08090563012172514,-1.7409318987485929,-1.6474341889912116,0.7670771201100026,0.5369539840770018,0.003826300904558251,0.003093187691047449,0,0,0,0,1,1,0.006581613227131291,0.005291145094658589,0.0005735450357070527,0.04823170486462959,0.8641619898347461
0.1400000000000001,-4.86,0.009290713737656161,-0.001260547614182732,0.6537349555657174,-0.007995753405051811,-0.013374822295385587,-0.00045417672642914815,0.020740697421519048,0.00018512711745812875,0.6928378349674976,0.07985755588828419,-1.1459181709107784,-0.8474341889912114,0.6322368966070873,0.44256582762496105,0.0,0.003076082535151106,0,0,0,0,1,1,0.00655410787121234,0.0052461054750688844,0.0004146494103674887,0.04822544170697883,0.872935391688346
0.16000000000000011,-4.84,0.010460025291658554,-0.0013115868387624013,0.6537939816152087,-0.008079556890225287,-0.012528746120077686,-0.0006495575882126783,0.021684742287600197,0.0002175331030246933,0.6928672255483487,0.07889053092420464,-0.7565250901036025,-0.5295675630725217,0.6204537471403658,0.43431762299825605,0.003857793046465076,0.0030664470624073674,0,0,0,0,1,1,0.006530513843807043,0.005229133169997658,0.00034103979767914194,0.048225864777010255,0.8760676947502015
0.18000000000000013,-4.82,0.011448216825535805,-0.001342138723413832,0.6538396624166197,-0.008155193577993424,-0.011484376709234842,-0.000826219557025734,0.0225750852438967,0.0002522895879378661,0.6928889495879988,0.0779885985810112,-0.4404254477271188,-0.3082978134089831,0.6263604067854426,0.4384522847498098,0.0038677667780681346,0.003059229767738607,0,0,0,0,1,1,0.006517859582701184,0.005225165935139432,0.0003115322506762287,0.0482272754132372,0.8774193838524523
0.20000000000000015,-4.8,0.012305424781401612,-0.0013571580732347805,0.6538767687265532,-0.008240382385678844,-0.010295587535987085,-0.0009949118251765157,0.023426318313125968,0.00028742242325212374,0.692906874856091,0.07713255458102941,-0.12373562529284965,-0.08661493770499475,0.6421894512708399,0.4495326158895879,0.0038767229608201014,0.003052967754123112,0,0,0,0,1,1,0.006511848487556271,0.0052262761982116365,0.00030095892344566676,0.04822835811801101,0.8782210333294214
0.22000000000000017,-4.78,0.01307759776477257,-0.001360012238319412,0.6539126607386211,-0.008336325656812534,-0.008965919001588555,-0.001172608604067063,0.024251259731154585,0.0003216488081621667,0.692925977948753,0.07630593660485058,0.1619102153314962,0.11333715073204732,0.6526715706667787,0.45687009946674506,0.0038851687494702966,0.0030471235979786337,0,0,0,0,1,1,0.006508953550160914,0.005229570312416508,0.0002984303604362899,0.04822873527356108,0.8792058673765984
0.24000000000000019,-4.76,0.013798673714959924,-0.0013529803750477118,0.653949507606191,-0.008429967943278013,-0.0075993706547229966,-0.0013554204682156687,0.025060010198864145,0.0003537044198027907,0.6929472144151949,0.07549701415713574,0.3862399807068826,0.2703679864948178,0.6515241632960117,0.45606691430720814,0.003892600575988062,0.0030422236723805854,0,0,0,0,1,1,0.0065075757950121315,0.005233800823825879,0.00029901224618481947,0.04822838270342861,0.8801497560123048
0.2600000000000002,-4.74,0.01447770060922034,-0.0013384615032229347,0.6539901054527778,-0.008508253155131993,-0.006188382275246198,-0.0015265718166584577,0.02585606441270652,0.00038220519080310047,0.6929726762065989,0.0747018695105594,0.6197136525349203,0.43379955677444415,0.6449810392152101,0.45148672745064705,0.0038983809107056874,0.00303887675922199,0,0,0,0,1,1,0.006507296787157206,0.005238350312710001,0.00030077785911620646,0.04822728036116741,0.8815751289032885
0.2800000000000002,-4.72,0.015128114631542199,-0.0013206812505798524,0.6540369310231751,-0.008564605142582086,-0.004755946426209736,-0.0016761746355019327,0.026642518385008356,0.00040586874607479747,0.6930038711187883,0.07391698412955788,0.8391075195194351,0.5873752636636045,0.6320962027715358,0.44246734194007503,0.0,0.0030371356512004966,0,0,0,0,1,1,0.006507708833242434,0.005242709246560516,0.00030302168090013803,0.048225144079258195,0.8831784355132839
0.3000000000000002,-4.7,0.01575943540766453,-0.0013057637123707127,0.6540896560383107,-0.008603593844869589,-0.003301590566953452,-0.0018048026422292464,0.027422088413180296,0.00042335196051894236,0.6930400835778323,0.0731393846949445,1.0680661459589722,0.7476463021712805,0.6257880001491619,0.4380516001044133,0.0039055331631431866,0.0030362128675272917,0,0,0,0,1,1,0.006508578747384274,0.005246837868546403,0.0003055561679039488,0.04822215148823043,0.8846944428523
0.32000000000000023,-4.68,0.016377944529947633,-0.0012965814629051654,0.654147491220599,-0.008631614188142407,-0.0018219458941490484,-0.001916560975261964,0.02819643377978736,0.0004340705351875421,0.6930803617526239,0.07236735519724241,1.3017117074270166,0.9111981951989115,0.6205851739664716,0.4344096217765301,0.003908282836302505,0.0030355062573595225,0,0,0,0,1,1,0.006509858534392018,0.005250867571130438,0.00030837327479168574,0.048218909271790435,0.8861935583646284
0.34000000000000025,-4.66,0.01698820645578026,-0.001293609286666845,0.6542096181596199,-0.008649869767873238,-0.0003172011894856038,-0.002014149891597089,0.02896650045676854,0.0004380787337702054,0.6931238265733437,0.07159988054835162,1.5377994313651073,1.076459601955575,0.6150661762377685,0.43054632336643794,0.003910833334110519,0.0,0,0,0,0,1,1,0.006511468926028159,0.005254875076358847,0.0003114696439804011,0.04821570447611506,0.8876854149369657
0.36000000000000026,-4.64,0.017593454255222737,-0.001296734799890481,0.6542752455476109,-0.008658611515961498,0.0012113450394237932,-0.002099696488351394,0.02973273896597531,0.00043561168762848033,0.6931696929193316,0.07083643122715917,1.7778413165242735,1.2444889215669914,0.6089434049097341,0.42626038343681383,0.003913228459684525,0.0030343523548714757,0,0,0,0,1,1,0.006513318324565424,0.005258896215344958,0.00031481298509219557,0.04821262227986474,0.8891690621981921
0.3800000000000003,-4.62,0.018194617914706012,-0.0013057333936624968,0.6543435244467131,-0.008657306155066862,0.0027716626945992052,-0.0021763541514513724,0.03049503145360275,0.0004268487192240516,0.6932172118627127,0.07007707494349255,2.033101733037797,1.4231712131264578,0.6014739341338707,0.4210317538937095,0.003915471215789476,0.003033888884139343,0,0,0,0,1,1,0.006515345662738202,0.00526303237501081,0.0003183979842029073,0.04820966586367984,0.8906736224917633
0.4000000000000003,-4.6,0.018791956043704965,-0.0013204813815228679,0.6544139135506913,-0.008645535879209434,0.004363606692193642,-0.002246834238946657,0.031252754771577115,0.0004118585523275655,0.6932659265239829,0.06932239110825107,2.2848896377454606,1.5994227464218223,0.593396802301744,0.41537776161122075,0.0,0.0030335076300110285,0,0,0,0,1,1,0.006517499590821504,0.005267344670483571,0.0003222221232062157,0.048206819523677176,0.8921784857041278
0.4200000000000003,-4.58,0.01938620835460771,-0.0013408687245308366,0.6544859148948228,-0.00862373233395244,0.005978939479195804,-0.0023120550386875618,0.03200528653569788,0.0003907948643728825,0.6933154175475413,0.06857292795843246,2.531265174986541,1.7718856224905786,0.5850288316860469,0.40952018218023284,0.003919553656733848,0.0030331900806809093,0,0,0,0,1,1,0.006519702254450729,0.005271758331266832,0.0003261911245762651,0.0482040895645811,0.8936634028614915
0.44000000000000034,-4.56,0.01997798305903729,-0.0013667178312233527,0.6545590022918399,-0.008592551760995612,0.007609429439218941,-0.0023724749947391017,0.03275203332088578,0.00036390027952461456,0.6933652549609048,0.06782922874352024,2.7713086147010526,1.9399160302907368,0.576507894684769,0.40355552627933833,0.003921451874612115,0.003032916985626298,0,0,0,0,1,1,0.006521901070967609,0.005276208942573985,0.0003302230445787714,0.04820148336886142,0.8951196559742913
0.46000000000000035,-4.54,0.020567698347674,-0.001397783282060737,0.6546326599335911,-0.008552740284259742,0.00924716262186269,-0.0024284130746300417,0.033492419315719175,0.00033148685528071976,0.6934150303526404,0.06709184387198569,3.0043278239414004,2.10302947675898,0.5679281601055762,0.3975497120739033,0.003923289857643657,0.00303267133716293,0,0,0,0,1,1,0.00652406873209043,0.005280658979913143,0.0003342635010229007,0.0481990056229057,0.8948213837180081
0.48000000000000037,-4.52,0.021155556958255457,-0.0014337663797154643,0.6547063994926489,-0.008505082773585597,0.010884720375387371,-0.0024801436688448573,0.03422588004128957,0.0002939157499390081,0.6934643697344067,0.06636132678280121,3.229892848551022,2.2609249939857152,0.5593592288225372,0.391551460175776,0.003925089360086054,0.003032438692121391,0,0,0,0,1,1,0.00652619263408388,0.00528508773511594,0.00033827590863216416,0.048196658085426364,0.8898221408658584
0.5000000000000003,-4.5,0.02174153999310037,-0.0014743315762728187,0.6547797734546105,-0.008450371697942083,0.012515360263324444,-0.002527930772210671,0.03495186045434294,0.0002515787971764106,0.6935129424015339,0.06563822853862432,3.4478462035980213,2.4134923425186146,0.5508534062971678,0.38559738440801744,0.0039268686753647615,0.0030322070191057177,0,0,0,0,1,1,0.00652826752637815,0.005289483415050148,0.00034223420017638184,0.048194439880289534,0.8849297594865473
0.5200000000000004,-4.4799999999999995,0.022325420666033362,-0.001519121409836258,0.654852385379678,-0.008389386526558273,0.014133160453016286,-0.0025720391599486528,0.03566981753454745,0.00020488314856948551,0.6935604668024354,0.06492309129652435,3.6582664983037643,2.5607865488126347,0.542450222950397,0.3797151560652779,0.003928643009264487,0.003031966394042271,0,0,0,0,1,1,0.0065302915356824,0.005293838950224172,0.0003461192293737715,0.04819234800114418,0.8801515044873837
0.5400000000000004,-4.46,0.022906794585358582,-0.0015677688867522912,0.6549238961938573,-0.008322880104500769,0.01573309910456712,-0.0026127358805713725,0.03637922623024662,0.00015423919732096775,0.693606713050317,0.06421644046884717,3.861405746312527,2.7029840224187685,0.5341795815588902,0.37392570709122314,0.003930424888947472,0.0030317086660396537,0,0,0,0,1,1,0.00653226423862072,0.005298149950276543,0.0003499170553587739,0.04819037787101117,0.8754913886627855
0.5600000000000004,-4.4399999999999995,0.023485120182988598,-0.0016199071642781664,0.6549940262687829,-0.008251569849223461,0.017311064607981094,-0.002650287746769506,0.03707958707651001,0.00010005150413542398,0.6936515021764094,0.06351877628081243,4.0576230342813115,2.840336123996918,0.526064008354927,0.3682448058484488,0.003932224554380704,0.0030314271518685743,0,0,0,0,1,1,0.006534185803570966,0.005302413676689957,0.00035361793826537823,0.048188523861746206,0.8709509026300479
0.5800000000000004,-4.42,0.024059762567370916,-0.0016751767918962198,0.6550625538416635,-0.008176132304049035,0.018863809576245248,-0.002684957498349127,0.037770433901332785,4.271224452633884e-05,0.6936947027657605,0.06283056575209037,4.247328683586308,2.9731300785104153,0.5181202749948178,0.36268419249637246,0.0039340503076301155,0.0030311163810919665,0,0,0,0,1,1,0.0065360566465246465,0.0053066284731565355,0.0003572155623608698,0.04818677972588934,0.8665296816849535
0.6000000000000004,-4.3999999999999995,0.024630035463109958,-0.001733230916066474,0.6551293107716503,-0.008097200028444426,0.020388867947161993,-0.002716999952800611,0.03845134047184392,-1.7403337608977988e-05,0.693736225874192,0.06215223596482953,4.4309438197027555,3.101660673791929,0.5103605771933446,0.3572524040353412,0.003935908812803863,0.003030771893668021,0,0,0,0,1,1,0.006537877316487617,0.005310793413868497,0.0003607063503131931,0.0481851389275088,0.8622260585308963
0.6200000000000004,-4.38,0.025195237846416668,-0.0017937388675253682,0.6551941766940816,-0.008015360120560542,0.021884453434046623,-0.0027466587623444067,0.039121925435925756,-7.993993561056548e-05,0.6937760190967813,0.06148416912394766,4.608874422364867,3.2262120956554066,0.5027934083037973,0.35195538581265806,0.003937805348841008,0.0,0,0,0,0,1,1,0.006539648472197467,0.005314908071586184,0.00036408885497974785,0.04818359487967101,0.8580374955571334
0.6400000000000005,-4.359999999999999,0.02575471376613306,-0.0018563875495156907,0.6552570459764469,-0.00793116835456938,0.023348124707481172,-0.002774139770313216,0.0397818515777969,-0.00014456298103949556,0.6938140406994607,0.06082670255762815,4.777793305514401,3.3444553138600805,0.49548924216530554,0.34684246951571385,0.003939744578408464,0.0,0,0,0,0,1,1,0.006541370132644359,0.005318970866967336,0.0003673603394504189,0.04818214272211104,0.8540177016602999
