condition,mode,episode_id,geom_pair_key,geom_pair_name,body_pair,onset_s,end_s,duration_s,contact_samples_1khz,max_penetration_m,peak_normal_force_n,max_abs_relative_normal_velocity_m_s,max_approach_distance_rate_m_s
mass_direction,arm_only,mass_direction__arm_only__67:80__episode_001,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,1.60400000000054,1.7600000000005922,0.1570000000000521,157,0.0011778933885867,10.496855844356595,0.1974212817269625,0.1432361338606313
mass_direction,arm_only,mass_direction__arm_only__67:80__episode_002,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,2.7790000000009325,2.9610000000009933,0.1830000000000607,183,0.0011346623651346,10.17016951326976,0.1858244081444083,0.1350812298404692
mass_direction,arm_only,mass_direction__arm_only__67:80__episode_003,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,3.978000000000464,4.161000000000362,0.1839999999998985,184,0.0010624509995413,10.16329453700103,0.1857715088412027,0.135421379101085
original,arm_only,original__arm_only__67:80__episode_001,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,1.6030000000005398,1.7600000000005922,0.1580000000000524,158,0.0011300477540451,10.460880486843314,0.1970013886675439,0.1431815407498207
original,arm_only,original__arm_only__67:80__episode_002,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,2.778000000000932,2.9610000000009933,0.1840000000000611,184,0.0010716265052248,10.091179395214423,0.1860831060379071,0.1357538387721144
original,arm_only,original__arm_only__67:80__episode_003,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,3.978000000000464,4.162000000000361,0.184999999999898,185,0.0010972058451407,10.186122711940648,0.1853147584938899,0.1349920683245974
mass_direction,whole_body,mass_direction__whole_body__67:80__episode_001,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,1.6020000000005394,1.7540000000005902,0.1530000000000507,153,0.0011049492266059,10.418686763269568,0.1943252554438555,0.1422608404535725
mass_direction,whole_body,mass_direction__whole_body__67:80__episode_002,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,2.778000000000932,2.9610000000009933,0.1840000000000611,184,0.0010744762802763,10.10971000218132,0.1827756650374338,0.1344364010650246
mass_direction,whole_body,mass_direction__whole_body__67:80__episode_003,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,3.977000000000464,4.162000000000361,0.1859999999998974,186,0.0010842399908825,10.174033588983876,0.1827897946655784,0.1345635127991928
original,whole_body,original__whole_body__67:80__episode_001,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,1.6020000000005394,1.7540000000005902,0.1530000000000507,153,0.0011589555604349,10.50015424784128,0.1937115728795118,0.1419235432769932
original,whole_body,original__whole_body__67:80__episode_002,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,2.778000000000932,2.9610000000009933,0.1840000000000611,184,0.0011332718845236,10.164760740639313,0.1826930034427027,0.1344465449348937
original,whole_body,original__whole_body__67:80__episode_003,67:80,geom_67 <-> geom_80,left_wrist_roll_link <-> right_wrist_roll_link,3.977000000000464,4.161000000000362,0.184999999999898,185,0.001133035339125,10.238908151348804,0.1824640007371055,0.1343827597165925
