mode,episode,same_geom_pair,baseline_onset_s,candidate_onset_s,onset_delta_ms,baseline_duration_s,candidate_duration_s,duration_delta_ms,baseline_max_penetration_mm,candidate_max_penetration_mm,penetration_delta_mm,baseline_peak_normal_force_n,candidate_peak_normal_force_n,peak_force_delta_n
arm_only,1,True,1.6030000000005398,1.60400000000054,1.000000000000334,0.1580000000000524,0.1570000000000521,-1.0000000000003062,1.1300477540451,1.1778933885867,0.04784563454160017,10.460880486843314,10.496855844356595,0.035975357513281736
arm_only,2,True,2.778000000000932,2.7790000000009325,1.000000000000334,0.1840000000000611,0.1830000000000607,-1.0000000000003895,1.0716265052248,1.1346623651346,0.06303585990979996,10.091179395214423,10.17016951326976,0.07899011805533718
arm_only,3,True,3.978000000000464,3.978000000000464,0.0,0.184999999999898,0.1839999999998985,-0.9999999999995013,1.0972058451407,1.0624509995412998,-0.034754845599400085,10.186122711940648,10.16329453700103,-0.022828174939617085
whole_body,1,True,1.6020000000005394,1.6020000000005394,0.0,0.1530000000000507,0.1530000000000507,0.0,1.1589555604349,1.1049492266059,-0.05400633382899992,10.50015424784128,10.418686763269568,-0.08146748457171249
whole_body,2,True,2.778000000000932,2.778000000000932,0.0,0.1840000000000611,0.1840000000000611,0.0,1.1332718845235998,1.0744762802763,-0.058795604247299925,10.164760740639313,10.10971000218132,-0.05505073845799302
whole_body,3,True,3.977000000000464,3.977000000000464,0.0,0.184999999999898,0.1859999999998974,0.9999999999993903,1.1330353391249999,1.0842399908825,-0.048795348242499856,10.238908151348804,10.174033588983876,-0.06487456236492761
