joint_name,q_initial,q_min,q_max,excursion,peak_abs_dq,reported_effort_baseline,peak_abs_reported_effort,motion_onset,motion_end,final_minus_initial,position_baseline_std,arm_activity_correlation,arm_activity_peak_lagged_correlation,arm_activity_peak_correlation_lag_s,recovery_after_global_motion_s,classification,classification_basis
head_pitch_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.010203230000019659,STATIC,excursion=0.000000 rad; peak|dq|=0.000000 rad/s; correlation unavailable
head_yaw_joint,6.942941594472058e-05,4.792213439941406e-05,0.0001437664031982,9.584426879878595e-05,0.011986609820537836,-0.0012522300051444285,0.0028243470982780862,,,5.3236494066503804e-05,3.705097771190294e-05,0.22317936669807675,0.2548920757731481,0.12,0.010203230000019659,STATIC,excursion=0.000096 rad; peak|dq|=0.011987 rad/s; peak lagged arm activity correlation=0.2549 at +0.120 s
left_ankle_pitch_joint,-0.2727570533752441,-0.2727570533752441,-0.2265462875366211,0.04621076583862299,0.15235598554998175,7.471215838842121,16.545970676861607,0.2896202170000137,3.8696202170000156,0.0005750656127929688,0.0,0.11064369878974993,0.4854182725184262,0.5,0.010203230000019659,BALANCE_COMPENSATION_CANDIDATE,excursion=0.046211 rad; peak|dq|=0.152356 rad/s; peak lagged arm activity correlation=0.4854 at +0.500 s
left_ankle_roll_joint,-0.029816150665283196,-0.0326924324035644,-0.0286660194396972,0.004026412963867198,0.042734146118164,-0.1622885954613766,1.3186798095703125,1.109620217000014,3.6496202170000167,0.00038337707519539577,3.469446951953614e-18,0.24154440395243415,0.3032764329579455,-0.24,0.010203230000019659,STATIC,excursion=0.004026 rad; peak|dq|=0.042734 rad/s; peak lagged arm activity correlation=0.3033 at -0.240 s
left_elbow_joint,-1.1739583015441897,-1.441633701324463,-1.1739583015441897,0.2676753997802732,0.7006717351392929,-1.361173115967415,3.3113555908203125,0.1896202170000123,4.069620217000018,-0.0001916885375974342,0.0,0.7897830963730902,0.7941008623751407,0.02,0.010203230000019659,GESTURE_SECONDARY,excursion=0.267675 rad; peak|dq|=0.700672 rad/s; peak lagged arm activity correlation=0.7941 at +0.020 s
left_hip_pitch_joint,-0.3007521629333496,-0.3310475349426269,-0.2953829765319824,0.035664558410644476,0.1526260375976562,2.4784846949368524,8.175827026367188,0.38962021700001337,4.909620217000018,-0.001161454983192145,0.0,0.07523014017283744,0.5127081519875445,0.58,0.010203230000019659,BALANCE_COMPENSATION_CANDIDATE,excursion=0.035665 rad; peak|dq|=0.152626 rad/s; peak lagged arm activity correlation=0.5127 at +0.580 s
left_hip_roll_joint,0.013709545135498002,0.0110249519348144,0.0144767761230468,0.003451824188232401,0.02728155490295763,-1.9245085743351427,2.58462263837742,3.0896202170000144,3.4896202170000166,-0.0009589195251464948,1.734723475976807e-18,0.034997586201307176,0.22737247257934753,0.48,0.010203230000019659,STATIC,excursion=0.003452 rad; peak|dq|=0.027282 rad/s; peak lagged arm activity correlation=0.2274 at +0.480 s
left_hip_yaw_joint,-0.0002875328063964001,-0.0004792213439941,-0.0002875328063964,0.0001916885375977,0.0061054229736328,-0.8700177360092567,1.8393594670739213,,,-0.00019168853759769983,5.421010862427522e-20,,,,0.010203230000019659,STATIC,excursion=0.000192 rad; peak|dq|=0.006105 rad/s; correlation unavailable
left_knee_joint,0.5036177635192871,0.4984407424926758,0.5059185028076172,0.007477760314941406,0.06302379194887867,-7.671554503166433,10.10161809794246,0.9096202170000147,3.809620217000017,-0.0005750656127929688,0.0,0.3912001934851059,0.39814014184718494,0.06,0.010203230000019659,BALANCE_COMPENSATION_CANDIDATE,excursion=0.007478 rad; peak|dq|=0.063024 rad/s; peak lagged arm activity correlation=0.3981 at +0.060 s
left_shoulder_pitch_joint,0.3939399719238281,-9.584426879882812e-05,0.3948229807765281,0.39491882504532694,0.74807263525183,0.5207915466569338,2.234237821836548,0.02962021700001216,4.089620217000018,0.0,0.0,0.9710258921694875,0.9710258921694875,0.0,0.010203230000019659,GESTURE_SECONDARY,excursion=0.394919 rad; peak|dq|=0.748073 rad/s; peak lagged arm activity correlation=0.9710 at +0.000 s
