t,joint_name,position,velocity
-13.770379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.750379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.730379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.710379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.690379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.670379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.650379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.630379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.610379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.590379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.570379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.550379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.530379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.510379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.490379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.470379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.450379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.430379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.410379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.390379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.370379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.350379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.330379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.310379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.290379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.270379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.250379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.230379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.210379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.190379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.170379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.150379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.130379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.110379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.090379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.070379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.050379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.030379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-13.010379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.990379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.970379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.950379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.930379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.910379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.890379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.870379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.850379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.830379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.810379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.790379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.770379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.750379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.730379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.710379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.690379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.670379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.650379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.630379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.610379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.590379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.570379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.550379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.530379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.510379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.490379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.470379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.450379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.430379783,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.410379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.390379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.370379782999999,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.350379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
-12.330379782999998,left_shoulder_pitch_joint,0.3939399719238281,-0.0061054229736328
