joint_name,input_mode,rmse,mae,peak_abs_error,delta_rmse,phase_lag_candidate_s,shape_correlation,real_excursion,sim_excursion,real_peak_abs_velocity,sim_peak_abs_velocity,peak_velocity_difference,minimum_limit_margin_rad,target_clip_samples,limit_contact_samples
head_yaw_joint,MEASURED_REAL_TRAJECTORY,2.354044510606127e-05,1.4606142742261845e-05,8.64748178712414e-05,2.3367419802102574e-05,0.22,0.8955518275926643,9.584426879878595e-05,9.473181840617467e-05,0.011986609819852,0.0002211177278184,-0.011765492092033598,0.3489224980000437,0,0
left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,0.034834057119538867,0.031505092182869926,0.06297460562927368,0.019145356891552848,0.22,0.5284771073971035,0.046210765838597484,0.0611751585037934,0.1523559855483129,0.1522057380200735,-0.00015024752823938892,0.493723256283392,0,0
left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.011983596213600808,0.011068859092865698,0.0168106976563464,0.007114272602882107,0.44,0.8644480126198222,0.004026412963867198,0.018456317311341598,0.042734146118164,0.0314709478993565,-0.011263198218807502,0.2307206067549169,0,0
left_elbow_joint,MEASURED_REAL_TRAJECTORY,0.037132292182817425,0.022541749459241308,0.09870985691335576,0.03713229217178221,0.22,0.9979227142612044,0.2676753997802732,0.2665330561466399,0.700671735120499,0.4034418117399684,-0.29722992338053056,0.9157307155321236,0,0
left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,0.04325580018448782,0.042021903669796135,0.06597054631125299,0.012735636965033104,0.12,0.672420697583511,0.03566455841064298,0.04648043444476452,0.1526260375973334,0.109286593548918,-0.0433394440484154,2.1743270138120074,0,0
left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,0.007307410220780736,0.006648672980495303,0.0128401070890372,0.005247580972578882,-1.0,0.15232224894017635,0.0034518241882247006,0.0077334188199843015,0.0272815549022028,0.0249916230926487,-0.002289931809554103,0.2521651843201407,0,0
left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0037585752228880558,0.003614978762578376,0.0056959343412774,0.0016277291816351566,0.0,0.40939502970521374,0.0001916885375977,0.0033699994900503,0.0061054229736328,0.0065795274004375,0.0004741044268046996,1.6780668443147284,0,0
left_knee_joint,MEASURED_REAL_TRAJECTORY,0.12669310949680862,0.12472490717422757,0.17378298086614552,0.022656811304566326,0.14,0.2300392424309569,0.007477760314941406,0.09087245706296454,0.0630237919474664,0.1308117445640049,0.0677879526165385,0.5884456495356029,0,0
left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.052163766998514244,0.033757788943652486,0.11225415593851071,0.05216376693371087,0.24,0.9990254975128792,0.39490237661906163,0.39142677040615825,0.7480726352293776,0.4494699997144838,-0.2986026355148938,1.6393694692361005,0,0
left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.300423570836801,0.19844598810521247,0.6383602953769176,0.3004235716855039,0.24,0.9987369211654609,2.2053285321713387,2.1969844046609324,2.9343790279928936,2.467383559044106,-0.46699546894878763,0.0485374134802663,0,0
left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.21332944795522812,0.1413859452597996,0.4502191032385028,0.21332944790302547,0.24,0.9985672397205052,1.5808861548820283,1.577929248354041,2.1096699103965237,1.7490456723378134,-0.36062423805871036,0.9875061318359766,0,0
left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0002141358865577983,0.00013484799290949709,0.0008223594699039002,0.00021413588999789177,0.28,0.9820330793212677,0.0011444091796864002,0.0011197117322171001,0.0199110475536662,0.0027770154924358,-0.0171340320612304,0.573648144145154,0,0
left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.22376706055230694,0.16357693607148435,0.4393625644644562,0.22376706055258774,0.38,0.9929711211396646,1.078248495579561,1.0735697229386956,1.381462387954656,0.9800398914833446,-0.40142249647131134,0.4180176994330808,0,0
left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.3406687894071304,0.25147758259518344,0.6701929198778681,0.34066878940715767,0.38,0.9932104439152935,1.6240792274475098,1.6198836461886705,2.140318473773285,1.480012497204366,-0.6603059765689192,0.9248459751185968,0,0
right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,0.06598259067898295,0.06374720802628682,0.09956790526984222,0.017510074649023485,0.12,0.17186142453622563,0.0320215225219726,0.057237995477471326,0.1276642837868893,0.1171636024262143,-0.010500681360674988,0.4261457453266979,0,0
right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.004919963559019105,0.0042331450385126295,0.0095394066021495,0.006352140606178753,0.34,0.8410109279815852,0.0024929046630858993,0.0192827916002798,0.0417600984928945,0.0332382975470668,-0.008521800945827697,0.2379626927911763,0,0
right_elbow_joint,MEASURED_REAL_TRAJECTORY,0.03749538490413082,0.02341298963903475,0.0942347147074114,0.03749538470713042,0.22,0.9984162683625118,0.27898836135846916,0.2772813914300969,0.6908410976215799,0.3828077738206884,-0.30803332380089143,0.9078025089994708,0,0
right_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,0.017408298944052453,0.013712996579765798,0.04383827053134709,0.01194594744854815,0.12,0.8202345377290432,0.04103374481201166,0.057597307177620294,0.1378437288303209,0.1506703188560222,0.012826590025701301,2.235941580252117,0,0
right_hip_roll_joint,MEASURED_REAL_TRAJECTORY,0.003239093572910123,0.0028766620398370784,0.0051214135598775,0.003669088552406258,-1.0,0.18712334910567946,0.002685070037835198,0.0088010303304214,0.0284876157248726,0.0269912383466037,-0.001496377378268899,0.2504430491535284,0,0
right_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0020643886470885424,0.001744715501447728,0.003995987870124699,0.0012441790547451008,0.24,0.6836105603555225,0.004218578338623,0.0031686052363418,0.0291306400140996,0.0045546305967159,-0.0245760094173837,1.696573833660357,0,0
right_knee_joint,MEASURED_REAL_TRAJECTORY,0.13658114668739324,0.13399620060495768,0.18692593163421956,0.029943628117598958,0.66,0.805073987664433,0.023776531219482477,0.11462775318812346,0.0940546166300202,0.1285010216881799,0.0344464050581597,0.5728479716895043,0,0
right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.05246256035715408,0.03415561783352158,0.1128255675035642,0.05246256052633892,0.24,0.9990810992172665,0.4009385108947437,0.3956813881917306,0.6156731775007693,0.4532542707937488,-0.16241890670702053,1.6357260464212813,0,0
right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.29975960905476196,0.1979525694860742,0.6370992079610882,0.299759612187747,0.24,0.9987427911094132,2.2028069571249937,2.194531007240523,2.961854113065845,2.4573678494049025,-0.5044862636609424,0.0481538465358362,0,0
right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.21293817389653696,0.14049572053753576,0.4480958660078195,0.21293817394728382,0.24,0.9985244023495254,1.5731237149213184,1.5685379527515357,2.225960200910252,1.7447747501306694,-0.48118545077958275,0.994406446038426,0,0
right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.00017820836308451367,0.00011907887105419332,0.0005553084591199001,0.0001782084985141345,0.28,0.9345035521362587,0.000762939453125,0.0010466667813083,0.0073261260986328,0.0019054828177909,-0.0054206432808419,0.5690906822316175,0,0
right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.22541082877413532,0.16578359230874587,0.4407322669659753,0.22541082877338045,0.38,0.9932458984700286,1.0910205841064453,1.0882881877603783,1.3610721648432609,0.982194943513722,-0.3788772213295388,0.4155062941220631,0,0
right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.3411787082175245,0.252555474415131,0.668117091281918,0.3411787082154171,0.38,0.9933365485374206,1.6312017916930461,1.627189660734377,2.097297992928791,1.4770369583869205,-0.6202610345418704,0.9217552162814368,0,0
waist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0039351481775332185,0.003027579726668877,0.0107541797478015,0.0039349347259853545,0.08,0.9314072688564718,0.032339343251161,0.028334814960091003,0.1323952141448822,0.0719005434212067,-0.060494670723675495,0.2738031955538733,0,0
waist_roll_joint,MEASURED_REAL_TRAJECTORY,0.0018659555800789882,0.0013738615173139578,0.0064961450338095,0.0018661692535843618,0.2,0.9189507825348711,0.0102206828570827,0.008265732654490699,0.0649497343887842,0.0306598584181628,-0.03428987597062139,0.4829422251364441,0,0
waist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0003834564515616736,0.0002738090040807665,0.0010597430122580003,0.00038347177287292053,0.14,0.47873095257483567,0.0021090507507325,0.0003815876286728994,0.0165264858774527,0.0016751072519665,-0.014851378625486201,2.220474027636843,0,0
