sim_time,t,joint_name,input_mode,coordinate_mapping_status,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin,at_or_beyond_limit
0.001,-13.769379783,head_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,4.792213439941406e-05,0.0030689239501953,4.792213439941406e-05,0,4.792134062342005e-05,-7.937759940077754e-07,-0.0002953895289023085,-0.0002953895289023085,0.00011361135727011866,-0.349066,0.349066,0.34901807865937656,0
0.001,-13.769379783,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2727570533752441,0.0061054229736328,-0.2727570533752441,0,-0.27276169451515797,-0.004641139913884365,-0.4531068796791524,-0.4531068796791524,0.012586302213309789,-0.802851,0.453786,0.530089305484842,0
0.001,-13.769379783,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0298161506652832,0.0061054229736328,-0.0298161506652832,0,-0.02981616249512716,-1.1829843962697847e-05,-0.007936393790030749,-0.007936393790030749,0.00033068307458461454,-0.261799,0.261799,0.23198283750487284,0
0.001,-13.769379783,left_elbow_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.1739583015441897,-0.0061054229736328,-1.1739583015441897,0,-1.1739771620503465,-0.018860506156811323,-1.6654992477595214,-1.6654992477595214,0.06939580198998006,-2.356194,0.0,1.1739771620503465,0
0.001,-13.769379783,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.3007521629333496,-0.0061054229736328,-0.3007521629333496,0,-0.30078695744775,-0.03479451440039875,-3.862032757929617,-3.862032757929617,0.03272909116889506,-2.556908,2.556908,2.25612104255225,0
0.001,-13.769379783,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.013709545135498,-0.0061054229736328,0.013709545135498,0,0.0137193295901132,0.009784454615199932,0.4341112573611614,0.4341112573611614,0.0036789089606878086,-0.235619,2.905973,0.2493383295901132,0
0.001,-13.769379783,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0002875328063964,0.0061054229736328,-0.0002875328063964,0,-0.0002878587528544769,-0.00032594645807686623,-0.0819307768780102,-0.0819307768780102,0.0006943286176102559,-1.684242,3.429572,1.6839541412471455,0
0.001,-13.769379783,left_knee_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.5036177635192871,-0.0061054229736328,0.5036177635192871,0,0.5036401133380513,0.022349818764143492,1.1196000571064635,1.1196000571064635,0.00948813607717342,0.0,2.408554,0.5036401133380513,0
0.001,-13.769379783,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.3939399719238281,-0.0061054229736328,0.3939399719238281,0,0.39394615992553017,0.006188001702024811,-0.1942211815469188,-0.1942211815469188,0.005395032820747745,-3.080506,2.033309,1.6393628400744698,0
0.001,-13.769379783,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0125589370727539,-0.0061054229736328,-0.0125589370727539,0,-0.012557631498267689,0.00130557448620983,1.2530707140368627,1.2530707140368627,0.034807519834357294,-0.061087,3.0456,0.04852936850173231,0
