dataset,joint_name,baseline_rad,relative_excursion_rad,peak_relative_rad,peak_time_s,peak_sign,peak_abs_velocity_rad_s,recovery_time_s,classification
heart,left_ankle_pitch_joint,-0.2727570533752441,0.04621076583862299,0.04621076583862299,1.7096202170000154,1,0.1523559855499817,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,right_ankle_pitch_joint,-0.2949991226196289,0.0320215225219726,0.030870914459228516,1.7096202170000154,1,0.1276642837902265,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,left_hip_pitch_joint,-0.3007521629333496,0.035664558410644476,-0.030295372009277288,3.5496202170000157,-1,0.1526260375976562,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,right_hip_pitch_joint,-0.2568421363830566,0.04103374481201166,-0.0389246940612793,3.4096202170000147,-1,0.1378437288395625,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,left_knee_joint,0.5036177635192871,0.007477760314941406,-0.005177021026611328,3.529620217000016,-1,0.0630237919488786,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,right_knee_joint,0.4803366738316036,0.023776531219482477,0.02040528478656045,1.449620217000014,1,0.0940546166322844,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,waist_pitch_joint,-0.030836192020741202,0.032339343251161,0.021513863694390203,1.6696202170000127,1,0.1323952141493414,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
heart,waist_roll_joint,-0.0010051460594627,0.0102206828571298,-0.0058176715220488,1.3696202170000138,-1,0.0649497343907301,0.010203230000019659,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,left_ankle_pitch_joint,-0.270456314086914,0.03010416030883792,0.03010416030883792,3.399999999999821,1,0.0793647766113281,0.4308472739997944,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,right_ankle_pitch_joint,-0.3164749145507812,0.02799463272094721,0.02799463272094721,3.45999999999982,1,0.0762352612755428,0.5308472739997914,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,left_hip_pitch_joint,-0.3268289566040039,0.013997554779052679,-0.013997554779052679,3.499999999999819,-1,0.0549449920654296,0.6708472739997884,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,right_hip_pitch_joint,-0.2298059463500976,0.017065525054931696,-0.017065525054931696,1.959999999999852,-1,0.0511402156078817,0.5308472739997914,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,left_knee_joint,0.5220255851745605,0.00728607177734375,0.004218101501464844,2.9399999999998307,1,0.0549449920654296,0.010847273999802454,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,right_knee_joint,0.4656524658203125,0.010153637396802528,0.008236275183667707,1.3399999999998649,1,0.0549449920654296,0.010847273999802454,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,waist_pitch_joint,-0.0287813382420912,0.0280405753307459,0.0240023946653776,1.7399999999998563,1,0.0902475147490301,0.5308472739997914,OUTPUT_RESPONSE_DESIGN_TARGET
wave_right,waist_roll_joint,-0.0012392314797718,0.0386269102010452,0.0367863567838623,1.8199999999998544,1,0.1431162695933606,0.1308472739997999,OUTPUT_RESPONSE_DESIGN_TARGET
