experiment_id,candidate_family,parameter,old_value,new_value,heart_result,wave_result,safety_result,arm_tracking_preserved,mean_arm_rmse_rad,mean_balance_rmse_rad,balance_shape_score,max_pelvis_hip_penetration_m,minimum_limit_margin_rad,maximum_persistent_saturation_fraction,decision,warning
family_c_pitch_0p7_roll_1p0,C_JOINT_ALLOCATION,pitch/roll ankle contribution,current,0.7/1.0,PASS,FAIL,FAIL,True,0.1021355855445083,0.0247634665209196,2.129258945600159,0.0006081638120762,0.0460039684538985,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_pitch_1p0_roll_0p7,C_JOINT_ALLOCATION,pitch/roll ankle contribution,current,1.0/0.7,PASS,FAIL,FAIL,True,0.1021375612618906,0.0224048664150727,2.5940082786569123,0.0007417272190007,0.0461254879702043,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_pitch_0p7_roll_0p8,C_JOINT_ALLOCATION,pitch/roll ankle contribution,current,0.7/0.8,PASS,FAIL,FAIL,True,0.1021350942235971,0.0262582198049652,2.2309710263950637,0.0005231069838976,0.0460459342934875,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_knee_0p02,C_JOINT_ALLOCATION,ankle/knee pitch contribution,current,0.7/0.02,PASS,PASS,PASS,True,0.1021352274010789,0.0256609092836447,2.121277280652365,0.0004866087698612,0.0460675092568556,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_hip_0p02_knee_0p03,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.7/0.02/0.03,PASS,PASS,PASS,True,0.1021350686082221,0.02579868414375,2.0396753273804737,0.0004772087807718,0.0460665957749301,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p8_hip_0p02_knee_0p03,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.8/0.02/0.03,PASS,FAIL,FAIL,True,0.1021373099293949,0.019618925212308,2.107734919103321,0.0006710467817684,0.046082323438231,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_hip_0p05_knee_0p06,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.7/0.05/0.06,PASS,PASS,PASS,True,0.1021353016510686,0.0250448586120522,1.8518489876504585,0.00046374217636,0.0460631400616878,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_hip_0p05_knee_0p10,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.7/0.05/0.10,PASS,FAIL,FAIL,True,0.1021355074986254,0.0232434327552567,1.666094549426716,0.0005018378783003,0.0460669893225882,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_hip_0p10_knee_0p10,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.7/0.10/0.10,PASS,PASS,PASS,True,0.1021337481799252,0.0280397566446023,1.910808694580152,0.0004277385810952,0.046062323324518,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7_hip_0p10_knee_0p15,C_JOINT_ALLOCATION,ankle/hip/knee pitch contribution,current,0.7/0.10/0.15,PASS,PASS,PASS,True,0.1021343154695138,0.0269741971987676,1.7006739420534742,0.0004333407498146,0.046062107410789,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_roll_clamp_2,A_CLAMP,roll clamp Nm,unbounded,2,PASS,FAIL,FAIL,True,0.10213817235866861,0.021605203765585307,2.5340937414116755,0.0006390491035150729,0.046142131201907945,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_roll_clamp_3,A_CLAMP,roll clamp Nm,unbounded,3,PASS,FAIL,FAIL,True,0.10213798155277942,0.02215662488518673,2.479436753653686,0.0007387274625056199,0.04611685355760247,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_roll_clamp_4,A_CLAMP,roll clamp Nm,unbounded,4,PASS,FAIL,FAIL,True,0.1021369839338314,0.02338191429843467,2.4937957776223203,0.0008340981727926779,0.046093857682601165,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_e_roll3_pitch1_hip0p10_knee0p15,E_COMBINATION,roll clamp + pitch allocation,current,roll3; ankle/hip/knee=1/0.10/0.15,PASS,FAIL,FAIL,True,0.10213837180411192,0.01836531519678486,1.695504107906806,0.0007253588429610919,0.04609799768772163,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_e_roll3_pitch0p9_hip0p05_knee0p10,E_COMBINATION,roll clamp + pitch allocation,current,roll3; ankle/hip/knee=0.9/0.05/0.10,PASS,FAIL,FAIL,True,0.10213818657188035,0.01866115375241186,1.8380148307034823,0.0007236344349747973,0.04608324771798855,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_e_roll3_pitch0p85_hip0p10_knee0p15,E_COMBINATION,roll clamp + pitch allocation,current,roll3; ankle/hip/knee=0.85/0.10/0.15,PASS,FAIL,FAIL,True,0.10213794891542592,0.017680148839419034,1.5662353823176067,0.0006987684154309404,0.046071954269733956,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
