experiment,joint_name,saturation_start_sim_s,saturation_duration_samples_s,saturation_ratio,max_consecutive_saturation_s,max_abs_tracking_error_rad,max_abs_balance_addition_nm
current_07,left_ankle_pitch_joint,7.160000000000726,7.06,0.49164345403899723,6.08,0.7428326000990164,216.2935616541505
current_07,left_ankle_roll_joint,7.760000000000926,5.98,0.41643454038997213,3.38,0.2705800429711382,206.98747250795543
current_07,left_elbow_joint,8.28000000000085,0.1,0.006963788300835654,0.08,0.328176565008895,0.0
current_07,left_shoulder_pitch_joint,8.220000000000883,0.06,0.004178272980501393,0.04,0.2934002571900963,0.0
current_07,left_shoulder_roll_joint,8.28000000000085,0.02,0.001392757660167131,0.02,0.0331296027640905,0.0
current_07,left_shoulder_yaw_joint,8.28000000000085,0.18,0.012534818941504178,0.18,0.3130011932129733,0.0
current_07,left_wrist_pitch_joint,8.220000000000883,6.06,0.4220055710306407,5.82,0.4424578772195227,0.0
current_07,left_wrist_roll_joint,8.200000000000895,6.16,0.42896935933147634,6.16,1.5476536639911886,0.0
current_07,right_ankle_pitch_joint,7.92000000000098,6.44,0.44846796657381616,6.44,0.7867457120379353,216.2935616541505
current_07,right_ankle_roll_joint,7.760000000000926,5.96,0.415041782729805,3.38,0.2701564832656599,206.98747250795543
current_07,right_elbow_joint,8.400000000000784,4.18,0.29108635097493035,4.0600000000000005,1.1929039423236998,0.0
current_07,right_shoulder_pitch_joint,8.420000000000773,2.02,0.14066852367688024,2.0,1.702782975539077,0.0
current_07,right_shoulder_roll_joint,8.400000000000784,0.02,0.001392757660167131,0.02,0.062813009782406,0.0
current_07,right_shoulder_yaw_joint,8.400000000000784,0.02,0.001392757660167131,0.02,0.0691279880303933,0.0
current_07,right_wrist_pitch_joint,8.900000000000507,5.1,0.3551532033426184,4.78,0.601800072269568,0.0
current_07,right_wrist_roll_joint,8.400000000000784,1.0,0.06963788300835655,0.88,0.1716929005950233,0.0
current_07,waist_pitch_joint,8.340000000000817,0.06,0.004178272980501393,0.06,0.2992266898526201,0.0
current_07,waist_roll_joint,8.380000000000795,0.02,0.001392757660167131,0.02,0.2660499971082724,0.0
phase3ar_final_candidate,head_yaw_joint,7.660000000000893,0.1,0.006963788300835654,0.1,0.3302357783240021,0.0
phase3ar_final_candidate,left_ankle_pitch_joint,6.860000000000626,7.28,0.5069637883008357,6.96,0.7458220559721089,214.99833371373168
phase3ar_final_candidate,left_ankle_roll_joint,7.440000000000819,3.5,0.24373259052924792,2.4,0.3076781881884098,152.8446891483803
phase3ar_final_candidate,left_shoulder_pitch_joint,7.560000000000859,0.06,0.004178272980501393,0.06,0.264736361552877,0.0
phase3ar_final_candidate,left_shoulder_roll_joint,7.620000000000879,0.02,0.001392757660167131,0.02,0.0252876644155026,0.0
phase3ar_final_candidate,left_wrist_pitch_joint,7.560000000000859,5.94,0.4136490250696379,2.8000000000000003,0.310367707095616,0.0
phase3ar_final_candidate,left_wrist_roll_joint,7.580000000000866,6.72,0.467966573816156,6.7,0.7673664764054763,0.0
phase3ar_final_candidate,right_ankle_pitch_joint,7.380000000000799,6.98,0.4860724233983287,6.98,0.7868240329282037,214.99833371373168
phase3ar_final_candidate,right_ankle_roll_joint,7.440000000000819,3.38,0.23537604456824512,2.3000000000000003,0.3166808392901979,152.8446891483803
phase3ar_final_candidate,right_elbow_joint,7.620000000000879,0.06,0.004178272980501393,0.04,0.6411658322907559,0.0
phase3ar_final_candidate,right_shoulder_pitch_joint,7.660000000000893,1.88,0.1309192200557103,1.86,1.7221332156527758,0.0
phase3ar_final_candidate,right_shoulder_roll_joint,7.620000000000879,0.06,0.004178272980501393,0.06,0.0854219482971064,0.0
phase3ar_final_candidate,right_shoulder_yaw_joint,10.819999999999444,2.74,0.19080779944289694,2.74,0.3297211062174962,0.0
phase3ar_final_candidate,right_wrist_pitch_joint,9.300000000000283,5.0,0.34818941504178275,4.74,0.5994760815007075,0.0
phase3ar_final_candidate,right_wrist_roll_joint,7.620000000000879,3.6,0.25069637883008355,3.46,0.7337026240735238,0.0
phase3ar_final_candidate,waist_pitch_joint,7.600000000000873,0.12,0.008356545961002786,0.12,0.2784565650014521,0.0
phase3ar_final_candidate,waist_roll_joint,7.600000000000873,0.08,0.005571030640668524,0.08,0.3091689208684798,0.0
