experiment,quantity,kind,real_excursion,sim_excursion,excursion_ratio,delta_rmse,peak_timing_difference_s,phase_lag_candidate_s,shape_correlation,real_recovery_s,sim_recovery_s,frame_status
free_baseline,left_ankle_pitch_joint,joint,0.04621076583862299,0.07312701518187409,1.5824670691943927,0.027482559524865915,-0.4200000000000019,1.0,0.23311561318644713,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,right_ankle_pitch_joint,joint,0.0320215225219726,0.07217840147312243,2.2540590137022654,0.024007680838136508,-0.40000000000000213,-0.42,0.34740439719005295,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,left_hip_pitch_joint,joint,0.035664558410644476,0.04823733957154036,1.3525287209820998,0.021389673979457433,-2.300000000000001,1.0,0.29378546968609576,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,right_hip_pitch_joint,joint,0.04103374481201166,0.05245327241241296,1.2782960135059012,0.02728740055664485,-2.200000000000001,1.0,0.2662013278026255,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,left_knee_joint,joint,0.007477760314941406,0.08884655852909285,11.881439734243344,0.02477713162587973,-2.340000000000002,0.56,0.37864294281804944,,0.6102032300015097,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,right_knee_joint,joint,0.023776531219482477,0.08160706203424761,3.4322526394169235,0.02499021484972075,-0.24000000000000044,0.42,0.3397017939947208,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,waist_pitch_joint,joint,0.032339343251161,0.04074441009974755,1.2599022120922263,0.015929227934864596,1.9000000000000021,-0.36,0.2893183606060773,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,waist_roll_joint,joint,0.0102206828571298,0.00040520982577068286,0.0396460619544627,0.003213672150089389,0.9000000000000004,-0.48,0.36449358020987593,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_baseline,torso_relative_roll_rad,imu,0.0039675345949268,0.006860716109139261,1.7292139349993092,0.0022173474723131653,3.0600000000000023,1.0,0.22229474822933618,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_baseline,torso_relative_pitch_rad,imu,0.0469125937743554,0.07138681639879885,1.5216983469761203,0.022146730785880968,0.3200000000000003,0.34,0.6757720238855239,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
