sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,contact_count,left_foot_contact,right_foot_contact,nonfoot_ground_contact_count,self_collision_contact_count,max_contact_penetration_m
0.001,-13.769379783,0.0,0.0,0.6617707046682234,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727242529511082,-0.3854281986927379,2.831317645713149,1,0,1,0,0,9.540979117872439e-18
0.02000000000000001,-13.750379783,1.889744071312269e-05,-0.00013964026085195956,0.660501255120365,-0.002542141800912383,0.00048408584892402665,0.0004217647109825904,0.9999991405965831,-0.0012711215352388127,0.0002417746748484041,0.0002111898310232912,-0.20186735803572237,0.002512082748130453,0.07486687497916282,1.0231133170554585,0.33228012816994734,8.426148175283284,3,1,1,0,0,0.0005411034540818383
0.04000000000000003,-13.730379783,0.0005977418026274928,-0.00018654519796453277,0.6582668959251534,-0.004036106042494632,-0.0021417165149600625,0.0014884460792311625,0.9999971150392812,-0.0020172529799884005,-0.001072357455238236,0.0007420599825009537,0.004361950270433783,-0.2120708288347781,0.025702260965020114,2.4000354845791674,-0.07515564070383864,11.479473899011074,7,1,1,0,0,0.001559835551884668
0.060000000000000046,-13.710379782999999,0.002121272717172899,-0.00014580849639653578,0.6565673377735602,-0.003583669734302804,-0.006484393561998581,0.0018366241199387692,0.9999927224466987,-0.0017888463970812177,-0.003243829982699986,0.0009124961646380964,0.023975575510198077,-0.2125106677756483,0.01230806072201713,1.6045599019363102,-0.20771111385684699,10.634565277829768,8,1,1,0,0,0.0012757183319131683
0.08000000000000006,-13.690379783,0.004249975781115089,-0.0001665004335538575,0.6552381040844908,-0.0032345552067997462,-0.010329365735797269,0.002019491499388996,0.999984853927743,-0.0016120395186957118,-0.005166283536719725,0.0010013781097671772,0.004170242351735727,-0.17161450748037882,0.0029845121060100483,1.018713234897401,-0.13493200403274497,10.522161316947827,10,1,1,0,0,0.0009251329048522812
0.10000000000000007,-13.670379783,0.0066955578476105065,-0.00024836234934271395,0.6542243813382617,-0.0035344883810104408,-0.013182399053345898,0.0019239843913855708,0.9999762650831154,-0.0017608634393428667,-0.006592838496840316,0.0009503214855750864,-0.04746947372974167,-0.11110047980258597,-0.018688034898748103,0.30576415853438943,-0.1286374185093972,10.890516687877584,15,1,1,0,0,0.0006652655115048046
0.12000000000000009,-13.650379783,0.009159218727224847,-0.0003778242188741738,0.653632452578253,-0.004921708848608907,-0.014534262197469896,0.0012855914813417265,0.999970371606373,-0.002456115226866501,-0.0072686254125799345,0.0006248936042396025,-0.06918743305807835,-0.02878088741953315,-0.03739157506168263,-0.26207005713212844,0.30625961047655076,10.870854022465123,17,1,1,0,0,0.00048519714384495215
0.1400000000000001,-13.630379782999999,0.011388127280652494,-0.0003813094173881848,0.6534596703363724,-0.005590485494631416,-0.014230739055963162,0.000768178134731094,0.9999707131545664,-0.0027924352401879882,-0.007116354759513316,0.00036418884468692624,-0.010004760157630055,0.05257412391328907,-0.018237454812510556,-0.7687688086958615,0.013991766882276395,10.329801421323614,20,1,1,0,0,0.0004149322587788341
0.16000000000000011,-13.610379782999999,0.013215393291002747,-0.0003214069287144944,0.6535437749482097,-0.005642744208819085,-0.01260223501853165,0.0004995681901307911,0.9999761412814002,-0.00281973836133677,-0.006301755256337218,0.00023200048423692682,0.0014239719540578635,0.10311423583204476,-0.009803535675293656,-0.7551283108704212,-0.05052700331009252,9.987521947416612,20,1,1,0,0,0.00039839925691168964
0.18000000000000013,-13.590379783,0.01466058798293556,-0.0002555102441258865,0.6537200626521574,-0.005591168309418878,-0.010205929611888489,0.0003199540439282223,0.9999830617974637,-0.0027947277284495337,-0.005103369875937689,0.00014570862636525823,0.0026031379553695774,0.13264851031833716,-0.007427335863873536,-0.6553488931760518,-0.06855790311124721,9.881151121072099,20,1,1,0,0,0.00035170804102830754
0.20000000000000015,-13.570379783,0.015790609878999655,-0.00019429220384588948,0.6539340046782571,-0.005529519474315823,-0.0073991573832353115,0.0001670470997045151,0.9999893320132043,-0.0027644282847752335,-0.0036997870205520075,7.32942491350477e-05,0.0039033109878834744,0.14311385217239977,-0.006284362998966933,-0.4618936392718326,-0.0735632410808312,9.83983709870031,20,1,1,0,0,0.0003309725847500762
0.22000000000000017,-13.550379782999999,0.016706754008910786,-0.00014132865539648011,0.654162531265777,-0.005466779282722593,-0.0045038793521575155,3.4243301873803424e-05,0.9999937286460684,-0.002733340749681601,-0.0022519761597839744,1.0966127845730435e-05,0.0015642181884013091,0.14970379798913697,-0.0058039000478325034,-0.31225596502946756,-0.07864190893332212,9.825771153857973,20,1,1,0,0,0.0003251182652303465
0.24000000000000019,-13.530379782999999,0.017468675390474496,-9.958446528160227e-05,0.6544027025982058,-0.00545178265564465,-0.001427861292577066,-0.0001036420635991532,0.9999960284694561,-0.0027259242501754665,-0.0007137866739686195,-5.376692082175747e-05,0.0004103560513546146,0.15710500549685102,-0.006125324853190944,-0.3390882681443539,-0.07010074604937323,9.833323893316505,20,1,1,0,0,0.0003247772066034783
0.2600000000000002,-13.510379783,0.018084297849907012,-6.476641696875139e-05,0.6546551900447113,-0.005445735085381512,0.001769682058188329,-0.00024254338977384732,0.9999958944669144,-0.0027227557864257456,0.0008851678332412757,-0.00011886189595168551,0.0002781624995685822,0.1620438254508627,-0.00596775762317646,-0.36692209881284915,-0.06619692323267226,9.83084880961677,20,1,1,0,0,0.0003330989129526436
0.2800000000000002,-13.490379783,0.018557920206337272,-3.522058158482275e-05,0.6549188419943851,-0.005439925868925027,0.005047637813449005,-0.0003749711340426074,0.9999930997973628,-0.002719477692885087,0.0025243167987525805,-0.00018061959728141682,0.0003857003955487418,0.16542545708915518,-0.005498463615933996,-0.3754577747770091,-0.0684248403544682,9.828857337152423,20,1,1,0,0,0.00034329352157413517
0.3000000000000002,-13.470379782999998,0.01889943602632828,-1.1457136558291314e-05,0.6551923954190999,-0.0054284083902862825,0.008376368446859433,-0.000497522753249143,0.9999875180387152,-0.0027131351223281747,0.004188831605268986,-0.0002373907363751216,0.0008159078918291174,0.16710377020530742,-0.0049543859253784765,-0.3809796448437718,-0.07173729245358539,9.824174394222721,20,1,1,0,0,0.0003537265655952455
