experiment,joint_name,rmse_rad,delta_rmse_rad,phase_lag_candidate_s,shape_correlation,maximum_ctrl_saturation_fraction,peak_abs_velocity_rad_s
free_baseline,left_elbow_joint,0.037189837751632676,0.03718983829924956,0.22,0.9979386930129088,0.1092133621919194,0.4042169333857764
free_baseline,left_shoulder_pitch_joint,0.05316736248018612,0.05316814928728568,0.24,0.9989221521266262,0.055548483422479,0.4511285126288763
free_baseline,left_shoulder_roll_joint,0.30136313425733496,0.30136926725715824,0.24,0.9987372395675175,0.1888619803311149,2.4681613688793185
free_baseline,left_shoulder_yaw_joint,0.2145900156306149,0.21458907645170794,0.24,0.9985700312082696,0.1071397476416967,1.7498090956406462
free_baseline,left_wrist_roll_joint,0.2242520852960366,0.22425289077730245,0.38,0.9929695254133845,0.2740933808989398,0.9801521741917965
free_baseline,left_wrist_yaw_joint,0.34151069420205515,0.3415107951941842,0.38,0.9932032471158743,0.0182826334039491,1.480134781431346
free_baseline,right_elbow_joint,0.03771122661066379,0.03771122640434983,0.24,0.9983777074517821,0.1085999330017299,0.3828397922884267
free_baseline,right_shoulder_pitch_joint,0.053537020935036046,0.05353709208995686,0.24,0.9989689945260881,0.0553551685113767,0.454640618178278
free_baseline,right_shoulder_roll_joint,0.3010452255733815,0.30105136011842865,0.24,0.9987336094557012,0.1890422160056425,2.4571316979212106
free_baseline,right_shoulder_yaw_joint,0.21426693496455373,0.2142661607609688,0.24,0.9985241653796496,0.1072716657078993,1.7452530317361383
free_baseline,right_wrist_roll_joint,0.22591897877624378,0.22591995618451804,0.38,0.9932436268014629,0.2714457258961048,0.982093364855613
free_baseline,right_wrist_yaw_joint,0.3420305080353575,0.34203082038280036,0.38,0.993327255494641,0.0179932357373576,1.477115006013315
fixed_base_baseline,left_elbow_joint,0.03725865512102323,0.03725865572769442,0.22,0.9979233978968337,0.1105764985549767,0.4038883092109591
fixed_base_baseline,left_shoulder_pitch_joint,0.05290001529442444,0.052900742043653776,0.24,0.9991183148651898,0.0565421174430353,0.4506982811331166
fixed_base_baseline,left_shoulder_roll_joint,0.30147843804105645,0.3014848754870372,0.24,0.9987312973273033,0.1891695746174834,2.468101248975431
fixed_base_baseline,left_shoulder_yaw_joint,0.21429449012239368,0.2142933430886283,0.24,0.9985981512313401,0.1071071586840094,1.7496132829493405
fixed_base_baseline,left_wrist_roll_joint,0.2242622179367381,0.22426302092315234,0.38,0.992967140030383,0.2734291328895994,0.9799991944038656
fixed_base_baseline,left_wrist_yaw_joint,0.34144891215006945,0.34144899743785817,0.38,0.9932093319647657,0.0182918350420134,1.480138156841594
fixed_base_baseline,right_elbow_joint,0.03773017163941236,0.03773017155727044,0.24,0.9983804307731566,0.1100192436686402,0.3828804839363352
fixed_base_baseline,right_shoulder_pitch_joint,0.053253981720459004,0.05325404713995375,0.24,0.9991633377384169,0.0561840545000869,0.4543394561552042
