experiment,joint_name,rmse_rad,delta_rmse_rad,phase_lag_candidate_s,shape_correlation,maximum_ctrl_saturation_fraction,peak_abs_velocity_rad_s
fixed_base_baseline,right_shoulder_roll_joint,0.301041034713874,0.3010467782152775,0.24,0.9987350289108221,0.1891889875171216,2.4578237115078942
fixed_base_baseline,right_shoulder_yaw_joint,0.2139468887140151,0.21394594783931423,0.24,0.9985552109600871,0.107061872296249,1.7451572933907165
fixed_base_baseline,right_wrist_roll_joint,0.22592519900111743,0.2259261740993426,0.38,0.9932402879746993,0.2720007736215746,0.9819712371826356
fixed_base_baseline,right_wrist_yaw_joint,0.34196779497955065,0.34196807747755564,0.38,0.9933336616868276,0.0180003667147101,1.477138407871831
fixed_base_50hz_zoh,left_elbow_joint,0.03884616724664845,0.03884616723574459,0.24,0.9979888191752759,0.1035105094869419,0.4050006298004453
fixed_base_50hz_zoh,left_shoulder_pitch_joint,0.055104472877640524,0.05510516914194519,0.24,0.9990418124106287,0.0494661105641709,0.4585795689562195
fixed_base_50hz_zoh,left_shoulder_roll_joint,0.3137490335956059,0.3137552585465233,0.26,0.998697750387225,0.1804745602715503,2.4549822383206426
fixed_base_50hz_zoh,left_shoulder_yaw_joint,0.22307719054792846,0.22307608676617977,0.26,0.9985263191537539,0.0982870561926765,1.728850396488385
fixed_base_50hz_zoh,left_wrist_roll_joint,0.22958288087671583,0.22958367672895008,0.4,0.9929536460528748,0.2501756599932292,0.9675335211673852
fixed_base_50hz_zoh,left_wrist_yaw_joint,0.34944396836807373,0.34944405320589167,0.4,0.9932855624471912,0.0135948394339544,1.4661410712096197
fixed_base_50hz_zoh,right_elbow_joint,0.039346733755182876,0.039346733752253456,0.24,0.9984612304927337,0.1026315605764672,0.3870978929390778
fixed_base_50hz_zoh,right_shoulder_pitch_joint,0.055475015699939074,0.05547507815314311,0.24,0.9990841433992128,0.0485712067256986,0.463373710271763
fixed_base_50hz_zoh,right_shoulder_roll_joint,0.3132944792477425,0.31330004401949074,0.26,0.9987019054996801,0.1814323313405229,2.4470458431156947
fixed_base_50hz_zoh,right_shoulder_yaw_joint,0.2227142959865673,0.22271338557430675,0.26,0.9984789354090721,0.0987517388959937,1.7228663740281465
fixed_base_50hz_zoh,right_wrist_roll_joint,0.23128440053044316,0.23128536471815145,0.4,0.9932450235841632,0.251098628293158,0.9698709469023302
fixed_base_50hz_zoh,right_wrist_yaw_joint,0.3499732025292867,0.3499734750940739,0.4,0.9934183294745471,0.013551573255924,1.462548041170713
free_reference_advance_030,left_elbow_joint,0.014104988352252493,0.01411430434543837,-0.08,0.9979829219825486,0.1092206074589275,0.4042137174177951
free_reference_advance_030,left_shoulder_pitch_joint,0.016090453955007605,0.021900607591833154,-0.06,0.9989465849248385,0.0555511835877958,0.4511256559813001
free_reference_advance_030,left_shoulder_roll_joint,0.09223732766540692,0.13604968242598925,-0.06,0.9987585930744763,0.1888615540117038,2.4681566140663502
free_reference_advance_030,left_shoulder_yaw_joint,0.06905698302470765,0.09742381021137278,-0.06,0.9985909711926437,0.1071351198671526,1.7498063606525631
free_reference_advance_030,left_wrist_roll_joint,0.08729367514381321,0.09129309574880887,0.08,0.9929854271538632,0.2741023630435924,0.9801527421329884
free_reference_advance_030,left_wrist_yaw_joint,0.13392948113100067,0.14179152756289007,0.08,0.9932141657253956,0.0182825208554523,1.4801344103604304
free_reference_advance_030,right_elbow_joint,0.013521684535766075,0.014513083590382104,-0.06,0.9984107457095266,0.1085950493270151,0.3828432897937628
free_reference_advance_030,right_shoulder_pitch_joint,0.016076442348121608,0.02293601464845576,-0.06,0.9989937794310565,0.0553542465265912,0.4546404229947158
free_reference_advance_030,right_shoulder_roll_joint,0.0919095160650471,0.13837419148447772,-0.06,0.9987565213805365,0.1890436986491944,2.457138297785353
free_reference_advance_030,right_shoulder_yaw_joint,0.06941108687034321,0.09472682939810005,-0.06,0.998545218017194,0.1072751263172343,1.7452528437361574
free_reference_advance_030,right_wrist_roll_joint,0.0875485605008066,0.09368677383466725,0.08,0.9932722902753301,0.2714369628894113,0.982093582160567
free_reference_advance_030,right_wrist_yaw_joint,0.13389940379364343,0.14214397152774252,0.08,0.9933319213744164,0.0179932887966693,1.477115063115872
free_balance_gain_scale_060,left_elbow_joint,0.037273683329460044,0.03727368397284459,0.22,0.9979289841095887,0.1062459325954352,0.4032945916907983
free_balance_gain_scale_060,left_shoulder_pitch_joint,0.053066209036596944,0.05306655145962669,0.24,0.9990808986519353,0.0539153934210539,0.452276285146408
free_balance_gain_scale_060,left_shoulder_roll_joint,0.30147294178103656,0.30147921596025784,0.24,0.9987310774778941,0.1875050840923022,2.466554492163278
free_balance_gain_scale_060,left_shoulder_yaw_joint,0.21443012719396756,0.21442891227790084,0.24,0.9985893786534699,0.1086184923063494,1.751725579175495
free_balance_gain_scale_060,left_wrist_roll_joint,0.22427653934173025,0.22427733797500002,0.38,0.9929666697404843,0.2729057787103603,0.9802017499525406
free_balance_gain_scale_060,left_wrist_yaw_joint,0.3414924646673257,0.3414925480879384,0.38,0.9932018484271027,0.0183035119448582,1.480311988478325
free_balance_gain_scale_060,right_elbow_joint,0.03774813035045375,0.037748129974721406,0.24,0.9983884581439847,0.1061237186829279,0.3824867798289936
free_balance_gain_scale_060,right_shoulder_pitch_joint,0.053420287053102436,0.05342031192389937,0.24,0.9991230751522179,0.0539233724345507,0.4559960724487756
free_balance_gain_scale_060,right_shoulder_roll_joint,0.30105628819218694,0.30106203129438946,0.24,0.9987338693986642,0.1874255568357228,2.456332303808313
free_balance_gain_scale_060,right_shoulder_yaw_joint,0.21408561469164072,0.2140846367795464,0.24,0.9985459482529694,0.1084448366789813,1.7472977377245744
free_balance_gain_scale_060,right_wrist_roll_joint,0.22594032612418669,0.2259412957933128,0.38,0.9932402427822109,0.2718808890092064,0.9819820756178824
free_balance_gain_scale_060,right_wrist_yaw_joint,0.34201224710371636,0.34201252731294673,0.38,0.9933261668017,0.018004832098028,1.477312072590398
free_equilibrium_target_compensation,left_elbow_joint,0.037211762063719234,0.03721176255917761,0.22,0.9979289396168923,0.1095931408158944,0.4040050743868414
free_equilibrium_target_compensation,left_shoulder_pitch_joint,0.05317286268702692,0.0531736497309602,0.24,0.9989031387519175,0.055804861255121,0.4510920940317457
free_equilibrium_target_compensation,left_shoulder_roll_joint,0.3014249941145563,0.30143147264360554,0.24,0.998733037108265,0.1887287453616335,2.468199535934813
free_equilibrium_target_compensation,left_shoulder_yaw_joint,0.21458509317207075,0.21458415412026788,0.24,0.9985685620373608,0.1067284997134362,1.749995871281996
free_equilibrium_target_compensation,left_wrist_roll_joint,0.2242529405474961,0.22425374571649187,0.38,0.9929708410489867,0.2741983888385172,0.9802305951227211
free_equilibrium_target_compensation,left_wrist_yaw_joint,0.3415096750581985,0.34150977532509197,0.38,0.9932027860108047,0.018277130089359,1.4801438267168878
free_equilibrium_target_compensation,right_elbow_joint,0.03769755874078752,0.03769755871148124,0.24,0.9983751387341322,0.1086423070049535,0.3829047694595448
free_equilibrium_target_compensation,right_shoulder_pitch_joint,0.053531939012985634,0.05353201024924846,0.24,0.9989522774969449,0.0554623461698485,0.4547088141962904
free_equilibrium_target_compensation,right_shoulder_roll_joint,0.30101643937578615,0.3010223948153864,0.24,0.9987349668355525,0.1889842778921507,2.45750365649954
free_equilibrium_target_compensation,right_shoulder_yaw_joint,0.21424531800876506,0.21424454486440284,0.24,0.9985242747079073,0.1070528560604347,1.7455066003602286
free_equilibrium_target_compensation,right_wrist_roll_joint,0.22591706392488778,0.22591804140656654,0.38,0.9932443088911206,0.2715471345359352,0.9820379220779064
free_equilibrium_target_compensation,right_wrist_yaw_joint,0.3420271836485898,0.3420274950728318,0.38,0.9933271210492868,0.0179924933338791,1.4771361976109567
