timestamp,joint_name,command_position,measured_position,measured_velocity,measured_torque,imu_quaternion,imu_gyro,imu_accel,phase,self_collision_count
0.001000000,left_shoulder_pitch_joint,0.387803554535,0.387803642762,8.82275833565e-05,-0.246723464982,"[1.0,0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.12543261963022795,-0.00877600829178355,8.026346048530788]",current,0
0.010000000,left_shoulder_pitch_joint,0.387803554535,0.387807358363,0.000618001925802,-0.252826775849,"[0.9999999999866286,2.6940440243767955e-07,5.148702218810039e-06,-4.01340569033801e-07]","[0.00010456150723725631,0.002106559279287185,-0.00010036903592220319]","[0.1694870490854003,-0.007092379148494401,9.123430296521072]",current,0
0.020000000,left_shoulder_pitch_joint,0.387803554535,0.387815348763,0.000915278271996,-0.25706309366,"[0.9999999997461647,1.0732758117992825e-06,2.2493604064866134e-05,-7.463065246319487e-07]","[0.0002053173993883076,0.004575304407295902,-3.748208716913468e-05]","[0.17467301673224345,-0.006792211399654798,9.7781233826227]",current,0
0.030000000,left_shoulder_pitch_joint,0.387803554535,0.387825283387,0.00103439232052,-0.259826286266,"[0.9999999986546397,2.3592319438186575e-06,5.181300602105817e-05,-7.532472623525809e-07]","[0.00029872744366587627,0.006880054816051634,2.3773500046668234e-05]","[0.15998244494109357,-0.0066169220153761464,10.109953750546824]",current,0
0.040000000,left_shoulder_pitch_joint,0.387803554535,0.387835613555,0.00101253322241,-0.261286650276,"[0.9999999957744683,4.095535633598668e-06,9.18367609023864e-05,-5.473861771375778e-07]","[0.0003859524772466179,0.008869542203326534,4.988381079099249e-05]","[0.13360800383336666,-0.006246752713545034,10.224304048093378]",current,0
0.050000000,left_shoulder_pitch_joint,0.387803554535,0.387845072827,0.000877189585673,-0.261488949953,"[0.9999999900785934,6.247986559189806e-06,0.0001407255671393072,-3.018112059318819e-07]","[0.0004656771533850282,0.010457323882280392,4.4835027111864186e-05]","[0.10123814751731836,-0.005629326505987034,10.180862205008674]",current,0
0.060000000,left_shoulder_pitch_joint,0.387803554535,0.387852761253,0.000674380762144,-0.260682579115,"[0.9999999806723799,8.77599249659727e-06,0.0001964133507367244,-1.3261174493764636e-07]","[0.0005369672783325676,0.011636711602391457,2.373540938584162e-05]","[0.0707613240099345,-0.0048882053484238805,10.059664329622816]",current,0
0.070000000,left_shoulder_pitch_joint,0.387803554535,0.387858305213,0.000457257144338,-0.259286920405,"[0.9999999669032887,1.1636716249334572e-05,0.00025701751353305626,-7.547381459543684e-08]","[0.0005996100077634196,0.012470608494623838,2.154462652776756e-06]","[0.04571332318757438,-0.004109265805225139,9.950857725595558]",current,0
0.080000000,left_shoulder_pitch_joint,0.387803554535,0.387861763204,0.000258661943686,-0.257607876509,"[0.9999999483699581,1.4786389974616295e-05,0.0003210006735794891,-1.0664221311917906e-07]","[0.0006533964834902776,0.013025467335796998,-1.16792752650837e-05]","[0.02514118792732698,-0.0033209168553973455,9.879470487424417]",current,0
0.090000000,left_shoulder_pitch_joint,0.387803554535,0.387863392394,8.89449677572e-05,-0.255765409508,"[0.999999924912706,1.8179795664604688e-05,0.00038709694386957974,-1.8203830759892208e-07]","[0.0006979531064751266,0.01334454593897453,-1.6607559288578133e-05]","[0.007199221480858759,-0.0025181488771001967,9.84084284458962]",current,0
0.100000000,left_shoulder_pitch_joint,0.387803554535,0.387863677416,1.08458530592e-07,-0.254227697426,"[0.9999998965517592,2.1769685469953586e-05,0.0004543374101101097,-2.6223227268553873e-07]","[0.0007329471753296163,0.013539915717326184,-1.462480209294456e-05]","[0.0065058243455075335,-0.001725966717378608,9.822479615187815]",current,0
0.110000000,left_shoulder_pitch_joint,0.387803554535,0.387863541314,-2.37052083241e-05,-0.253208695419,"[0.9999998631213561,2.5507666262613163e-05,0.0005225959483610965,-3.198230839660277e-07]","[0.0007580271788868609,0.013732756963968307,-8.555406674084631e-06]","[-0.00021557354813783774,-0.0008854304535572539,9.814829616826653]",current,0
0.120000000,left_shoulder_pitch_joint,0.387803554535,0.387863130959,-5.84893899548e-05,-0.25197831579,"[0.9999998246096949,2.9341811108503183e-05,0.000591539955329582,-3.434547064004722e-07]","[0.000772372910996284,0.013812401659822766,-1.5347885702306174e-06]","[-0.0123313387902916,-6.629162276427855e-06,9.81100087642463]",current,0
0.130000000,left_shoulder_pitch_joint,0.387803554535,0.387862253948,-0.000114365294038,-0.250417999914,"[0.9999997813589758,3.3217139371367634e-05,0.000660438119414584,-3.339738146210912e-07]","[0.0007755826518928035,0.013725977615511274,4.5835690311791115e-06]","[-0.02659579688644021,0.0008780065762502759,9.807242942464486]",current,0
0.140000000,left_shoulder_pitch_joint,0.387803554535,0.387860736572,-0.000183487160064,-0.248601374209,"[0.9999997340247905,3.707814143381258e-05,0.0007284061152050027,-2.984050092763594e-07]","[0.0007678102798509859,0.013458215190591576,9.016933932338908e-06]","[-0.040951649631688236,0.0017261501160319955,9.802316791114837]",current,0
0.150000000,left_shoulder_pitch_joint,0.387803554535,0.38785850573,-0.000255085454035,-0.246644737491,"[0.999999683507037,4.087179284901398e-05,0.0007945534982961899,-2.4562630862035e-07]","[0.0007498393099080587,0.013018017115336952,1.1675746084744393e-05]","[-0.05393838783373509,0.002491766694012325,9.796435076535925]",current,0
0.160000000,left_shoulder_pitch_joint,0.387803554535,0.38785554508,-0.000333475855981,-0.244550160194,"[0.9999996308796609,4.455061481381375e-05,0.0008580534659513367,-1.8396562975365058e-07]","[0.0007230080501479188,0.012409882078077455,1.2755947156896319e-05]","[-0.06903537242623224,0.003144859561254449,9.790544619920809]",current,0
0.170000000,left_shoulder_pitch_joint,0.387803554535,0.387851742358,-0.000416083252417,-0.242272333841,"[0.9999995774803456,4.80748577651324e-05,0.0009180021367913621,-1.2074702757596243e-07]","[0.0006890577010534122,0.011625415655111528,1.2529657873705937e-05]","[-0.08002765048445433,0.003650440059317763,9.785716341693593]",current,0
0.180000000,left_shoulder_pitch_joint,0.387803554535,0.387847224769,-0.000477616338665,-0.240087287881,"[0.9999995246236194,5.1413929828839376e-05,0.0009737089602517855,-6.067981413334008e-08]","[0.000649653742899692,0.01073216768597539,1.1694614527076378e-05]","[-0.08741579501914007,0.00407822064978603,9.786833472788283]",current,0
