timestamp,joint_name,command_position,measured_position,measured_velocity,measured_torque,imu_quaternion,imu_gyro,imu_accel,phase,self_collision_count
0.001000000,left_wrist_roll_joint,-0.0764856338501,-0.0764856258155,8.03459866084e-06,0.0309363384609,"[1.0,0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.12543261963022795,-0.00877600829178355,8.026346048530788]",current,0
0.010000000,left_wrist_roll_joint,-0.0764856338501,-0.0764853380997,4.19017662679e-05,0.0306845343164,"[0.9999999999866286,2.6940440243767955e-07,5.148702218810039e-06,-4.01340569033801e-07]","[0.00010456150723725631,0.002106559279287185,-0.00010036903592220319]","[0.1694870490854003,-0.007092379148494401,9.123430296521072]",current,0
0.020000000,left_wrist_roll_joint,-0.0764856338501,-0.0764849630411,2.92860155119e-05,0.0306984565169,"[0.9999999997461647,1.0732758117992825e-06,2.2493604064866134e-05,-7.463065246319487e-07]","[0.0002053173993883076,0.004575304407295902,-3.748208716913468e-05]","[0.17467301673224345,-0.006792211399654798,9.7781233826227]",current,0
0.030000000,left_wrist_roll_joint,-0.0764856338501,-0.0764848175134,2.37293220527e-06,0.0308301327974,"[0.9999999986546397,2.3592319438186575e-06,5.181300602105817e-05,-7.532472623525809e-07]","[0.00029872744366587627,0.006880054816051634,2.3773500046668234e-05]","[0.15998244494109357,-0.0066169220153761464,10.109953750546824]",current,0
0.040000000,left_wrist_roll_joint,-0.0764856338501,-0.0764849182093,-1.86137036068e-05,0.0309609358229,"[0.9999999957744683,4.095535633598668e-06,9.18367609023864e-05,-5.473861771375778e-07]","[0.0003859524772466179,0.008869542203326534,4.988381079099249e-05]","[0.13360800383336666,-0.006246752713545034,10.224304048093378]",current,0
0.050000000,left_wrist_roll_joint,-0.0764856338501,-0.0764851627477,-2.73013797886e-05,0.0310404537771,"[0.9999999900785934,6.247986559189806e-06,0.0001407255671393072,-3.018112059318819e-07]","[0.0004656771533850282,0.010457323882280392,4.4835027111864186e-05]","[0.10123814751731836,-0.005629326505987034,10.180862205008674]",current,0
0.060000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854286114,-2.46492061754e-05,0.0310584508277,"[0.9999999806723799,8.77599249659727e-06,0.0001964133507367244,-1.3261174493764636e-07]","[0.0005369672783325676,0.011636711602391457,2.373540938584162e-05]","[0.0707613240099345,-0.0048882053484238805,10.059664329622816]",current,0
0.070000000,left_wrist_roll_joint,-0.0764856338501,-0.076485630478,-1.60985739878e-05,0.0310346051906,"[0.9999999669032887,1.1636716249334572e-05,0.00025701751353305626,-7.547381459543684e-08]","[0.0005996100077634196,0.012470608494623838,2.154462652776756e-06]","[0.04571332318757438,-0.004109265805225139,9.950857725595558]",current,0
0.080000000,left_wrist_roll_joint,-0.0764856338501,-0.0764857394301,-6.7923514364e-06,0.0309950289955,"[0.9999999483699581,1.4786389974616295e-05,0.0003210006735794891,-1.0664221311917906e-07]","[0.0006533964834902776,0.013025467335796998,-1.16792752650837e-05]","[0.02514118792732698,-0.0033209168553973455,9.879470487424417]",current,0
0.090000000,left_wrist_roll_joint,-0.0764856338501,-0.076485764511,6.26729749555e-07,0.0309562949266,"[0.999999924912706,1.8179795664604688e-05,0.00038709694386957974,-1.8203830759892208e-07]","[0.0006979531064751266,0.01334454593897453,-1.6607559288578133e-05]","[0.007199221480858759,-0.0025181488771001967,9.84084284458962]",current,0
0.100000000,left_wrist_roll_joint,-0.0764856338501,-0.0764857353927,3.89418586603e-06,0.0309328780337,"[0.9999998965517592,2.1769685469953586e-05,0.0004543374101101097,-2.6223227268553873e-07]","[0.0007329471753296163,0.013539915717326184,-1.462480209294456e-05]","[0.0065058243455075335,-0.001725966717378608,9.822479615187815]",current,0
0.110000000,left_wrist_roll_joint,-0.0764856338501,-0.0764856958874,3.7855285636e-06,0.030928669034,"[0.9999998631213561,2.5507666262613163e-05,0.0005225959483610965,-3.198230839660277e-07]","[0.0007580271788868609,0.013732756963968307,-8.555406674084631e-06]","[-0.00021557354813783774,-0.0008854304535572539,9.814829616826653]",current,0
0.120000000,left_wrist_roll_joint,-0.0764856338501,-0.0764856620611,3.03820816312e-06,0.0309292008676,"[0.9999998246096949,2.9341811108503183e-05,0.000591539955329582,-3.434547064004722e-07]","[0.000772372910996284,0.013812401659822766,-1.5347885702306174e-06]","[-0.0123313387902916,-6.629162276427855e-06,9.81100087642463]",current,0
0.130000000,left_wrist_roll_joint,-0.0764856338501,-0.0764856354757,2.37983202451e-06,0.0309301078738,"[0.9999997813589758,3.3217139371367634e-05,0.000660438119414584,-3.339738146210912e-07]","[0.0007755826518928035,0.013725977615511274,4.5835690311791115e-06]","[-0.02659579688644021,0.0008780065762502759,9.807242942464486]",current,0
0.140000000,left_wrist_roll_joint,-0.0764856338501,-0.0764856141976,1.95765676187e-06,0.030930248535,"[0.9999997340247905,3.707814143381258e-05,0.0007284061152050027,-2.984050092763594e-07]","[0.0007678102798509859,0.013458215190591576,9.016933932338908e-06]","[-0.040951649631688236,0.0017261501160319955,9.802316791114837]",current,0
0.150000000,left_wrist_roll_joint,-0.0764856338501,-0.07648559592,1.7484356891e-06,0.0309294819458,"[0.999999683507037,4.087179284901398e-05,0.0007945534982961899,-2.4562630862035e-07]","[0.0007498393099080587,0.013018017115336952,1.1675746084744393e-05]","[-0.05393838783373509,0.002491766694012325,9.796435076535925]",current,0
0.160000000,left_wrist_roll_joint,-0.0764856338501,-0.0764855775177,2.0973938698e-06,0.0309260923888,"[0.9999996308796609,4.455061481381375e-05,0.0008580534659513367,-1.8396562975365058e-07]","[0.0007230080501479188,0.012409882078077455,1.2755947156896319e-05]","[-0.06903537242623224,0.003144859561254449,9.790544619920809]",current,0
0.170000000,left_wrist_roll_joint,-0.0764856338501,-0.0764855514367,3.01903553618e-06,0.0309182499009,"[0.9999995774803456,4.80748577651324e-05,0.0009180021367913621,-1.2074702757596243e-07]","[0.0006890577010534122,0.011625415655111528,1.2529657873705937e-05]","[-0.08002765048445433,0.003650440059317763,9.785716341693593]",current,0
0.180000000,left_wrist_roll_joint,-0.0764856338501,-0.0764855176583,3.58573252909e-06,0.0309111731901,"[0.9999995246236194,5.1413929828839376e-05,0.0009737089602517855,-6.067981413334008e-08]","[0.000649653742899692,0.01073216768597539,1.1694614527076378e-05]","[-0.08741579501914007,0.00407822064978603,9.786833472788283]",current,0
0.190000000,left_wrist_roll_joint,-0.0764856338501,-0.076485481455,3.56445847755e-06,0.0309069386114,"[0.9999994734698595,5.454268912867909e-05,0.0010247365998640328,-5.294804589241049e-09]","[0.000605514166654897,0.009765752187032462,1.0710205139373444e-05]","[-0.09261849255456854,0.004453135176311034,9.791239940091861]",current,0
0.200000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854482179,3.06988585458e-06,0.0309055569711,"[0.9999994250518065,5.743928414776119e-05,0.001070792595640107,4.483271482863284e-08]","[0.0005573108656271667,0.00875215058001394,9.613155217217335e-06]","[-0.09599279865223026,0.004772924465335369,9.79616218952664]",current,0
0.210000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854216559,2.28730965971e-06,0.0309063946403,"[0.9999993802529802,6.0085314910776355e-05,0.001111702929144099,8.912374100039374e-08]","[0.0005057432775315668,0.0077133576915551,8.401493079276024e-06]","[-0.09779777088428192,0.00503735322631904,9.800497284789618]",current,0
0.220000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854037762,1.36765071959e-06,0.0309088163215,"[0.9999993397916128,6.246588938461903e-05,0.0011473945854970726,1.2711945059934448e-07]","[0.0004515123379592832,0.006668178097777203,7.119924592933528e-06]","[-0.09825339360854642,0.005246844072233968,9.803927402421284]",current,0
0.230000000,left_wrist_roll_joint,-0.0764856338501,-0.0764853953607,4.10981547358e-07,0.030912348905,"[0.9999993042137303,6.456959647325051e-05,0.0011778806379528362,1.5867189533293567e-07]","[0.00039530899946865956,0.005632567448998213,5.839177530388874e-06]","[-0.0975603487476528,0.0054021891204956846,9.806473230892465]",current,0
0.240000000,left_wrist_roll_joint,-0.0764856338501,-0.0764853964194,-5.22010227956e-07,0.030916668964,"[0.9999992738948151,6.638843625320134e-05,0.0012032466014711913,1.839883128981124e-07]","[0.0003378073371738268,0.004619842106742033,4.626429676778355e-06]","[-0.09590517031053138,0.005504546812592593,9.808277433927126]",current,0
0.250000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854065034,-1.39552696305e-06,0.0309215522319,"[0.9999992490486043,6.791772018913723e-05,0.0012236377605468157,2.035616607606425e-07]","[0.000279659088737887,0.0036408708860177497,3.5289642611463455e-06]","[-0.09346034593335993,0.00555547767584179,9.80950608932785]",current,0
0.260000000,left_wrist_roll_joint,-0.0764856338501,-0.0764854248911,-2.18812146885e-06,0.0309268309522,"[0.999999229741232,6.915594569347993e-05,0.0012392474933996466,2.1805597980758422e-07]","[0.00022148876238633892,0.0027042824540879965,2.570413610516389e-06]","[-0.09038309137104393,0.005556957271804788,9.81030872677231]",current,0
