topic,receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,message.header.stamp.sec,message.header.stamp.nanosec,message.header.frame_id,message.header.sequence,message.header.meas_stamp.sec,message.header.meas_stamp.nanosec,message.input_source.name,message.input_source.priority,message.input_source.timeout,message.action_info.current_action.value,message.action_info.action_desc,message.action_info.status.value,message.runtime_model.waist_status,message.runtime_model.left_hand_status.value,message.runtime_model.right_hand_status.value,message.motion_status.player_state.value,message.motion_status.control_area.value,message.motion_status.motion,message.motion_status.type.value,message.servo_status.squat_enable,message.servo_status.squat_offset,message.servo_status.squat_limit,message.servo_status.head_yaw_offset,message.servo_status.head_pitch_offset,message.servo_status.waist_yaw_offset,message.servo_status.waist_pitch_offset,message.servo_status.waist_roll_offset,message.fsm_state.current_state,message.body_status.value,message.speed_status.speed_mode.value,message.speed_status.forward_bounds.min_value,message.speed_status.forward_bounds.max_value,message.speed_status.lateral_bounds.min_value,message.speed_status.lateral_bounds.max_value,message.speed_status.angular_bounds.min_value,message.speed_status.angular_bounds.max_value
/aima/mc/common/state,1786663931371583770,2026-08-13T23:32:11.371584+00:00,14068446678749,1.78211402,1786663931,368337212,1786663931368337212,2026-08-13T23:32:11.368337+00:00,,140181,0,0,0,1786663931,368337212,,140181,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931471681367,2026-08-13T23:32:11.471681+00:00,14068546776282,1.882211553,1786663931,468340378,1786663931468340378,2026-08-13T23:32:11.468340+00:00,,140182,0,0,0,1786663931,468340378,,140182,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931571744856,2026-08-13T23:32:11.571745+00:00,14068646839931,1.982275202,1786663931,568340337,1786663931568340337,2026-08-13T23:32:11.568340+00:00,,140183,0,0,0,1786663931,568340337,,140183,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931673859008,2026-08-13T23:32:11.673859+00:00,14068748953987,2.084389258,1786663931,668308503,1786663931668308503,2026-08-13T23:32:11.668308+00:00,,140184,0,0,0,1786663931,668308503,,140184,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931771211306,2026-08-13T23:32:11.771211+00:00,14068846306189,2.18174146,1786663931,768356295,1786663931768356295,2026-08-13T23:32:11.768356+00:00,,140185,0,0,0,1786663931,768356295,,140185,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931871725886,2026-08-13T23:32:11.871726+00:00,14068946821121,2.282256392,1786663931,868359170,1786663931868359170,2026-08-13T23:32:11.868359+00:00,,140186,0,0,0,1786663931,868359170,,140186,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663931972480883,2026-08-13T23:32:11.972481+00:00,14069047575510,2.383010781,1786663931,968364379,1786663931968364379,2026-08-13T23:32:11.968364+00:00,,140187,0,0,0,1786663931,968364379,,140187,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932073273893,2026-08-13T23:32:12.073274+00:00,14069148368904,2.483804175,1786663932,68356754,1786663932068356754,2026-08-13T23:32:12.068357+00:00,,140188,0,0,0,1786663932,68356754,,140188,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932171305849,2026-08-13T23:32:12.171306+00:00,14069246400989,2.58183626,1786663932,168361670,1786663932168361670,2026-08-13T23:32:12.168362+00:00,,140189,0,0,0,1786663932,168361670,,140189,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932272900883,2026-08-13T23:32:12.272901+00:00,14069347995958,2.683431229,1786663932,268357545,1786663932268357545,2026-08-13T23:32:12.268358+00:00,,140190,0,0,0,1786663932,268357545,,140190,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
