receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance,gyro_x,gyro_y,gyro_z,gyro_covariance,accel_x,accel_y,accel_z,accel_covariance
1786663930610535311,2026-08-13T23:32:10.610535+00:00,14067685630482,1.021065753,1786663930,513329211,1786663930513329211,2026-08-13T23:32:10.513329+00:00,base_link,,,,,-0.022698963060975075,0.022306326776742935,0.6396641135215759,0.7679954767227173,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.000312493183198573,0.00018370470245092886,0.0006593802856451113,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6239082897879183,-0.07047903737621382,9.801651168799399,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930631847617,2026-08-13T23:32:10.631848+00:00,14067706942756,1.042378027,1786663930,531409920,1786663930531409920,2026-08-13T23:32:10.531410+00:00,base_link,,,,,-0.022701317444443703,0.022326212376356125,0.6396639943122864,0.7679948806762695,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0005954187114205551,-0.0011496294262356625,0.0019944785309888454,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6332639279585331,-0.05579204354842659,9.797404032748936,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930653329870,2026-08-13T23:32:10.653330+00:00,14067728424690,1.063859961,1786663930,553270628,1786663930553270628,2026-08-13T23:32:10.553271+00:00,base_link,,,,,-0.022694367915391922,0.022334963083267212,0.6396642327308655,0.7679946422576904,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.00023258937793197638,0.0044470769455255636,0.002519932437554764,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6082412399807945,-0.05904733728363644,9.801082429000735,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930674070226,2026-08-13T23:32:10.674070+00:00,14067749165333,1.084600604,1786663930,575245086,1786663930575245086,2026-08-13T23:32:10.575245+00:00,base_link,,,,,-0.022719334810972214,0.022329628467559814,0.6396633982658386,0.7679947018623352,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",5.420030210458201e-05,0.000980087493784444,-0.0004002379367864258,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6354235171452164,-0.07343788261523004,9.797010064995288,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930695637149,2026-08-13T23:32:10.695637+00:00,14067770732064,1.106167335,1786663930,595209670,1786663930595209670,2026-08-13T23:32:10.595210+00:00,base_link,,,,,-0.02273128740489483,0.022325098514556885,0.63966304063797,0.7679948210716248,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0003073835029313087,0.0015159006808718504,-0.0017135674409620141,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6185036542654037,-0.05296220868367236,9.798784673452376,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930716803860,2026-08-13T23:32:10.716804+00:00,14067791898967,1.127334238,1786663930,619338378,1786663930619338378,2026-08-13T23:32:10.619339+00:00,base_link,,,,,-0.022741857916116714,0.022323139011859894,0.6396626830101013,0.76799476146698,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.001924657547236046,-7.351085326019917e-05,0.002001626413742726,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6255359640549868,-0.07044093842210714,9.794071088933944,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930737484505,2026-08-13T23:32:10.737484+00:00,14067812579612,1.148014883,1786663930,637175836,1786663930637175836,2026-08-13T23:32:10.637176+00:00,base_link,,,,,-0.02274012193083763,0.022328855469822884,0.6396627426147461,0.76799476146698,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.001116404150967997,-0.0003443097008651947,-0.0027743738129482414,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6307132936276495,-0.05595947710378095,9.798748433095216,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930758513204,2026-08-13T23:32:10.758513+00:00,14067833608247,1.169043518,1786663930,661254378,1786663930661254378,2026-08-13T23:32:10.661254+00:00,base_link,,,,,-0.02273399569094181,0.02232731692492962,0.6396629214286804,0.7679947018623352,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0012800788066426344,0.00044898005902797134,-0.0022513500408770206,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6205692084930837,-0.06710749685019254,9.794829798346758,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930778847845,2026-08-13T23:32:10.778848+00:00,14067853942952,1.189378223,1786663930,679324295,1786663930679324295,2026-08-13T23:32:10.679324+00:00,base_link,,,,,-0.022731343284249306,0.022318679839372635,0.6396629810333252,0.7679951190948486,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0008719651040846661,-0.0035438510375886533,-0.001977913486956525,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6133516783297062,-0.05308163837883621,9.795388601273297,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930799392242,2026-08-13T23:32:10.799392+00:00,14067874487349,1.20992262,1786663930,701266961,1786663930701266961,2026-08-13T23:32:10.701267+00:00,base_link,,,,,-0.02271845005452633,0.022305961698293686,0.6396633386611938,0.7679954767227173,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.002342754722915584,0.001770116831899702,0.004407489472040457,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6271477101005614,-0.06268239671720657,9.799332954984903,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
