receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,array_state,joint_index,joint_name,position,velocity,effort,coil_temp,motor_temp,motor_vol
1786663930044087085,2026-08-13T23:32:10.044087+00:00,14067119182192,0.454617463,1786663930,7624128,1786663930007624128,2026-08-13T23:32:10.007624+00:00,x2_head,1401036,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930073872603,2026-08-13T23:32:10.073873+00:00,14067148967550,0.484402821,1786663930,31692753,1786663930031692753,2026-08-13T23:32:10.031693+00:00,x2_head,1401038,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0006105303764343262,0,148,23
1786663930073872603,2026-08-13T23:32:10.073873+00:00,14067148967550,0.484402821,1786663930,31692753,1786663930031692753,2026-08-13T23:32:10.031693+00:00,x2_head,1401038,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930095570338,2026-08-13T23:32:10.095570+00:00,14067170665189,0.50610046,1786663930,52660961,1786663930052660961,2026-08-13T23:32:10.052661+00:00,x2_head,1401041,0,0,0,0,0,head_yaw_joint,0.0001437664031982422,0.0030689239501953125,-0.0018315315246582031,0,134,23
1786663930095570338,2026-08-13T23:32:10.095570+00:00,14067170665189,0.50610046,1786663930,52660961,1786663930052660961,2026-08-13T23:32:10.052661+00:00,x2_head,1401041,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930126490125,2026-08-13T23:32:10.126490+00:00,14067201584912,0.537020183,1786663930,70682461,1786663930070682461,2026-08-13T23:32:10.070682+00:00,x2_head,1401043,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0006105303764343262,0,148,23
1786663930126490125,2026-08-13T23:32:10.126490+00:00,14067201584912,0.537020183,1786663930,70682461,1786663930070682461,2026-08-13T23:32:10.070682+00:00,x2_head,1401043,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930157192608,2026-08-13T23:32:10.157193+00:00,14067232285795,0.567721066,1786663930,91685961,1786663930091685961,2026-08-13T23:32:10.091686+00:00,x2_head,1401045,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0015873312950134277,0,134,23
1786663930157192608,2026-08-13T23:32:10.157193+00:00,14067232285795,0.567721066,1786663930,91685961,1786663930091685961,2026-08-13T23:32:10.091686+00:00,x2_head,1401045,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930177837094,2026-08-13T23:32:10.177837+00:00,14067252932009,0.58836728,1786663930,118616128,1786663930118616128,2026-08-13T23:32:10.118616+00:00,x2_head,1401047,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,148,23
1786663930177837094,2026-08-13T23:32:10.177837+00:00,14067252932009,0.58836728,1786663930,118616128,1786663930118616128,2026-08-13T23:32:10.118616+00:00,x2_head,1401047,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930199100122,2026-08-13T23:32:10.199100+00:00,14067274195005,0.609630276,1786663930,142638086,1786663930142638086,2026-08-13T23:32:10.142638+00:00,x2_head,1401050,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0006105303764343262,0,121,23
1786663930199100122,2026-08-13T23:32:10.199100+00:00,14067274195005,0.609630276,1786663930,142638086,1786663930142638086,2026-08-13T23:32:10.142638+00:00,x2_head,1401050,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930220075319,2026-08-13T23:32:10.220075+00:00,14067295170426,0.630605697,1786663930,181675336,1786663930181675336,2026-08-13T23:32:10.181675+00:00,x2_head,1401054,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,121,23
1786663930220075319,2026-08-13T23:32:10.220075+00:00,14067295170426,0.630605697,1786663930,181675336,1786663930181675336,2026-08-13T23:32:10.181675+00:00,x2_head,1401054,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930240619745,2026-08-13T23:32:10.240620+00:00,14067315714852,0.651150123,1786663930,223674461,1786663930223674461,2026-08-13T23:32:10.223674+00:00,x2_head,1401058,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0015873312950134277,0,121,23
1786663930240619745,2026-08-13T23:32:10.240620+00:00,14067315714852,0.651150123,1786663930,223674461,1786663930223674461,2026-08-13T23:32:10.223674+00:00,x2_head,1401058,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930261916660,2026-08-13T23:32:10.261917+00:00,14067337011671,0.672446942,1786663930,250683961,1786663930250683961,2026-08-13T23:32:10.250684+00:00,x2_head,1401061,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0015873312950134277,0,121,23
1786663930261916660,2026-08-13T23:32:10.261917+00:00,14067337011671,0.672446942,1786663930,250683961,1786663930250683961,2026-08-13T23:32:10.250684+00:00,x2_head,1401061,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930282640920,2026-08-13T23:32:10.282641+00:00,14067357735931,0.693171202,1786663930,277604211,1786663930277604211,2026-08-13T23:32:10.277604+00:00,x2_head,1401063,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0025641322135925293,0,148,23
1786663930282640920,2026-08-13T23:32:10.282641+00:00,14067357735931,0.693171202,1786663930,277604211,1786663930277604211,2026-08-13T23:32:10.277604+00:00,x2_head,1401063,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930303064134,2026-08-13T23:32:10.303064+00:00,14067378159241,0.713594512,1786663930,292604628,1786663930292604628,2026-08-13T23:32:10.292605+00:00,x2_head,1401065,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.002319931983947754,0,134,23
1786663930303064134,2026-08-13T23:32:10.303064+00:00,14067378159241,0.713594512,1786663930,292604628,1786663930292604628,2026-08-13T23:32:10.292605+00:00,x2_head,1401065,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930330011467,2026-08-13T23:32:10.330011+00:00,14067405106606,0.740541877,1786663930,313603461,1786663930313603461,2026-08-13T23:32:10.313604+00:00,x2_head,1401067,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0006105303764343262,0,134,23
1786663930330011467,2026-08-13T23:32:10.330011+00:00,14067405106606,0.740541877,1786663930,313603461,1786663930313603461,2026-08-13T23:32:10.313604+00:00,x2_head,1401067,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930355099690,2026-08-13T23:32:10.355100+00:00,14067430194605,0.765629876,1786663930,346238628,1786663930346238628,2026-08-13T23:32:10.346239+00:00,x2_head,1401070,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,134,23
1786663930355099690,2026-08-13T23:32:10.355100+00:00,14067430194605,0.765629876,1786663930,346238628,1786663930346238628,2026-08-13T23:32:10.346239+00:00,x2_head,1401070,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930381446465,2026-08-13T23:32:10.381446+00:00,14067456541445,0.791976716,1786663930,354599836,1786663930354599836,2026-08-13T23:32:10.354600+00:00,x2_head,1401071,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0008547306060791016,0,134,23
1786663930381446465,2026-08-13T23:32:10.381446+00:00,14067456541445,0.791976716,1786663930,354599836,1786663930354599836,2026-08-13T23:32:10.354600+00:00,x2_head,1401071,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930403524092,2026-08-13T23:32:10.403524+00:00,14067478618751,0.814054022,1786663930,366609794,1786663930366609794,2026-08-13T23:32:10.366610+00:00,x2_head,1401072,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0001221299171447754,0,121,23
1786663930403524092,2026-08-13T23:32:10.403524+00:00,14067478618751,0.814054022,1786663930,366609794,1786663930366609794,2026-08-13T23:32:10.366610+00:00,x2_head,1401072,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930423557398,2026-08-13T23:32:10.423557+00:00,14067498652249,0.83408752,1786663930,378627336,1786663930378627336,2026-08-13T23:32:10.378627+00:00,x2_head,1401073,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,121,23
1786663930423557398,2026-08-13T23:32:10.423557+00:00,14067498652249,0.83408752,1786663930,378627336,1786663930378627336,2026-08-13T23:32:10.378627+00:00,x2_head,1401073,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930445835243,2026-08-13T23:32:10.445835+00:00,14067520930350,0.856365621,1786663930,393595378,1786663930393595378,2026-08-13T23:32:10.393595+00:00,x2_head,1401075,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,121,23
1786663930445835243,2026-08-13T23:32:10.445835+00:00,14067520930350,0.856365621,1786663930,393595378,1786663930393595378,2026-08-13T23:32:10.393595+00:00,x2_head,1401075,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930466264888,2026-08-13T23:32:10.466265+00:00,14067541359803,0.876795074,1786663930,411602003,1786663930411602003,2026-08-13T23:32:10.411602+00:00,x2_head,1401077,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,121,23
