timestamp,joint_name,command_position,measured_position,measured_velocity,measured_torque,imu_quaternion,imu_gyro,imu_accel
0.626542617,left_ankle_pitch,,-0.330855846,0.00610542297,11.1648331,,,
0.626542617,left_ankle_roll,,0.0154352188,0.00610542297,-0.79120636,,,
0.626542617,left_hip_pitch,,-0.248405457,-0.00610542297,-5.94871521,,,
0.626542617,left_hip_roll,,-0.0311584473,-0.00610542297,9.64102173,,,
0.626542617,left_hip_yaw,,-0.018887043,0.00610542297,-0.908424377,,,
0.626542617,left_knee,,0.523367882,-0.00610542297,-12.21978,,,
0.626542617,right_ankle_pitch,,-0.274674416,-0.00610542297,10.3443298,,,
0.626542617,right_ankle_roll,,0.00278043747,0.00610542297,-0.0879135132,,,
0.626542617,right_hip_pitch,,-0.293273449,0.00610542297,9.17216492,,,
0.626542617,right_hip_roll,,0.0167779922,-0.00610542297,-6.35897064,,,
0.626542617,right_hip_yaw,,-0.0271320343,0.00610542297,1.90476227,,,
0.626542617,right_knee,,0.49652338,0.00610542297,-1.20146179,,,
0.652316128,left_ankle_pitch,,-0.330855846,0.00610542297,11.1062241,,,
0.652316128,left_ankle_roll,,0.0154352188,0.00610542297,-0.79120636,,,
0.652316128,left_hip_pitch,,-0.248405457,-0.00610542297,-5.94871521,,,
0.652316128,left_hip_roll,,-0.0311584473,-0.00610542297,9.58241272,,,
0.652316128,left_hip_yaw,,-0.018887043,0.00610542297,-0.967033386,,,
0.652316128,left_knee,,0.523367882,-0.00610542297,-12.5128174,,,
0.652316128,right_ankle_pitch,,-0.274674416,-0.00610542297,10.2857208,,,
0.652316128,right_ankle_roll,,0.00278043747,0.00610542297,-0.0293045044,,,
0.652316128,right_hip_pitch,,-0.293273449,0.00610542297,9.46520233,,,
0.652316128,right_hip_roll,,0.0167779922,-0.00610542297,-6.35897064,,,
0.652316128,right_hip_yaw,,-0.0271320343,0.00610542297,2.08058929,,,
0.652316128,right_knee,,0.49652338,0.00610542297,-1.2600708,,,
0.678079688,left_ankle_pitch,,-0.330855846,0.00610542297,11.1648331,,,
0.678079688,left_ankle_roll,,0.0154352188,0.00610542297,-0.849815369,,,
0.678079688,left_hip_pitch,,-0.248405457,-0.00610542297,-6.00732422,,,
0.678079688,left_hip_roll,,-0.0311584473,-0.00610542297,9.81684875,,,
0.678079688,left_hip_yaw,,-0.018887043,0.00610542297,-0.908424377,,,
