category,path,bytes,sha256
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_contact_timeline.csv,3576,202ce1cd548cb8164abe80f69318ca0cf6f11142e774284791fed9bacc35fae4
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_core.py,29122,e3f126c8be4d34c1e0c1b78af90ca600cf04fe08aa8432b0456ea4b183efa435
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_experiments.csv,11019,154f026afba064d8dec71da2744b68c638969723190c29ec0c6bb2fc1d654c98
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_final_gate.md,1733,6a44278539aa3c4cf5df89151bc8c7af9de001ab839b5c75aab52da978ac1b58
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_final_validation_summary.json,33051,f31601726b888c38e81cdfdfb15ac56177bfe29dc64580a1b6739ec03247ff69
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\phase3ar_real_balance_targets.csv,3029,84686d4dd5c6c6bb4bd6157243f2ca027e386d741884b011770ae99f3cf8e70a
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\rehearsal_12_joint_regression.csv,1122,fadfa2d8be6d36029ef3a2072dce6b323c598bfb79f9d30edfdb9cb66ca19a84
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\rehearsal_12_joint_regression.json,4016,49abe508bd3b0d51b88891c59487dd9754c5077794b82c9760eb4cf2b6b54744
phase3ar_architecture_and_results,Master_MuJoCo\calibration\phase3ar_controller_redesign\simulation_controller_robustness_candidate.json,1861,545fa32260e0b39e003f8ab46ffa1f031cc295a5e20f3b42914a8b09f6ecd3ce
phase3ar_inherited::hardware_mapping_read_only,Master_MuJoCo\calibration\joint_mapping.csv,33590,3975d90f7f9405f3d98f1e19c873fbd5688f02b68d1d239f11a7d12a4fb5ff04
phase3ar_inherited::immutable_mjcf,Master_MuJoCo\assets\Master\ff_master_ultra.xml,39960,89619295fcc372c57473224130865b2fe4f22e0741f72925fac243805f4353db
phase3ar_inherited::immutable_mjcf,Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,39842,6d5940490d93f89929af8983a0de900c9e6c0351839163463ae0881d1b9399dd
phase3ar_inherited::immutable_mjcf,Master_MuJoCo\assets\Master\scene_x2_fixed.xml,1101,2dc116ce47d09a5105d01372a8456356b6e9881dee4c4947bc7c876757529a08
phase3ar_inherited::immutable_mjcf,Master_MuJoCo\assets\Master\scene_x2_free.xml,1025,88483553e15173d09d69f4fca32a466bb022d6dbb805f074ffa89447fc876d0b
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\capture_metadata.json,11333,8607a54b6d087608232fb763413c5040d64b0c199bff4bf45f214a9a2426451b
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\events.csv,821,731014d02b0100129cd3602ba49e4f124ccb6aa3147095517dc62c383c877a52
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\mc_state.csv,108508,80abb227710ee5fb8e631b6c306ae650ab5b425214102396afda751ad13de78e
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\operator_markers.jsonl,462,0e38ff47f152b0027977ccd173dfb117bba8e36714b93f65db7fabf66274d943
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\plots\arm_effort.png,373512,abbfbab0fe0b7a4ce7120b3f74f0aabc7af0e4dda7ff0d65419bd6a1adcdd825
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\plots\arm_position.png,140550,419884d397d25b97a009959b8650734f7d331fb78c6032d420357f8ae470313c
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\plots\arm_velocity.png,160703,02116d62b72da2524514f2c18710975b868189536faf615b9b09fd7832c40464
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\plots\imu_norms.png,102054,a4382a0f795c4044860783eeca00b0cbe7aea05bf50962c7b361e5102be0df66
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_arm.csv,5749170,4ea69258c02ec296f3cb74a58f23fc5ee2bbeec46fade3e7e047afcc1797992b
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_chest_imu.csv,729296,4d57f355768bc1da9f9eade04ae32d0d18fe48e4213a0a1568daae2f391fb2c0
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_head.csv,711950,c7f4838a48fe8b8161a6899fe4e9d015fefc7ea1506537dae9c7f1eb139e9b7a
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_leg.csv,4883423,ee49a2dbbc1705d4812e075d08f466c7702b00fac0421cb656e4ddaded6128cf
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_serialized_evidence.txt,12571942,a6757b13753966ec95cc053bd5fcf5b807419d9ba94a5e57c517f3aa72c539d9
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_serialized_evidence_attempt_114_failed.txt,63,dd09ffc501d4663c6e3e674873a4ab456c37f5cefa012d05bde41728cf07f4be
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_serialized_evidence_attempt_66_failed.txt,62,c1879a0b5460e2f7ef9bcf1793caa3acc91056dcc68505391954def61df45091
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_torso_imu.csv,727355,7ab29fd09fe8e74850d48f7b43534aa272efe4de33afd347782ad823dbfa668a
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\raw_waist.csv,1225210,dda90e740a4b0e5344bbf8b4b1d12c1e116390dd24afa4f992adbabf5f70facf
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\recorder_status.txt,543,163b940aedacfa77708828f249bce8a95bf99deb5f781c7278deb3ac59290725
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\recorder_status_attempt_114_failed.txt,157,e72128a4f3ea5e38460e4d83072716b3fa07148e776c1008c8fabf1d415c4eeb
phase3ar_inherited::phase2d_heart_raw,Master_MuJoCo\calibration\logs\real\phase2d_heart_001\recorder_status_attempt_66_failed.txt,156,68e975e7cd533340ce24c2ab078ee360b88b5c273277ede87ecf5a030f3cea8f
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\phase2e_aligned_imu_data.csv,1110830,a2e9e16291747cf8891cb1d2d0d8296f8452dc8bfbd143ce9b34bc9fee6254b0
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\phase2e_aligned_joint_data.csv,5599549,7f59b5454e0e102a2f57ed8683063fcee9ec0c6623a5085a8e57377fd3d143e8
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\phase2e_heart_measured_reference.csv,3803578,bdb883357fab5c15948dc15404477b5d70f844371f0abdfa14d7f77514a3ce1b
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\phase2e_joint_metrics.csv,12731,bea3b94da0c57a809348f9cd83f1a6dc9d6c9e4d4fbd6bf7bd19bde024002a5a
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay1_arm_only_base_log.csv,686706,46de7c765443d5714d27d329d65391e14e586d98c6d7d6d567c7570d32a46fca
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay1_arm_only_joint_log.csv,14981905,61cd37cfb910263e38c69c48911b3d3b1f3197691a19f67fe104aae988062d7d
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay1_arm_only_summary.json,2372,f8ad45e54550f2882b730c454dd9cac4c3c9ef313dde3c33021c676ac5821850
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay2_whole_body_base_log.csv,686431,42099b3ff17d1f068d4c1db6d05de0e0bd526ba4b97a0f7a36bcd6fbd30c82bb
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay2_whole_body_joint_log.csv,15063557,bb1cdead9e90dce40d7a3505f424c2ffa56499f4c7b4ad9212217416afb19252
phase3ar_inherited::phase2e_phase2f_heart,Master_MuJoCo\calibration\phase2e_replay\replay2_whole_body_summary.json,2368,bf2c87aa6ec384b637d1838e2fae2a7c438d66da64080a31db09af7d4f8247f0
