experiment_id,family,dataset,mode,stable_no_fall,fall_time_s,contact_safety_pass,pelvis_hip_contact_samples,minimum_positive_precontact_distance_m,maximum_pelvis_hip_penetration_m,limit_management_pass,minimum_limit_margin_rad,saturation_management_pass,persistent_saturation_fraction,max_consecutive_saturation_s,minimum_com_support_margin_m,arm_tracking_retained,balance_shape_score,safety_pass,classification,summary_file
ax_e_pitch_roll,AX-E_PITCH_ROLL_DECOMPOSED,heart,arm_only,True,,True,0,0.003256454842198494,0.0,True,0.0479525425989183,True,0.0,0.0,0.00762728846581151,True,1.4688766146140255,True,REJECTED_OR_DIAGNOSTIC_ONLY,ax_e_pitch_roll__heart__arm_only_summary.json
ax_e_pitch_roll,AX-E_PITCH_ROLL_DECOMPOSED,wave,arm_only,True,,False,687,8.662222688999139e-06,0.0004863827865874522,True,0.04606256264943201,True,0.0,0.0,0.01809058898208042,True,0.8611322887209467,False,REJECTED_OR_DIAGNOSTIC_ONLY,ax_e_pitch_roll__wave__arm_only_summary.json
ax_f2_eligible_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,heart,arm_only,True,,True,0,0.00325807393329713,0.0,True,0.0479526028327285,True,0.0,0.0,0.030411239219341052,True,1.4884466843426223,True,PARTIAL_OR_INSUFFICIENT,ax_f2_eligible_allocation__heart__arm_only_summary.json
ax_f2_eligible_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,wave,arm_only,True,,False,302,1.6741059064711939e-06,5.8761976670312023e-05,True,0.0461518228519083,True,0.0,0.0,0.03603146184599211,True,0.9479518015392021,False,PARTIAL_OR_INSUFFICIENT,ax_f2_eligible_allocation__wave__arm_only_summary.json
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,heart,arm_only,False,2.6539999999998187,False,5,7.015996513715283e-05,0.0007428936435357028,False,-0.0726391975492946,False,0.8212005108556832,10.62,-0.5018288641677514,True,1.8185367386231837,False,REJECTED_OR_DIAGNOSTIC_ONLY,ax_f_constraint_allocation__heart__arm_only_summary.json
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,wave,arm_only,False,3.1929999999997594,False,9,1.491422056115191e-05,0.0017744578996161425,False,-0.0362373978173709,False,0.8231197771587744,10.82,-0.46504878390156007,False,1.760681088194207,False,REJECTED_OR_DIAGNOSTIC_ONLY,ax_f_constraint_allocation__wave__arm_only_summary.json
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,wave,whole_body,False,2.716999999999812,False,9,4.023884781171564e-06,0.002030000988516722,False,-0.04707739729085769,False,0.8593314763231198,11.68,-0.4495232427161609,False,1.755959979063145,False,REJECTED_OR_DIAGNOSTIC_ONLY,ax_f_constraint_allocation__wave__whole_body_summary.json
ax_g_balance_v4,AX-G_COMBINED,heart,arm_only,True,,True,0,0.002973667763305122,0.0,True,0.04795257693657343,True,0.0,0.0,0.05700927423677449,True,1.0483348521691478,True,REJECTED_CROSS_DATASET_TRADEOFF,ax_g_balance_v4__heart__arm_only_summary.json
ax_g_balance_v4,AX-G_COMBINED,wave,arm_only,True,,True,0,0.0009562227690219288,0.0,True,0.04621290215780423,True,0.0,0.0,0.06100989035368891,True,1.4485895900441572,True,REJECTED_CROSS_DATASET_TRADEOFF,ax_g_balance_v4__wave__arm_only_summary.json
ax_g_combined_v1,AX-G_COMBINED,heart,arm_only,True,,True,0,0.003025411243944935,0.0,True,0.047952610719189645,True,0.0,0.0,0.029883156664868987,True,1.4622774984268954,True,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v1__heart__arm_only_summary.json
ax_g_combined_v1,AX-G_COMBINED,heart,standing,True,,True,0,0.003025411243944935,0.0,True,0.04814423026787056,True,0.0,0.0,0.04800712806776626,True,,True,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v1__heart__standing_summary.json
ax_g_combined_v1,AX-G_COMBINED,wave,arm_only,True,,True,0,0.001154551287857183,0.0,True,0.04621429885605392,True,0.0,0.0,0.028430562127174014,True,0.9763397970972716,True,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v1__wave__arm_only_summary.json
ax_g_combined_v1,AX-G_COMBINED,wave,standing,True,,True,0,0.001154551287857183,0.0,True,0.04621429885605392,True,0.0,0.0,0.062389873244012364,True,,True,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v1__wave__standing_summary.json
ax_g_combined_v1,AX-G_COMBINED,wave,whole_body,True,,False,421,1.0979559986213253e-06,0.00031423396009611245,True,0.04610621851515155,True,0.0,0.0,0.011518763553020075,True,1.1652423311946507,False,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v1__wave__whole_body_summary.json
ax_g_combined_v2,AX-G_COMBINED,wave,whole_body,True,,False,0,0.000728489353876332,0.0,True,0.04621429885605392,True,0.0,0.0,0.03828288632915493,True,1.1129759370309065,False,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v2__wave__whole_body_summary.json
