row_type,model_id,source_file,source_kind,independence_class,body_or_metric,region,side,mass_or_value,com_xyz_m,principal_inertia_kg_m2,full_ixx_kg_m2,full_iyy_kg_m2,full_izz_kg_m2,full_ixy_kg_m2,full_ixz_kg_m2,full_iyz_kg_m2,mass_delta_vs_current_kg,com_norm_delta_vs_current_m,max_full_inertia_delta_vs_current_kg_m2,hardware_evidence_level
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_shoulder_yaw_link,arm,left,0.704662,0.010005 0.000179 -0.069477,0.00044713 0.00436694 0.00438693,0.00429099706067,0.00436700223621,0.000543000703129,-2.90332316329e-10,-0.000607002040967,-8.00002062396e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_wrist_pitch_link,arm,left,0.292062,0.011479 0.002282 0.001703,9.10855e-05 0.000138482 0.000178433,9.20000002408e-05,0.000153000269217,0.000163000230542,7.00005845553e-06,5.0000547947e-06,1.90001027497e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_wrist_roll_link,arm,left,0.30304,0.002935 -0.001499 -0.083026,0.000205545 0.00266331 0.00278114,0.00266699912059,0.00277199592343,0.000210999955975,-2.79989540317e-05,-0.000106000051091,4.9000040916e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_wrist_yaw_link,arm,left,0.360708,7.6e-05 0.007263 -0.030679,0.00018794 0.000527003 0.000612057,0.000612000373154,0.000506999894126,0.00020799973272,-2.00002919291e-06,1.00000459227e-06,-8.00004325309e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,pelvis,central,center,5.03181065927,-0.00152667321574 0.00012932923078 0.00289835875658,0.0107621402371 0.013244213751 0.0138552767554,0.0136064621049,0.0107621449308,0.0134930237078,-2.19209331108e-06,-0.000300218636711,3.07904793557e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_ankle_pitch_link,lower_limb,right,0.749566,0.011665 0.000937 0.00394,0.000713034 0.00103716 0.00122381,0.00103700064121,0.00121400302598,0.000723000332811,9.00019475236e-06,-1.09999730701e-05,6.90003725689e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_ankle_roll_link,lower_limb,right,1.01617,0.035428 2.5e-05 -0.049572,0.0025949 0.0068711 0.007937,0.00370000192016,0.00793699641907,0.00576600166077,1.99851773403e-06,-0.00187200143088,-9.9997930933e-07,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_elbow_link,arm,right,0.687932,-0.013517 -0.003463 -0.080438,0.000444255 0.00534355 0.00542019,0.00528499730406,0.00535599737835,0.00056700031759,1.69999353937e-05,0.000766999698384,7.99996638109e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_hip_pitch_link,lower_limb,right,1.40023,0.007909 -0.064114 0.000131,0.00155498 0.007409 0.00808102,0.00799600238885,0.00163999776052,0.00740899985062,-0.000740000133485,-2.51367000677e-11,-1.00052090796e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_hip_roll_link,lower_limb,right,1.58508,-0.000586 -0.000228 -0.093568,0.00251594 0.017694 0.0181161,0.0176940066402,0.0181160304463,0.00251600291348,4.00064100536e-06,2.19999552786e-05,2.20058069303e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_hip_yaw_link,lower_limb,right,2.00262,-0.002444 -0.003935 -0.144335,0.0023773 0.0518558 0.0525579,0.05183302571,0.0524969744766,0.00246099981337,7.09920845365e-05,0.00143199869791,0.00145699648452,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_knee_link,lower_limb,right,1.56588,-0.002699 -0.003794 -0.122288,0.00192491 0.0307718 0.0308703,0.0308099996187,0.0308220078958,0.00193500248551,4.50206702924e-05,0.000184000354618,0.000508000002081,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_shoulder_pitch_link,arm,right,0.885544,0.002721 -0.050304 3.4e-05,0.00067458 0.00294899 0.00303743,0.00303099832989,0.000681000394186,0.00294900127593,-0.000123000535997,-9.99902393949e-07,1.23265060396e-09,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_shoulder_roll_link,arm,right,0.696963,0.000598 0.000185 -0.079928,0.000529664 0.0054003 0.00548904,0.00540000363811,0.00548900034631,0.000530000015578,5.13743705605e-11,-3.80003526064e-05,-1.40000172922e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_shoulder_yaw_link,arm,right,0.704661,0.010082 -0.000178 -0.069484,0.000445562 0.00436595 0.00438849,0.00429199720709,0.00436600369178,0.000542001101128,3.14271269937e-10,-0.00060900243219,7.99992719075e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_wrist_pitch_link,arm,right,0.279175,0.012092 -0.002544 0.001781,8.19541e-05 0.00013308 0.000171965,8.29999986089e-05,0.000150999558104,0.000152999543287,-7.99987833643e-06,5.00003851205e-06,-1.89999827899e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_wrist_roll_link,arm,right,0.303847,0.003056 0.00138 -0.082799,0.000206121 0.00266288 0.002781,0.00266600053988,0.00277200034362,0.000212000116498,2.79997621703e-05,-0.000111999910867,-4.59999702959e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_wrist_yaw_link,arm,right,0.372787,0.000153 -0.006979 -0.032069,0.000202421 0.000598539 0.00069604,0.000696000253036,0.00058299955742,0.000218000189544,2.00001021824e-06,6.67459676368e-12,7.6999865133e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
