controller,dataset,t,joint_name,plane,total_balance_request_nm,raw_desired_allocation_weight,raw_desired_allocation_nm,priority_and_preallocation_constraint_scaling,redistributed_allocation_weight,redistributed_allocation_nm,post_contact_scaling,post_limit_scaling,post_saturation_scaling,post_rate_scaling,final_allocation_nm
PHASE3AX_BASELINE,heart,-4.98,right_hip_pitch_joint,pitch,-0.3906724456207349,0.1,-0.03906724456207349,1.0,0.0873563218390804,-0.0341277078933055,1.0,1.0,1.0,0.8790511244936188,-0.03
PHASE3AX_BASELINE,heart,-4.98,right_hip_roll_joint,roll,3.394738053912569,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.98,right_knee_joint,pitch,-0.3906724456207349,0.15,-0.05860086684311023,1.0,0.0982758620689655,-0.0383936713799687,1.0,1.0,1.0,0.9116085735489382,-0.035
PHASE3AX_BASELINE,heart,-4.98,waist_pitch_joint,pitch,-0.3906724456207349,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.98,waist_roll_joint,roll,3.394738053912569,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.96,left_ankle_pitch_joint,pitch,-4.897206593602233,0.7,-3.428044615521563,1.0,0.7643678160919539,-3.743267108902856,1.0,1.0,1.0,0.1909881835222534,-0.7149197855679535
PHASE3AX_BASELINE,heart,-4.96,left_ankle_roll_joint,roll,0.6744710929578615,0.7,0.47212976507050297,1.0,0.7,0.4721297650705029,1.0,1.0,1.0,1.3333335702099869,0.6295064652638561
PHASE3AX_BASELINE,heart,-4.96,left_hip_pitch_joint,pitch,-4.897206593602233,0.1,-0.4897206593602233,1.0,0.0873563218390804,-0.4278019553031836,1.0,1.0,1.0,1.0,-0.4278019553031836
PHASE3AX_BASELINE,heart,-4.96,left_hip_roll_joint,roll,0.6744710929578615,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.96,left_knee_joint,pitch,-4.897206593602233,0.15,-0.7345809890403349,1.0,0.0982758620689655,-0.4812771997160814,1.0,1.0,1.0,1.0,-0.4812771997160814
