dataset,plane,joint_name,real_excursion_rad,sim_excursion_rad,excursion_ratio,sign_match,onset_delta_s,peak_timing_delta_s,xcorr_lag_s,recovery_delta_s,velocity_shape_correlation,relative_rmse_rad,amplitude_band,timing_band,overall_band
heart,pitch,left_ankle_pitch_joint,0.046199233900445835,0.03494002105392971,0.7562900529740717,1,-0.3999999999998237,2.4400000000005058,-1.0,-2.4158453015843406e-13,-0.23423211707088148,0.0229001203026696,GOOD,POOR,POOR
heart,pitch,right_ankle_pitch_joint,0.0320215225219726,0.039284052447641604,1.2268015182815115,1,-1.0199999999998104,2.420000000000517,-0.98,0.6999999999993705,-0.2590647106001762,0.02130626292676715,GOOD,POOR,POOR
heart,pitch,left_knee_joint,0.007477760314941406,0.05601949370001602,7.491480248181099,0,-0.23999999999981997,-1.2199999999990387,0.38,,-0.0005742531260101943,0.02305101498765436,POOR,POOR,POOR
heart,pitch,right_knee_joint,0.023776531219482477,0.05434295787405763,2.285571321250134,1,-0.5199999999998139,0.7600000000008835,0.18,2.16099999999856,0.35075232402723133,0.01615492002706522,POOR,POOR,POOR
heart,pitch,left_hip_pitch_joint,0.03565669936294846,0.0299019891321195,0.8386078820069143,1,-0.23999999999981284,0.42000000000065585,1.0,-2.4158453015843406e-13,-0.36269914014445115,0.019244494713780636,GOOD,POOR,POOR
heart,pitch,right_hip_pitch_joint,0.04103374481201166,0.03146913266122142,0.7669086213162191,1,-0.2799999999998191,0.5400000000006533,1.0,-2.4158453015843406e-13,-0.44577402146351286,0.02348264539556109,GOOD,POOR,POOR
heart,pitch,waist_pitch_joint,0.032339343251161,0.0206344599817038,0.6380605759816415,0,-0.05999999999980954,1.8000000000008818,1.0,0.11999999999969191,-0.0770331520157581,0.013820910539493012,ACCEPTABLE,POOR,POOR
heart,roll,left_ankle_roll_joint,0.004026412963867198,0.0040237941619929996,0.9993495943169021,0,,0.4000000000007633,1.0,-2.4158453015843406e-13,0.029682725178706,0.0026385055131896897,GOOD,POOR,POOR
heart,roll,right_ankle_roll_joint,0.0024929046630858993,0.007950961245396999,3.189436548911068,0,-0.41999999999979476,2.0800000000000125,-1.0,,-0.06397844041506674,0.006351659604496261,POOR,POOR,POOR
heart,roll,left_hip_roll_joint,0.0034255689965876947,0.0022505919326939045,0.6569979863011903,0,3.9000000000000803,2.479999999999716,-1.0,,0.0720655508880344,0.004321632933991857,ACCEPTABLE,POOR,POOR
heart,roll,right_hip_roll_joint,0.0026569801611190137,0.0052797340202340995,1.9871183449147347,1,-0.5599999999996284,2.439999999999717,1.0,,0.15850262749096122,0.0025523991136372623,ACCEPTABLE,POOR,POOR
heart,roll,waist_roll_joint,0.010179951374642716,0.0081279219812174,0.7984244405590459,0,-0.1399999999998221,0.44000000000074113,0.3,-2.4158453015843406e-13,0.13478519035824368,0.007388960327033127,GOOD,ACCEPTABLE,POOR
wave,pitch,left_ankle_pitch_joint,0.03010416030883792,0.024144672464242817,0.8020377322118655,1,-0.2199999999998843,-1.1999999999990818,0.48,1.519999999999385,-0.2740150450694195,0.008185938634924296,GOOD,POOR,POOR
wave,pitch,right_ankle_pitch_joint,0.02799463272094721,0.015786718299903912,0.5639194647512333,1,0.02000000000019586,-1.8999999999992943,-0.42,-0.059999999999792664,-0.12650686982729112,0.006318603898398579,ACCEPTABLE,POOR,POOR
wave,pitch,left_knee_joint,0.00728607177734375,0.0723737189638432,9.933160305789379,0,-0.4999999999998783,-1.1999999999992452,0.74,,0.22870314571397599,0.03988835279414997,POOR,POOR,POOR
wave,pitch,right_knee_joint,0.010153637396802528,0.08209201692684065,8.08498607136514,0,0.46000000000039254,0.2800000000006806,-1.0,,-0.039669339554745976,0.044772875409674805,POOR,POOR,POOR
wave,pitch,left_hip_pitch_joint,0.013997554779052679,0.04892011848133332,3.494904592517988,1,-0.03999999999968917,-1.9399999999992934,-0.8200000000000001,-0.15999999999988646,-0.03609997503914942,0.0237275747886043,POOR,POOR,POOR
wave,pitch,right_hip_pitch_joint,0.017065525054931696,0.04310033668828017,2.525579292142833,1,0.18000000000032745,-0.5399999999993728,-0.7000000000000001,0.04000000000010928,0.023797219873934836,0.016528101147653792,POOR,POOR,POOR
wave,pitch,waist_pitch_joint,0.0280405753307459,0.0298660716162609,1.0651019554336099,0,0.4000000000003441,1.8000000000008498,0.8,-0.11999999999977007,0.09211183672841584,0.012143143276631334,GOOD,POOR,POOR
wave,roll,left_ankle_roll_joint,0.0088210105895996,0.023586977310629597,2.6739540862177162,0,0.04000000000056492,-0.19999999999913864,0.9,,0.25766526305540094,0.012329185304959425,POOR,POOR,POOR
wave,roll,right_ankle_roll_joint,0.0093955993652344,0.0245506554809932,2.612995140239328,0,0.6200000000007659,-0.17999999999913907,1.0,,0.23917457094835806,0.009475012483296312,POOR,POOR,POOR
wave,roll,left_hip_roll_joint,0.009971141815185599,0.0145798352918169,1.4622031821483543,1,0.8200000000007543,-1.1999999999991315,-0.56,0.8000000000000078,0.1837251601169822,0.0054793907338555265,GOOD,POOR,POOR
wave,roll,right_hip_roll_joint,0.009587764739990299,0.016644387230829498,1.7360028830709857,1,,-1.1799999999991249,-0.56,4.511946372076636e-13,0.15208948366724756,0.004260394810063317,ACCEPTABLE,POOR,POOR
wave,roll,waist_roll_joint,0.0386269102010452,0.021870899806672,0.5662088863136715,1,0.7800000000005065,0.14000000000080437,0.78,0.8399999999999004,0.3796413441534421,0.021330350244099124,ACCEPTABLE,POOR,POOR
