dataset,plane,joint_name,baseline_rad,signed_excursion_rad,excursion_rad,onset_s,peak_time_s,recovery_after_motion_s,peak_abs_velocity_rad_s,velocity_rms_rad_s,normalized_abs_response
heart,pitch,left_ankle_pitch_joint,0.0,0.046199233900445835,0.046199233900445835,0.5599999999998815,1.7199999999998568,0.0005830129997725919,0.1469215836572469,0.03736096090499565,0.2389052716501286
heart,pitch,right_ankle_pitch_joint,0.0,0.030870914459228516,0.0320215225219726,1.1799999999998683,1.7199999999998568,0.0005830129997725919,0.11679632886478385,0.02996465976830374,0.1596395347347675
heart,pitch,left_knee_joint,0.0,-0.005177021026611328,0.007477760314941406,0.41999999999988447,3.539999999999818,,0.05623164247635909,0.010240231331362837,0.026771387970766142
heart,pitch,right_knee_joint,-4.7580986769649563e-17,0.02040564007497874,0.023776531219482477,0.6999999999998785,1.4599999999998623,0.0005830129997725919,0.08656862942768964,0.019729407715614645,0.1055215546606824
heart,pitch,left_hip_pitch_joint,0.0,-0.030287512961581275,0.03565669936294846,0.43999999999988404,3.539999999999818,0.0005830129997725919,0.15158682338730264,0.03306766699006541,0.15662265152027852
heart,pitch,right_hip_pitch_joint,0.0,-0.0389246940612793,0.04103374481201166,0.4599999999998836,3.4199999999998205,0.0005830129997725919,0.1345164022002736,0.03609840007760207,0.2012872037801981
heart,pitch,waist_pitch_joint,3.469446951953614e-18,0.0215138636943902,0.032339343251161,0.27999999999988745,1.6799999999998576,0.0005830129997725919,0.11754303043083171,0.02686551421316045,0.11125239568317884
heart,roll,left_ankle_roll_joint,-3.469446951953614e-18,-0.002876281738281198,0.004026412963867198,0.9199999999998738,1.4599999999998623,0.0005830129997725919,0.042734146118164,0.00868281354133327,0.1875094728959528
heart,roll,right_ankle_roll_joint,0.0,-0.001725673675537099,0.0024929046630858993,0.6599999999998793,3.019999999999829,,0.03635599403673892,0.008272348876977503,0.11249946657998365
heart,roll,left_hip_roll_joint,-1.734723475976807e-18,-0.0026845932006836007,0.0034255689965876947,0.9999999999998721,3.159999999999826,,0.024785965958788896,0.00696184389135563,0.17501298614128583
heart,roll,right_hip_roll_joint,0.0,-0.0022731262487655154,0.0026569801611190137,1.2599999999998666,3.199999999999825,,0.024785965958788896,0.007084784118032006,0.14818878799636764
heart,roll,waist_roll_joint,0.0,-0.005779719428973059,0.010179951374642716,0.3199999999998866,1.3599999999998644,0.0005830129997725919,0.05512166064124698,0.013326082799186864,0.37678928638641007
wave,pitch,left_ankle_pitch_joint,0.0,0.03010416030883792,0.03010416030883792,0.21999999999988873,3.399999999999821,0.4308472739997935,0.0793647766113281,0.031924456196947885,0.23964723148489323
wave,pitch,right_ankle_pitch_joint,0.0,0.02799463272094721,0.02799463272094721,0.21999999999988873,3.4599999999998197,0.5308472739997914,0.0762352612755428,0.025547969565106604,0.22285412245967332
wave,pitch,left_knee_joint,0.0,0.004218101501464844,0.00728607177734375,0.49999999999988276,2.9399999999998307,,0.05494499206542943,0.014625220664332434,0.03357862622899852
wave,pitch,right_knee_joint,0.0,0.008236275183667707,0.010153637396802528,0.35999999999988574,1.3399999999998649,,0.0549449920654296,0.01676436608534966,0.0655657067084589
wave,pitch,left_hip_pitch_joint,0.0,-0.013997554779052679,0.013997554779052679,0.5999999999998806,3.499999999999819,0.8108472739997854,0.0549449920654296,0.014824245262575982,0.11142895918519644
wave,pitch,right_hip_pitch_joint,0.0,-0.017065525054931696,0.017065525054931696,0.43999999999988404,1.9599999999998516,0.6108472739997897,0.05114021560788161,0.013960393189618123,0.13585184875758896
wave,pitch,waist_pitch_joint,0.0,0.0240023946653776,0.0280405753307459,0.27999999999988745,1.7399999999998563,0.5508472739997909,0.0902475147490301,0.03330669214206273,0.19107350517519067
wave,roll,left_ankle_roll_joint,1.734723475976807e-18,0.0076704025268555,0.0088210105895996,1.239999999999867,2.2999999999998444,,0.0671558380126953,0.02086443973546912,0.11875304281889217
wave,roll,right_ankle_roll_joint,0.0,0.0088205337524414,0.0093955993652344,1.2599999999998666,2.279999999999845,,0.0671558380126953,0.019763008228936976,0.1365593550953535
wave,roll,left_hip_roll_joint,0.0,0.0059447288513183975,0.009971141815185599,1.0399999999998712,3.259999999999824,0.010847273999802454,0.0549449920654296,0.019972857364186948,0.0920361920193418
wave,roll,right_hip_roll_joint,1.734723475976807e-18,0.005369186401367198,0.009587764739990299,1.0399999999998712,3.259999999999824,0.010847273999802454,0.0549449920654296,0.019592917212608075,0.08312565349625282
wave,roll,waist_roll_joint,0.0,0.0367863567838623,0.0386269102010452,0.3799999999998853,1.8199999999998546,0.17084727399979904,0.1431162695933606,0.04546195809676211,0.5695257565701598
