sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-4.999,left,0.0033606102022932663,0,
0.001,-4.999,right,0.003569589272430114,0,
0.02000000000000001,-4.98,left,0.003539814108401191,0,
0.02000000000000001,-4.98,right,0.0034077580222484746,0,
0.04000000000000003,-4.96,left,0.0,0,
0.04000000000000003,-4.96,right,0.0033081732451037773,0,
0.060000000000000046,-4.94,left,0.0,0,
0.060000000000000046,-4.94,right,0.003298771721184408,0,
0.08000000000000006,-4.92,left,0.0036721043433183957,0,
0.08000000000000006,-4.92,right,0.00325265374982672,0,
0.10000000000000007,-4.9,left,0.0037793566305441843,0,
0.10000000000000007,-4.9,right,0.0,0,
0.12000000000000009,-4.88,left,0.0038271397630852215,0,
0.12000000000000009,-4.88,right,0.0030931964723360976,0,
0.1400000000000001,-4.86,left,0.0038463789713849327,0,
0.1400000000000001,-4.86,right,0.003075975711128225,0,
0.16000000000000011,-4.84,left,0.0038582605849458228,0,
0.16000000000000011,-4.84,right,0.0030666955194325303,0,
0.18000000000000013,-4.82,left,0.0038679842258544104,0,
0.18000000000000013,-4.82,right,0.0,0,
0.20000000000000015,-4.8,left,0.0,0,
0.20000000000000015,-4.8,right,0.0030532685495836707,0,
0.22000000000000017,-4.78,left,0.0038857930428561286,0,
0.22000000000000017,-4.78,right,0.0030471114937440547,0,
0.24000000000000019,-4.76,left,0.003892942871995854,0,
0.24000000000000019,-4.76,right,0.0,0,
0.2600000000000002,-4.74,left,0.003898328597235373,0,
0.2600000000000002,-4.74,right,0.0,0,
0.2800000000000002,-4.72,left,0.0,0,
0.2800000000000002,-4.72,right,0.003037843067949975,0,
0.3000000000000002,-4.7,left,0.0039050784720632897,0,
0.3000000000000002,-4.7,right,0.00303697606161217,0,
0.32000000000000023,-4.68,left,0.003907701769944683,0,
0.32000000000000023,-4.68,right,0.00303628935967726,0,
0.34000000000000025,-4.66,left,0.003910151009017956,0,
0.34000000000000025,-4.66,right,0.0030356704465957797,0,
0.36000000000000026,-4.64,left,0.003912437931716596,0,
0.36000000000000026,-4.64,right,0.003035124234977845,0,
0.3800000000000003,-4.62,left,0.003914574161626347,0,
0.3800000000000003,-4.62,right,0.0,0,
0.4000000000000003,-4.6,left,0.003916591088469129,0,
0.4000000000000003,-4.6,right,0.0030342358416772376,0,
0.4200000000000003,-4.58,left,0.0,0,
0.4200000000000003,-4.58,right,0.0,0,
0.44000000000000034,-4.56,left,0.003920379266467445,0,
0.44000000000000034,-4.56,right,0.0030334984368914626,0,
0.46000000000000035,-4.54,left,0.003922196589950244,0,
0.46000000000000035,-4.54,right,0.0030331490426281156,0,
0.48000000000000037,-4.52,left,0.003923987353069527,0,
0.48000000000000037,-4.52,right,0.0030327979077330253,0,
0.5000000000000003,-4.5,left,0.003925766126295001,0,
0.5000000000000003,-4.5,right,0.003032436838538383,0,
0.5200000000000004,-4.4799999999999995,left,0.0,0,
0.5200000000000004,-4.4799999999999995,right,0.0,0,
0.5400000000000004,-4.46,left,0.0,0,
0.5400000000000004,-4.46,right,0.003031660300388343,0,
0.5600000000000004,-4.4399999999999995,left,0.0,0,
0.5600000000000004,-4.4399999999999995,right,0.0030312355275698036,0,
0.5800000000000004,-4.42,left,0.003932972027800441,0,
0.5800000000000004,-4.42,right,0.0030307816481976316,0,
0.6000000000000004,-4.3999999999999995,left,0.003934833863201771,0,
0.6000000000000004,-4.3999999999999995,right,0.0030302958611958565,0,
0.6200000000000004,-4.38,left,0.003936730475546651,0,
0.6200000000000004,-4.38,right,0.003029775834252793,0,
0.6400000000000005,-4.359999999999999,left,0.003938665534567919,0,
0.6400000000000005,-4.359999999999999,right,0.0030292196281099847,0,
0.6600000000000005,-4.34,left,0.0039406420464089915,0,
0.6600000000000005,-4.34,right,0.0,0,
0.6800000000000005,-4.319999999999999,left,0.003942663460985814,0,
0.6800000000000005,-4.319999999999999,right,0.0030279928848959184,0,
0.7000000000000005,-4.3,left,0.0,0,
0.7000000000000005,-4.3,right,0.0,0,
0.7200000000000005,-4.279999999999999,left,0.003946849411144608,0,
0.7200000000000005,-4.279999999999999,right,0.0030266066709498936,0,
