experiment,parameter_changed,old_value,new_value,reason,result,conclusion
friction_0_5,friction scale,1.0,0.5,single-factor sensitivity,"{""fall_time_s"":1.6079999999999337,""max_tilt_deg"":85.21411697859767,""base_displacement_m"":1.1400556221224325,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.37974508387153494,""right_foot_slip_m"":0.38310213846946056}",still falls
friction_1_5,friction scale,1.0,1.5,single-factor sensitivity,"{""fall_time_s"":1.6009999999999345,""max_tilt_deg"":87.01499660404487,""base_displacement_m"":1.1104337316040358,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.3459244366273193,""right_foot_slip_m"":0.3452741651295673}",still falls
kp_0_5,joint Kp scale,1.0,0.5,single-factor sensitivity,"{""fall_time_s"":1.4829999999999475,""max_tilt_deg"":85.87868445549823,""base_displacement_m"":1.1065280181409145,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.34307685484884354,""right_foot_slip_m"":0.33945035795968836}",still falls
kp_1_5,joint Kp scale,1.0,1.5,single-factor sensitivity,"{""fall_time_s"":1.7249999999999208,""max_tilt_deg"":86.66823623165115,""base_displacement_m"":1.1143644623778557,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.3504257527498943,""right_foot_slip_m"":0.3508970542427985}",still falls
kd_0_5,joint Kd scale,1.0,0.5,single-factor sensitivity,"{""fall_time_s"":1.523999999999943,""max_tilt_deg"":86.54408086461271,""base_displacement_m"":1.1584126150695249,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.4026541422991907,""right_foot_slip_m"":0.4032804307601184}",still falls
kd_1_5,joint Kd scale,1.0,1.5,single-factor sensitivity,"{""fall_time_s"":1.686999999999925,""max_tilt_deg"":85.18170620626292,""base_displacement_m"":1.1086054787112443,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.3437541616962678,""right_foot_slip_m"":0.3435561660996905}",still falls
timestep_0_0005,timestep,0.001,0.0005,single-factor sensitivity,"{""fall_time_s"":1.6054999999998787,""max_tilt_deg"":86.58093615083231,""base_displacement_m"":1.1262028536380981,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.3647520592279358,""right_foot_slip_m"":0.36472087885534116}",still falls
initial_height_contact,initial base Z,0.68000,0.67495,single-factor sensitivity,"{""fall_time_s"":1.604999999999934,""max_tilt_deg"":86.43103862202479,""base_displacement_m"":1.124753737061648,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.3662918282171681,""right_foot_slip_m"":0.3662793394406628}",still falls
foot_box,foot collision geometry,12 spheres,one 0.210x0.120x0.010 m box per foot,single-factor sensitivity,"{""fall_time_s"":1.5099999999999445,""max_tilt_deg"":173.59177343227694,""base_displacement_m"":0.9104941042027122,""max_saturation_fraction"":1.0,""left_foot_slip_m"":0.08961129047099767,""right_foot_slip_m"":0.08739585706716843}",still falls
free_cleanup,controller architecture,joint PD + bias,PD + simulated base-attitude feedback + modeled-friction compensation,test primary root-cause hypothesis,"{""fall_time_s"":null,""max_tilt_deg"":2.099814606055324,""base_displacement_m"":0.014464268657038523,""max_saturation_fraction"":0.24679390910963914,""left_foot_slip_m"":0.00014684256966926223,""right_foot_slip_m"":0.00012914469404620485}",passes 10-second infrastructure gate
