sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-4.999,left,0.0015233686278937277,0,
0.001,-4.999,right,0.0,0,
0.02000000000000001,-4.98,left,0.0016907366246505298,0,
0.02000000000000001,-4.98,right,0.001873224307141211,0,
0.04000000000000003,-4.96,left,0.0020337023782125764,0,
0.04000000000000003,-4.96,right,0.0014499318469258055,0,
0.060000000000000046,-4.94,left,0.002060997498075424,0,
0.060000000000000046,-4.94,right,0.0013408750092347762,0,
0.08000000000000006,-4.92,left,0.002033425402444153,0,
0.08000000000000006,-4.92,right,0.0013226699126516273,0,
0.10000000000000007,-4.9,left,0.0021104036416121972,0,
0.10000000000000007,-4.9,right,0.0012295716745796212,0,
0.12000000000000009,-4.88,left,0.0021773400609106557,0,
0.12000000000000009,-4.88,right,0.00115488760024273,0,
0.1400000000000001,-4.86,left,0.002173909107218977,0,
0.1400000000000001,-4.86,right,0.001154551287857183,0,
0.16000000000000011,-4.84,left,0.00215053070065152,0,
0.16000000000000011,-4.84,right,0.0011773778202812148,0,
0.18000000000000013,-4.82,left,0.0021251714644562277,0,
0.18000000000000013,-4.82,right,0.001204295447915249,0,
0.20000000000000015,-4.8,left,0.0020997235200464286,0,
0.20000000000000015,-4.8,right,0.0012326957528655009,0,
0.22000000000000017,-4.78,left,0.0020756105724590015,0,
0.22000000000000017,-4.78,right,0.0012606929302796156,0,
0.24000000000000019,-4.76,left,0.002057451097990245,0,
0.24000000000000019,-4.76,right,0.0012830707331536574,0,
0.2600000000000002,-4.74,left,0.002042603841970166,0,
0.2600000000000002,-4.74,right,0.0,0,
0.2800000000000002,-4.72,left,0.002027508639494853,0,
0.2800000000000002,-4.72,right,0.0013219219851530793,0,
0.3000000000000002,-4.7,left,0.0020118001834266174,0,
0.3000000000000002,-4.7,right,0.0013422567048635339,0,
0.32000000000000023,-4.68,left,0.0,0,
0.32000000000000023,-4.68,right,0.0013629932061124078,0,
0.34000000000000025,-4.66,left,0.0019803653027625438,0,
0.34000000000000025,-4.66,right,0.0013819287825578778,0,
0.36000000000000026,-4.64,left,0.001967135625023739,0,
0.36000000000000026,-4.64,right,0.0,0,
0.3800000000000003,-4.62,left,0.0019524595146614596,0,
0.3800000000000003,-4.62,right,0.0,0,
0.4000000000000003,-4.6,left,0.00193495383656772,0,
0.4000000000000003,-4.6,right,0.0014376936767115267,0,
0.4200000000000003,-4.58,left,0.0019146331208292533,0,
0.4200000000000003,-4.58,right,0.0014615933701142493,0,
