sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,ctrl_nm,ctrl_saturation_fraction,lower_margin_rad,upper_margin_rad,reference_target_rad,standing_reference_offset_rad,pitch_balance_correction_nm,roll_balance_correction_nm,contact_avoidance_correction_nm,contact_avoidance_scaling,limit_scaling,saturation_scaling,rate_scaling,allocation_weight,final_balance_addition_nm,equivalent_balance_target_offset_rad,final_joint_target_rad
0.001,-4.999,head_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0001437664031982,0.0001437664031982,0.00014376947643508745,3.073236887440649e-06,-3.073236887440574e-09,-0.0002768473524295074,0.00010647975093442591,0.34920976947643506,0.3489222305235649,0.0001437664031982,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001437664031982
0.001,-4.999,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.270456314086914,-0.23197550882432377,-0.27039045316251353,0.06586092440047162,0.03841494433818976,2.11101792421602,0.058639386783778336,0.5324605468374864,0.7241764531625136,-0.270456314086914,0.038480805262590234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.790792540990134,0.0,0.0,-0.23197550882432377
0.001,-4.999,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0121755599975585,0.012175401831026165,-0.00015816653233425069,1.5816653233489963e-07,-0.0037728594032313545,0.00015720247513463978,0.27397440183102617,0.24962359816897384,0.0121755599975585,0.0,0.0,0.0,0.0,0.27321296453327915,1.0,1.0,1.0,0.3004196163575847,0.0,0.0,0.0121755599975585
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-1.172232151031494,-1.1722490768024039,-0.016925770909886773,1.6925770909947957e-05,-1.656347481359729,0.06901447838998871,1.183944923197596,1.1722490768024039,-1.172232151031494,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.172232151031494
0.001,-4.999,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3268289566040039,-0.2899710669632994,-0.32679092595348413,0.03803065051975478,0.03681985899018475,0.3687850588565681,0.003125297108953967,2.230117074046516,2.883698925953484,-0.3268289566040039,0.03685788964070452,0.0,0.0,0.08916201708322959,0.27321296453327915,1.0,1.0,0.33646614311109696,0.02469197422339648,0.03,0.0002608695652173913,-0.289710197398082
0.001,-4.999,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0213799476623535,-0.0013799476623534979,-0.021374182372563093,0.005765289790403607,0.019994234710209596,2.4089634358837153,0.020414944371895893,0.2142448176274369,2.927347182372563,-0.0213799476623535,0.02,0.0,0.0,0.0012460971817320385,0.27321296453327915,1.0,1.0,1.0,0.0,0.0012460971817320385,1.0835627667235117e-05,-0.0013691120346862628
0.001,-4.999,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,9.584426879882812e-05,9.584426879882812e-05,9.653678565748521e-05,0.0006925168586570791,-6.925168586570829e-07,0.02608199304039749,0.00022103383932540246,1.6843385367856576,3.4294754632143425,9.584426879882812e-05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.584426879882812e-05
0.001,-4.999,left_knee_joint,MEASURED_REAL_TRAJECTORY,0.5220255851745605,0.41769063712644927,0.5219126058121785,-0.11297936238209298,-0.1042219686857292,-11.3822602112396,0.09645983229864068,0.5219126058121785,1.8866413941878215,0.5220255851745605,-0.10433494804811128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.10167332669873151,0.0,0.0,0.41769063712644927
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3956656455993652,0.3956656455993652,0.39567265688618275,0.007011286817584476,-7.011286817570905e-06,-0.16555171757020776,0.00459865882139466,3.4761786568861828,1.6376363431138172,0.3956656455993652,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3956656455993652
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0146684646606445,-0.0146684646606445,-0.01466486193108547,0.0036027295590302334,-3.602729559029627e-06,1.2414859688806352,0.03448572135779542,0.04642213806891453,3.0602648619310853,-0.0146684646606445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0146684646606445
0.001,-4.999,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.009490966796875,-0.009490966796875,-0.00949057649291077,0.00039030396423001104,-3.903039642299405e-07,0.4995268536921915,0.020813618903841313,2.547417423507089,2.5663985764929107,-0.009490966796875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.009490966796875
0.001,-4.999,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0013351440429687,0.0013351440429687,0.001334964004335968,-0.0001800386327319202,1.800386327320113e-07,-0.20047912256583172,0.09112687389355986,0.577293964004336,0.574624035995664,0.0013351440429687,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013351440429687
0.001,-4.999,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0043869018554687,-0.0043869018554687,-0.004386907713443981,-5.8579752813655295e-06,5.857975281069183e-09,0.042029980646208,0.01910453665736727,1.5053230922865561,0.7286989077134439,-0.0043869018554687,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0043869018554687
0.001,-4.999,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0062317848205566,0.0062317848205566,0.0062317557132092775,-2.9107347322301224e-05,2.9107347322351873e-08,-0.010424939455212057,0.0004343724773005024,2.5631397557132094,2.5506762442867905,0.0062317848205566,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0062317848205566
0.001,-4.999,right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3164749145507812,-0.2505623404374831,-0.31637032804229726,0.10458650848394221,0.06580798760481416,3.617638801137505,0.10048996669826403,0.4864806719577027,0.7701563280422973,-0.3164749145507812,0.0659125741132981,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.790792540990134,0.0,0.0,-0.2505623404374831
0.001,-4.999,right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0058479309082031,0.0058479309082031,0.005847961092983133,3.0184780033429305e-05,-3.018478003311009e-08,0.009087903670776054,0.00037866265294900225,0.26764696109298314,0.25595103890701687,0.0058479309082031,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0995803836424152,0.0,0.0,0.0058479309082031
