sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,balance_addition_nm,ctrl_nm,ctrl_saturation_fraction,limit_margin_rad
0.001,-4.999,head_yaw_joint,STANDING_TARGET,4.792213439941406e-05,4.792213439941406e-05,4.793354232991603e-05,1.1407930501967613e-05,-1.14079305019697e-08,0.0,-0.0002941481930611933,0.00011313392040815127,0.3490180664576701
0.001,-4.999,left_ankle_pitch_joint,STANDING_TARGET,-0.2727570533752441,-0.23427624811265385,-0.2726905007295638,0.06655264568028472,0.03841425261690995,0.0,2.1133372237937498,0.05870381177204861,0.5301604992704362
0.001,-4.999,left_ankle_roll_joint,STANDING_TARGET,-0.0298161506652832,-0.0298161506652832,-0.02981625199610557,-0.0001013308223709933,1.0133082237184787e-07,0.0,-0.007936393790030749,0.00033068307458461454,0.23198274800389443
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1739583015441897,-1.1739583015441897,-1.1739751766107032,-0.016875066513389426,1.687506651348869e-05,0.0,-1.665343796082165,0.06938932483675687,1.1739751766107032
0.001,-4.999,left_hip_pitch_joint,STANDING_TARGET,-0.3007521629333496,-0.2638942732926451,-0.3007123787806152,0.039784152734432476,0.0368181054879701,0.0,0.8266241948160687,0.007005289786576854,2.2561956212193848
0.001,-4.999,left_hip_roll_joint,STANDING_TARGET,0.013709545135498,0.013709545135498,0.013709559936431246,1.4800933246776782e-05,-1.4800933246378323e-08,0.0,0.4341112573611632,0.0036789089606878234,0.24932855993643124
0.001,-4.999,left_hip_yaw_joint,STANDING_TARGET,-0.0002875328063964,-0.0002875328063964,-0.0002876914911696986,-0.00015868477329856586,1.5868477329855158e-07,0.0,-0.0819307768780102,0.0006943286176102559,1.6839543085088302
0.001,-4.999,left_knee_joint,STANDING_TARGET,0.5036177635192871,0.39928281547117583,0.503501688591336,-0.1160749279510638,-0.1042188731201602,0.0,-11.328918968426333,0.09600778786801976,0.503501688591336
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3939399719238281,0.3939399719238281,0.3939473396713615,0.007367747533325247,-7.367747533348901e-06,0.0,-0.19374090588156123,0.0053816918300433675,1.6393616603286385
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0125589370727539,-0.0125589370727539,-0.012555159674345572,0.0037773984083275865,-3.7773984083271095e-06,0.0,1.2535495620097912,0.034820821166938645,0.04853184032565443
0.001,-4.999,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0085325241088867,-0.0085325241088867,-0.008532098223906423,0.00042588498027600616,-4.25884980276639e-07,0.0,0.5049001149502093,0.021037504789592053,2.5483759017760934
0.001,-4.999,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0020980834960937,0.0020980834960937,0.0020978994535121647,-0.00018404258153539174,1.840425815353812e-07,0.0,-0.20121938967690955,0.09146335894404979,0.5738611005464879
0.001,-4.999,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0181198120117187,-0.0181198120117187,-0.01811981749454245,-5.482823747051325e-06,5.482823747099408e-09,0.0,0.03931565600658793,0.01787075273026724,0.7424318174945425
0.001,-4.999,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0121755599975585,0.012175535077358286,-2.492020021403673e-05,2.4920200214148536e-08,0.0,-0.00824259012321904,0.00034344125513412666,2.5447324649226415
0.001,-4.999,right_ankle_pitch_joint,STANDING_TARGET,-0.2949991226196289,-0.2290865485063308,-0.2948946685387024,0.10445408092651613,0.06580812003237158,0.0,3.621512256064422,0.10059756266845617,0.5079563314612976
0.001,-4.999,right_ankle_roll_joint,STANDING_TARGET,0.0156269073486328,0.0156269073486328,0.015626970992164573,6.364353177378553e-05,-6.364353177454318e-08,0.0,0.0011716820941394257,4.8820087255809406e-05,0.24617202900783544
0.001,-4.999,right_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.171273708343506,-1.171273708343506,-1.1712905797396864,-0.016871396180400258,1.687139618034017e-05,0.0,-1.6452369034482928,0.06855153764367887,1.1712905797396864
0.001,-4.999,right_hip_pitch_joint,STANDING_TARGET,-0.2568421363830566,-0.2445371984791732,-0.2568052526976522,0.036883685404382374,0.012268054218478985,0.0,-1.1199514550127476,0.00949111402553176,2.300102747302348
0.001,-4.999,right_hip_roll_joint,STANDING_TARGET,-0.0177364349365234,-0.0177364349365234,-0.017736409091392905,2.584513049239973e-05,-2.5845130494084323e-08,0.0,-0.49167857865620057,0.0041667676157305135,0.2533554090913929
0.001,-4.999,right_hip_yaw_joint,STANDING_TARGET,-0.0135178565979003,-0.0135178565979003,-0.013517656481638513,0.00020011626178718792,-2.001162617872032e-07,0.0,0.0770888137336152,0.0006532950316408068,1.6977596564816386
0.001,-4.999,right_knee_joint,STANDING_TARGET,0.4804167747497558,0.3710802459213401,0.4802992180701617,-0.11755667959410529,-0.10921897214882159,0.0,-11.770250246502673,0.09974788344493792,0.4802992180701617
0.001,-4.999,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3975830078125,0.3975830078125,0.39758926621115315,0.006258398653153441,-6.258398653147257e-06,0.0,-0.12732345519094923,0.003536762644193034,1.635719733788847
