sim_time,t,side,signed_geom_distance_m,segment_x1,segment_y1,segment_z1,segment_x2,segment_y2,segment_z2,contact_active,pair_contact_count,contact_dist_m,contact_pos_x,contact_pos_y,contact_pos_z,contact_normal_x,contact_normal_y,contact_normal_z
0.001,-2.999,left,0.0015233686278937277,0.013920089887015985,0.08588098725406818,0.6177787609617302,0.013973323388755815,0.08739533777092215,0.617622042478942,0,0,,,,,,,
0.001,-2.999,right,0.0,0.010605155556510917,-0.1019114549414084,0.7316615919792808,0.01625877994760734,-0.1053359386777364,0.7431644901875275,0,0,,,,,,,
0.02000000000000001,-2.98,left,0.0016408477649568554,0.013894957656968559,0.08562702667805598,0.6162254118859778,0.013949609512687203,0.0872581803792183,0.6160559062352905,0,0,,,,,,,
0.02000000000000001,-2.98,right,0.0019018080157380518,0.009027017044922522,-0.08614067777665656,0.6154396114372851,0.009072215206939103,-0.08803306438597946,0.6152560255562071,0,0,,,,,,,
0.04000000000000003,-2.96,left,0.001911319397845552,0.014040102170507033,0.08501249028832153,0.612303456735137,0.014093557645878808,0.08691237389195967,0.6121016482978497,0,0,,,,,,,
0.04000000000000003,-2.96,right,0.0015021996986128603,0.01377612256906155,-0.08674700921339958,0.6136671526555318,0.01382048095842322,-0.0882415174430411,0.6135219582364255,0,0,,,,,,,
0.060000000000000046,-2.94,left,0.0018935111082133292,0.015510464105269094,0.08536009272137328,0.6095013072400048,0.015559342624623492,0.08724204683594355,0.6092982212534745,0,0,,,,,,,
0.060000000000000046,-2.94,right,0.001419123678450315,0.015760499602796307,-0.08639708860130375,0.611133228565933,0.015807977873983546,-0.08780880014705254,0.6109963770401725,0,0,,,,,,,
0.08000000000000006,-2.92,left,0.0017882018804603224,0.017962900590108934,0.08616951022147996,0.6078518403916515,0.018008098128255937,0.08794659233773913,0.6076579272670335,0,0,,,,,,,
0.08000000000000006,-2.92,right,0.0014641481522212018,0.014541610664079796,-0.08563398455282738,0.6084109292626408,0.014593190403395474,-0.08709044895569072,0.6082702850827512,0,0,,,,,,,
0.10000000000000007,-2.9,left,0.0,0.0254588701730719,0.10654612766693915,0.7433982848441401,0.012871432768775032,0.1099504849445023,0.7517613744941799,0,0,,,,,,,
0.10000000000000007,-2.9,right,0.0014729200931149888,0.017499568199998497,-0.08485439501068032,0.6073520493390965,0.01755256611544253,-0.08631967739620569,0.6072119338427034,0,0,,,,,,,
0.12000000000000009,-2.88,left,0.0017831938318820975,0.023551084722968185,0.08770714793121581,0.6058881712611093,0.023595117975147063,0.08947874532985985,0.6056899694147945,0,0,,,,,,,
0.12000000000000009,-2.88,right,0.0014373295384918336,0.02028538886049954,-0.08409738430556393,0.6068864473873541,0.02033704044944051,-0.08552743624006703,0.6067515408263389,0,0,,,,,,,
0.1400000000000001,-2.86,left,0.0017866781056596057,0.026082245054391287,0.08861482059280978,0.6053525540958935,0.026126139537495832,0.09038953162623033,0.6051508298399108,0,0,,,,,,,
0.1400000000000001,-2.86,right,0.0,0.02717151347300616,-0.09907227676237727,0.7224958172519902,0.032758198437087466,-0.10169214167779767,0.7344611578680069,0,0,,,,,,,
0.16000000000000011,-2.84,left,0.0017178862627042003,0.028207878739098066,0.08975104962849716,0.605152699668006,0.02825002700151129,0.0914570368960004,0.6049553062064119,0,0,,,,,,,
0.16000000000000011,-2.84,right,0.0014940792432785335,0.02498366455763827,-0.08205121652352973,0.6065825282344068,0.025036193524193902,-0.08353823838756332,0.606447326648786,0,0,,,,,,,
0.18000000000000013,-2.82,left,0.0016204971946405607,0.029907654945641276,0.09097908276874302,0.6051259442119199,0.029947365790962813,0.09258795984889776,0.604936342662468,0,0,,,,,,,
0.18000000000000013,-2.82,right,0.0015889316519777162,0.026746299659260318,-0.08082385442577086,0.6066143077025676,0.02680148350891115,-0.08240558068094961,0.6064735931295038,0,0,,,,,,,
