sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,com_x,com_y,com_z,raw_pitch_feedback_nm,applied_pitch_feedback_nm,raw_roll_feedback_nm,applied_roll_feedback_nm,self_collision_contact_count,nonfoot_ground_contact_count,left_foot_contact,right_foot_contact,max_contact_penetration_m,left_pelvis_hip_distance_m,right_pelvis_hip_distance_m,left_foot_slip_proxy_m,right_foot_slip_proxy_m
0.001,-2.999,0.0,0.0,0.6617591154922626,0.0,-0.0,0.0,0.0142670656607992,0.00019885355128851972,0.7007714009160573,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0033606102022932663,0.003569589272430114,0.0,0.0
0.02000000000000001,-2.98,3.543567518172714e-05,-0.0001525972015275298,0.6604433999838254,-0.0025136225334228862,0.0002018278705127384,0.00041381683729867593,0.01435736016155068,0.0002222226569583785,0.6994008145246188,-0.25142939860385694,-0.25142939860385694,3.270637288820413,3.270637288820413,0,0,1,1,0.0005041187116728669,0.0034846291719794597,0.0034402853899113484,0.0008046622913230276,0.000883481066585884
0.04000000000000003,-2.96,0.0006505744058924601,-0.00021336530445890554,0.6580739613993758,-0.004250256007652491,-0.002871345839298188,0.0015664810613908113,0.014947202480102959,0.00030413564592530687,0.697089589046287,-5.421148218586128,-5.421148218586128,0.31970799149340984,0.31970799149340984,0,0,1,1,0.001614007623606163,0.0035262169426843555,0.0033686823950019786,0.002441996345935235,0.002364617309204588
0.060000000000000046,-2.94,0.0022355241693298713,-0.0001296880120871242,0.6561756205032532,-0.003838142454483134,-0.007853252315363025,0.0019851526052508807,0.016023813620726315,0.00039625689570414036,0.6952835470722091,-6.226187141317532,-6.226187141317532,-0.06026849263024936,-0.06026849263024936,0,0,1,1,0.0012886657440170325,0.0034797526028305893,0.003393822337208894,0.003906503356159646,0.0037051326298782905
0.08000000000000006,-2.92,0.00444689829451636,-8.730709654563815e-05,0.6546650362975492,-0.003638929974934435,-0.012421493887966602,0.002164713923186481,0.01742125807808742,0.00045980488019974834,0.6938340521210162,-6.027052141430109,-6.027052141430109,0.35475770262823625,0.35475770262823625,0,0,1,1,0.0008879591334355853,0.0034580821082677896,0.0,0.005118158603395252,0.004788507827217038
0.10000000000000007,-2.9,0.006904631549882725,-0.00011799402672910242,0.6536534511470441,-0.004693746956286079,-0.015688309464686457,0.0018296885166026332,0.018967297670721854,0.0005354262478878406,0.692852154929602,-4.695680841646039,-4.695680841646039,1.4731264730074154,1.4731264730074154,0,0,1,1,0.0005855641037760357,0.0035063823595658868,0.0033500717592432477,0.006048339888222627,0.005213700854083745
0.12000000000000009,-2.88,0.00924657445557057,-8.712050582714919e-05,0.6531834833044545,-0.006013953773349851,-0.017130160660401305,0.0012499127544516745,0.02048581446600264,0.0006946282345047902,0.6923750178525528,-3.01158934174134,-3.01158934174134,0.9395438042583302,0.9395438042583302,0,0,1,1,0.0005405902484602694,0.0,0.0032828633463273644,0.00655605789748943,0.005228705520291405
0.1400000000000001,-2.86,0.011257798533638367,7.643326905950928e-05,0.6531047203572603,-0.006383766038322856,-0.016992528415414054,0.0010114282999171488,0.021879782930370503,0.0009055915724035123,0.6922616450017335,-1.6819188160321468,-1.6819188160321468,0.527610204796882,0.527610204796882,0,0,1,1,0.00041736700641542123,0.0035758117708281152,0.0,0.006628001992230147,0.005205669702054854
0.16000000000000011,-2.84,0.012908618567650815,0.0002776190968675669,0.6531518686581764,-0.006411266288982464,-0.015947731643040964,0.0009123465900151736,0.02316020658716893,0.001121499860031557,0.6922680039044071,-0.853169737705296,-0.853169737705296,0.45793106822143426,0.45793106822143426,0,0,1,1,0.00035193713264558123,0.0035624984878773447,0.003291938257819618,0.006619085876089463,0.0051977742630130545
0.18000000000000013,-2.82,0.014266947598711301,0.00047987696891123,0.6532208417655895,-0.00644971535175357,-0.014423364894522553,0.0008461512174602565,0.02435191111031455,0.0013325737850078832,0.6923016803054669,-0.26301578146215165,-0.26301578146215165,0.48746827622503686,0.48746827622503686,0,0,1,1,0.00031467933446832196,0.0,0.0033067293665338944,0.006609438381787301,0.005200315642271289
0.20000000000000015,-2.8,0.015398038359090396,0.000682578913426985,0.6532997923936787,-0.006500799603242594,-0.012593239011793258,0.0007850714498193625,0.025468678508072686,0.001538255037287237,0.6923505539236493,0.25738215363933126,0.25738215363933126,0.48918991249008403,0.48918991249008403,0,0,1,1,0.0003022232507212076,0.0035361520871025646,0.0,0.006607691880154454,0.005207076924842058
0.22000000000000017,-2.78,0.016357932436197674,0.0008856862208397234,0.6533959878250827,-0.006531399177367131,-0.01058513782410367,0.0007191453560932344,0.026520940946796898,0.0017366726035604545,0.6924188170893262,0.7207802381033017,0.7207802381033017,0.4702805707472768,0.4702805707472768,0,0,1,1,0.0003004335887988969,0.0,0.003336305952444348,0.006609809211455258,0.0052151173106513545
0.24000000000000019,-2.76,0.01719974650760879,0.001084272466990651,0.6535153561448226,-0.006559707442519912,-0.008391444607638738,0.0006506532258551147,0.027521317247826138,0.0019254641739407843,0.6925090757044717,1.147018489255906,1.147018489255906,0.48524261311519046,0.48524261311519046,0,0,1,1,0.00030305674814786864,0.0,0.003351160152730443,0.0066132389647988584,0.005223178172511623
0.2600000000000002,-2.7399999999999998,0.017949533419473838,0.0012766406481346335,0.653647699113887,-0.006597717797537366,-0.006159063966398461,0.000595277143467459,0.028478851958156384,0.0021043730909106753,0.692612247310791,1.4912393692760415,1.4912393692760415,0.48530801789980976,0.48530801789980976,0,0,1,1,0.00030678745916119365,0.0034939663551755316,0.0033650617281925058,0.006617351422107408,0.005229710915266556
0.2800000000000002,-2.7199999999999998,0.018618514748349243,0.0014631843223167037,0.6537848032222994,-0.006621013895671954,-0.003863512715512229,0.0005584231022369791,0.029400845772706994,0.0022725331764626142,0.692721009772225,1.8878623887507944,1.8878623887507944,0.4741756216066663,0.4741756216066663,0,0,1,1,0.0003107975818498294,0.0034798597876012044,0.0033793417848616103,0.006621617696851076,0.005234386649421631
0.3000000000000002,-2.6999999999999997,0.019222279110357836,0.0016412206959890835,0.6539248340541768,-0.006634212519768248,-0.001508898855834756,0.0005333684455556194,0.030292649869265602,0.0024284993015697117,0.6928330517410454,2.266272569260833,2.266272569260833,0.47375400243491883,0.47375400243491883,0,0,1,1,0.0003160483512166341,0.003465795484107267,0.0033934586486014714,0.0066253791979818235,0.005238260094654394
