sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,balance_addition_nm,ctrl_nm,ctrl_saturation_fraction,limit_margin_rad
0.001,-4.999,head_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0001437664031982,0.0001437664031982,0.0001437568261391595,-9.577059040494553e-06,9.577059040504887e-09,0.0,-0.0002768473524295074,0.00010647975093442591,0.34892224317386084
0.001,-4.999,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.270456314086914,-0.270456314086914,-0.2704604415452095,-0.004127458295491127,4.12745829547756e-06,0.0,-0.4554261792568818,0.01265072720158005,0.5323905584547906
0.001,-4.999,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0121755599975585,0.012175561340500147,1.34294164718584e-06,-1.3429416467758415e-09,0.0,-0.0037728594032313545,0.00015720247513463978,0.24962343865949985
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-1.172232151031494,-1.1722543766718756,-0.022225640381694015,2.2225640381678957e-05,0.0,-1.656347481359729,0.06901447838998871,1.1722543766718756
0.001,-4.999,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3268289566040039,-0.3268289566040039,-0.32686600716346703,-0.03705055946312115,3.705055946312541e-05,0.0,-4.349871893889118,0.03686332113465354,2.230041992836533
0.001,-4.999,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0213799476623535,-0.0213799476623535,-0.02138003332524582,-8.566289232011151e-05,8.566289232125879e-08,0.0,-0.3419808461805971,0.0028981427642423485,0.21423896667475417
0.001,-4.999,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,9.584426879882812e-05,9.584426879882812e-05,9.583370686350245e-05,-1.0561935325676772e-05,1.056193532567235e-08,0.0,0.02608199304039749,0.00022103383932540246,1.6843378337068635
0.001,-4.999,left_knee_joint,MEASURED_REAL_TRAJECTORY,0.5220255851745605,0.5220255851745605,0.5220483871592783,0.022801984717752913,-2.2801984717712998e-05,0.0,1.0662588142931968,0.009036091646552516,0.5220483871592783
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3956656455993652,0.3956656455993652,0.39567326235829847,0.007616758933311504,-7.616758933293166e-06,0.0,-0.16555171757020776,0.00459865882139466,1.6376357376417014
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0146684646606445,-0.0146684646606445,-0.014663468871559669,0.004995789084830443,-4.9957890848311565e-06,0.0,1.2414859688806352,0.03448572135779542,0.04642353112844033
0.001,-4.999,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.009490966796875,-0.009490966796875,-0.009490620145042795,0.00034665183220481343,-3.4665183220455864e-07,0.0,0.4995268536921915,0.020813618903841313,2.547417379854957
0.001,-4.999,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0013351440429687,0.0013351440429687,0.0013349495729279262,-0.0001944700407736491,1.9447004077368345e-07,0.0,-0.20047912256583172,0.09112687389355986,0.5746240504270721
0.001,-4.999,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0043869018554687,-0.0043869018554687,-0.004386929860750374,-2.8005281674146525e-05,2.8005281674410576e-08,0.0,0.042029980646208,0.01910453665736727,0.7286989298607504
0.001,-4.999,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0062317848205566,0.0062317848205566,0.006231746533518373,-3.828703822657913e-05,3.828703822646856e-08,0.0,-0.010424939455212057,0.0004343724773005024,2.5506762534664817
0.001,-4.999,right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3164749145507812,-0.3164749145507812,-0.31648032586626823,-0.005411315487058291,5.411315487036106e-06,0.0,-0.4575527750906981,0.012709799308074947,0.48637067413373175
0.001,-4.999,right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0058479309082031,0.0058479309082031,0.005847968533413253,3.762521015286328e-05,-3.762521015322068e-08,0.0,0.009087903670776054,0.00037866265294900225,0.25595103146658676
0.001,-4.999,right_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1722326278686523,-1.1722326278686523,-1.1722549164751195,-0.022288606467183853,2.2288606467135708e-05,0.0,-1.6414962459457438,0.068395676914406,1.1722549164751195
0.001,-4.999,right_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.2298059463500976,-0.2298059463500976,-0.22983969359168333,-0.03374724158573487,3.3747241585724286e-05,0.0,-2.4457638472813006,0.02072681226509577,2.3270683064083166
0.001,-4.999,right_hip_roll_joint,MEASURED_REAL_TRAJECTORY,0.0116004943847656,0.0116004943847656,0.011600563190064497,6.880529889657744e-05,-6.880529889591314e-08,0.0,0.14965244282897672,0.0012682410409235315,0.2240184368099355
0.001,-4.999,right_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0033555030822753,-0.0033555030822753,-0.0033556049468514266,-0.00010186457612647216,1.0186457612658406e-07,0.0,-0.008562728931196029,7.256549941691549e-05,1.6875976049468515
0.001,-4.999,right_knee_joint,MEASURED_REAL_TRAJECTORY,0.4656524658203125,0.4656524658203125,0.465671980450503,0.019514630190491024,-1.951463019050914e-05,0.0,1.3315513536483303,0.011284333505494324,0.465671980450503
0.001,-4.999,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3971996307373047,0.3971996307373047,0.39720882189833867,0.009191161034007994,-9.19116103398343e-06,0.0,-0.11861247957500609,0.0032947910993057247,1.6361001781016613
0.001,-4.999,right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.0081491470336914,0.0081491470336914,0.0081438096270085,-0.005337406682899348,5.337406682898518e-06,0.0,-1.2936926811423142,0.03593590780950873,0.0529431903729915
0.001,-4.999,right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0102581977844238,0.0102581977844238,0.010257740853752854,-0.00045693067094589376,4.56930670945932e-07,0.0,-0.5203961883918196,0.021683174516325815,2.546650259146247
0.001,-4.999,right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0028610229492187,0.0028610229492187,0.0028608117792630625,-0.0002111699556378358,2.1116995563763216e-07,0.0,-0.19855193780684693,0.09025088082129405,0.5730981882207369
0.001,-4.999,right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.0017166137695312,0.0017166137695312,0.001716617083758778,3.3142275781394977e-06,-3.314227578141149e-09,0.0,-0.047211942443608046,0.021459973838003656,0.7260286170837588
0.001,-4.999,right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.008340835571289,0.008340835571289,0.008340868263293538,3.2692004536866384e-05,-3.269200453751009e-08,0.0,0.011084003809992415,0.0004618334920830173,2.5485671317367062
0.001,-4.999,waist_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.0287813382420912,-0.0287813382420912,-0.02880332447614909,-0.02198623405788923,2.198623405788927e-05,0.0,0.6037533885212025,0.012578195594191719,0.28535567552385094
0.001,-4.999,waist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0012392314797718,-0.0012392314797718,-0.0012391324357366475,9.904403515241627e-05,-9.904403515241002e-08,0.0,0.0887487481775721,0.0018489322536994186,0.48745286756426337
0.001,-4.999,waist_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0010547637939453,-0.0010547637939453,-0.0010549521058279671,-0.00018831188266718834,1.883118826671859e-07,0.0,0.0,0.0,2.2088969521058277
0.02000000000000001,-4.98,head_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0001437664031982,0.0001437664031982,0.00014150750501873343,-0.0002709028009258994,2.258898179466584e-06,0.0,0.001493653361381531,0.0005744820620698196,0.34892449249498125
0.02000000000000001,-4.98,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.270456314086914,-0.270456314086914,-0.2703758566128175,-0.021851716900587178,-8.045747409651804e-05,-0.5192946906710673,-0.8319170097649013,0.023108805826802817,0.5324751433871825
0.02000000000000001,-4.98,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0121755599975585,0.013795031240011638,0.20885631705363267,-0.0016194712424531382,3.1793477229436586,0.6723051581253885,0.028012714921891186,0.24800396875998837
0.02000000000000001,-4.98,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-1.172232151031494,-1.1736648093852082,-0.07593037352658136,0.0014326583537143112,0.0,-0.718884838459716,0.029953534935821497,1.1736648093852082
0.02000000000000001,-4.98,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3268289566040039,-0.3268289566040039,-0.32838696675070334,-0.04778004426161145,0.001558010146699429,0.0,-3.1190526377318863,0.026432649472304122,2.2285210332492964
0.02000000000000001,-4.98,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0213799476623535,-0.0213799476623535,-0.019417464244697237,0.1892474203063627,-0.0019624834176562612,0.0,-3.804527086810244,0.03224175497296817,0.21620153575530277
0.02000000000000001,-4.98,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,9.584426879882812e-05,9.584426879882812e-05,-0.00015597497316162216,-0.03088238739528238,0.0002518192419604503,0.0,0.570495837972842,0.004834710491295271,1.6840860250268384
0.02000000000000001,-4.98,left_knee_joint,MEASURED_REAL_TRAJECTORY,0.5220255851745605,0.5220255851745605,0.523374767159167,0.06930908176418257,-0.001349181984606429,0.0,-0.385469928604258,0.003266694310205576,0.523374767159167
0.02000000000000001,-4.98,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3956656455993652,0.3956656455993652,0.39567619836971196,-0.013361491390292485,-1.0552770346783369e-05,0.0,-0.05224400108785593,0.0014512222524404425,1.6376328016302881
0.02000000000000001,-4.98,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0146684646606445,-0.0146684646606445,-0.014614585126116166,0.0008104778223972941,-5.387953452833452e-05,0.0,1.1937194028451272,0.033158872301253535,0.04647241487388384
0.02000000000000001,-4.98,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.009490966796875,-0.009490966796875,-0.009477288177528647,-0.0007595658027963028,-1.3678619346353324e-05,0.0,0.5088516563241263,0.021202152346838598,2.5474307118224715
0.02000000000000001,-4.98,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0013351440429687,0.0013351440429687,0.0012944457059036855,-0.0032218148569464586,4.069833706501439e-05,0.0,-0.1791082815067875,0.08141285523035795,0.5746645542940964
0.02000000000000001,-4.98,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0043869018554687,-0.0043869018554687,-0.004388844287730237,-0.0003003753880600916,1.942432261536897e-06,0.0,0.04653578215811503,0.02115262825368865,0.7287008442877302
0.02000000000000001,-4.98,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0062317848205566,0.0062317848205566,0.0062274349249883554,-0.0003259172066487297,4.349895568244409e-06,0.0,-0.0046850511506054526,0.00019521046460856052,2.5506805650750115
0.02000000000000001,-4.98,right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.3164749145507812,-0.3164749145507812,-0.31058536013337223,0.4798080992022085,-0.00588955441740896,-0.5192946906710673,-7.1797127111095325,0.199436464197487,0.49226563986662775
0.02000000000000001,-4.98,right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0058479309082031,0.0058479309082031,0.005208933102381005,-0.013469112312917707,0.0006389978058220945,3.1793477229436586,3.4693206530005556,0.14455502720835647,0.256590066897619
0.02000000000000001,-4.98,right_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1722326278686523,-1.1722326278686523,-1.1735066678182313,-0.05367877788619056,0.0012740399495789756,0.0,-0.922310472245137,0.03842960301021404,1.1735066678182313
0.02000000000000001,-4.98,right_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.2298059463500976,-0.2298059463500976,-0.23388299248227298,-0.28161503499407936,0.004077046132175383,0.0,3.0631058799150583,0.025958524406059818,2.323025007517727
0.02000000000000001,-4.98,right_hip_roll_joint,MEASURED_REAL_TRAJECTORY,0.0116004943847656,0.0116004943847656,0.014117746502583805,0.2507415329800712,-0.002517252117818204,0.0,-4.326611962001819,0.03666620306781203,0.2215012534974162
0.02000000000000001,-4.98,right_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0033555030822753,-0.0033555030822753,-0.003833213748931526,-0.06670978033177878,0.000477710666656226,0.0,1.12305076594215,0.009517379372391102,1.6880752137489314
0.02000000000000001,-4.98,right_knee_joint,MEASURED_REAL_TRAJECTORY,0.4656524658203125,0.4656524658203125,0.4721456132528992,0.5896749307699368,-0.006493147432586721,0.0,-9.34943373793402,0.0792324893045256,0.4721456132528992
0.02000000000000001,-4.98,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3971996307373047,0.3971996307373047,0.39736342975815264,0.005284533935301334,-0.0001637990208479545,0.0,-0.18032433338285858,0.005009009260634961,1.6359455702418475
0.02000000000000001,-4.98,right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.0081491470336914,0.0081491470336914,0.007483342326533344,-0.04069337393009514,0.0006658047071580551,0.0,0.09595930374096481,0.0026655362150268002,0.053603657673466656
0.02000000000000001,-4.98,right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0102581977844238,0.0102581977844238,0.010078368617390518,-0.013882767985981962,0.00017982916703328244,0.0,-0.07051620109185106,0.002938175045493794,2.5468296313826095
0.02000000000000001,-4.98,right_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,0.0028610229492187,0.0028610229492187,0.002820224046245659,-0.0030848623157761364,4.079890297304127e-05,0.0,-0.17763627413209396,0.0807437609691336,0.5731387759537543
0.02000000000000001,-4.98,right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.0017166137695312,0.0017166137695312,0.0017029468701457683,-0.0013501099883223835,1.366689938543165e-05,0.0,-0.024603114290504307,0.011183233768411047,0.7260149468701457
0.02000000000000001,-4.98,right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.008340835571289,0.008340835571289,0.00834200259234926,-6.5225295158193615e-06,-1.167021060259274e-06,0.0,0.010760352949464523,0.00044834803956102183,2.5485659974076507
0.02000000000000001,-4.98,waist_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.0287813382420912,-0.0287813382420912,-0.02882527565087055,0.049804142651574825,4.3937408779348014e-05,0.0,-0.0667292490457741,0.001390192688453627,0.28533372434912946
0.02000000000000001,-4.98,waist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0012392314797718,-0.0012392314797718,0.001189313651696609,0.24455271285022506,-0.002428545131468409,0.0,-3.709652209090079,0.07728442102270998,0.4875026863483034
0.02000000000000001,-4.98,waist_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0010547637939453,-0.0010547637939453,-0.001654765707556908,-0.07592198237095871,0.000600001913611608,0.0,1.1319115360132328,0.009592470644179939,2.2094967657075566
0.04000000000000003,-4.96,head_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0001437664031982,0.0001437664031982,0.0001314775126614544,-0.0006551448634324512,1.2288890536745612e-05,0.0,0.005030793410292734,0.0019349205424202824,0.3489345224873385
0.04000000000000003,-4.96,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.270456314086914,-0.270456314086914,-0.27171135605230007,0.27375412930489595,0.0012550419653860612,-3.6127876314749865,-5.669204077368213,0.1574778910380059,0.5311396439476999
0.04000000000000003,-4.96,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0121755599975585,0.021211778993487806,0.48027826258022166,-0.009036218995929306,6.4564754637740505,-0.27688416561647333,0.011536840234019722,0.2405872210065122
0.04000000000000003,-4.96,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-1.172232151031494,-1.1746538125996562,-0.022984737671724192,0.002421661568162259,0.0,-1.1022376865182502,0.045926570271593754,1.1746538125996562
