dataset,state,standing_offset_scale,left_signed_distance_m,right_signed_distance_m,left_minus_right_m
heart,raw_initial,0.0,0.0033606102022932603,0.003569589272430114,-0.00020897907013685355
heart,static_offset_scale_0.25,0.25,0.0033605234763567425,0.0035697784344856346,-0.00020925495812889206
heart,static_offset_scale_0.50,0.5,0.003360736979098375,0.003569999217307311,-0.00020926223820893607
heart,static_offset_scale_0.75,0.75,0.0033612506923905304,0.003570251618805906,-0.0002090009264153754
heart,static_offset_scale_1.00,1.0,0.0033620645726158485,0.0,0.0033620645726158485
wave,raw_initial,0.0,0.0015233686278937277,0.0,0.0015233686278937277
wave,static_offset_scale_0.25,0.25,0.001522002642885694,0.0020442765035998066,-0.0005222738607141126
wave,static_offset_scale_0.50,0.5,0.001521079086416667,0.002043735837196774,-0.0005226567507801067
wave,static_offset_scale_0.75,0.75,0.0015205980369020393,0.0020432400351937698,-0.0005226419982917304
wave,static_offset_scale_1.00,1.0,0.001520559535185673,0.002042789102282567,-0.0005222295670968941
