experiment_id,family,parameter,level,parameter_value,normalized_parameter_change,hypothesis,classification,controller_mode,base_mode,contact_mode,dataset,stable_no_fall,safety_pass,contact_safety_pass,limit_management_pass,saturation_management_pass
bs_baseline,BASELINE,none,baseline,1.0,0.0,Frozen physical/controller baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_baseline,BASELINE,none,baseline,1.0,0.0,Frozen physical/controller baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_mass_lower_minus08,MASS_DISTRIBUTION,lower_limb_mass_scale_total_mass_preserved,minus,0.92,-0.08,Shift mass from lower limbs to upper body,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_mass_lower_minus08,MASS_DISTRIBUTION,lower_limb_mass_scale_total_mass_preserved,minus,0.92,-0.08,Shift mass from lower limbs to upper body,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_mass_lower_plus08,MASS_DISTRIBUTION,lower_limb_mass_scale_total_mass_preserved,plus,1.08,0.08,Shift mass from upper body to lower limbs,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_mass_lower_plus08,MASS_DISTRIBUTION,lower_limb_mass_scale_total_mass_preserved,plus,1.08,0.08,Shift mass from upper body to lower limbs,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_inertia_minus10,ROTATIONAL_INERTIA,selected_link_rotational_inertia_scale,minus,0.9,-0.1,Reduce selected link rotational inertia only,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_inertia_minus10,ROTATIONAL_INERTIA,selected_link_rotational_inertia_scale,minus,0.9,-0.1,Reduce selected link rotational inertia only,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_inertia_plus10,ROTATIONAL_INERTIA,selected_link_rotational_inertia_scale,plus,1.1,0.1,Increase selected link rotational inertia only,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_inertia_plus10,ROTATIONAL_INERTIA,selected_link_rotational_inertia_scale,plus,1.1,0.1,Increase selected link rotational inertia only,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
