physical_family,parameter,low_experiment,high_experiment,low_normalized_change,high_normalized_change,safety_effect,heart_left_ankle_excursion_normalized_sensitivity,heart_left_ankle_excursion_sweep_percent_change,heart_knee_excursion_normalized_sensitivity,heart_knee_excursion_sweep_percent_change,heart_waist_roll_excursion_normalized_sensitivity,heart_waist_roll_excursion_sweep_percent_change,wave_right_knee_excursion_normalized_sensitivity,wave_right_knee_excursion_sweep_percent_change,wave_ankle_excursion_normalized_sensitivity,wave_ankle_excursion_sweep_percent_change,base_pitch_excursion_normalized_sensitivity,base_pitch_excursion_sweep_percent_change,base_roll_excursion_normalized_sensitivity,base_roll_excursion_sweep_percent_change,foot_slipax_normalized_sensitivity,foot_slipax_sweep_percent_change,contact_penetrationax_normalized_sensitivity,contact_penetrationax_sweep_percent_change,arm_tracking_rmse_normalized_sensitivity,arm_tracking_rmse_sweep_percent_change
MASS_DISTRIBUTION,lower_limb_mass_scale_total_mass_preserved,bs_mass_lower_minus08,bs_mass_lower_plus08,-0.08,0.08,PASS_ALL_HEART_WAVE,0.2339245348511132,3.7427925576178116,-0.878534036547989,-14.056544584767824,-0.07535636218800977,-1.2057017950081563,-0.8196698761268144,-13.11471801802903,-1.0112585315563094,-16.180136504900954,-0.7904911634459806,-12.647858615135691,1.2245235868209317,19.592377389134906,-0.047857113372309745,-0.765713813956956,-0.08747120824065116,-1.3995393318504188,-0.002569578620555365,-0.04111325792888583
ROTATIONAL_INERTIA,selected_link_rotational_inertia_scale,bs_inertia_minus10,bs_inertia_plus10,-0.1,0.1,PASS_ALL_HEART_WAVE,0.016209589948744416,0.32419179897488837,-0.006649746894169764,-0.13299493788339528,-0.0038265401940222156,-0.07653080388044432,0.15338709522125862,3.0677419044251724,0.6621076330100973,13.242152660201947,-0.038331964971874334,-0.7666392994374868,-0.3158871254379252,-6.3177425087585055,-0.01902565804846104,-0.38051316096922083,0.07004440773354277,1.4008881546708554,5.291940121739606e-05,0.0010583880243479212
JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,bs_damping_005,bs_damping_015,0.5,1.5,PASS_ALL_HEART_WAVE,-0.00893777466266859,-0.8937774662668589,0.001602540503472742,0.1602540503472742,-0.0006886212485104446,-0.06886212485104445,-0.017662637779009352,-1.7662637779009354,-0.0016925233866278483,-0.16925233866278483,0.0013582884126895766,0.13582884126895767,-0.046161280248566694,-4.616128024856669,-0.0018750302616891707,-0.18750302616891706,0.0036909130943611787,0.3690913094361179,2.7421123098305226e-06,0.0002742112309830523
ARMATURE,pitch_chain_armature_scale,bs_armature_minus20,bs_armature_plus20,-0.2,0.2,PASS_ALL_HEART_WAVE,-0.028691055462072224,-1.147642218482889,0.0022409248292626135,0.08963699317050455,-0.003418311165904436,-0.13673244663617742,0.04534409695323436,1.8137638781293748,0.2741450437245187,10.96580174898075,0.008191903388500059,0.3276761355400024,0.22362639529584818,8.945055811833928,-0.024566547582718923,-0.982661903308757,0.011226700996308726,0.44906803985234905,-0.00015205921937960217,-0.006082368775184087
CONTACT_FRICTION,floor_and_foot_friction_scale,bs_friction_minus10,bs_friction_plus10,-0.1,0.1,PASS_ALL_HEART_WAVE,0.005433068428634461,0.10866136857268922,-0.0008188728021659947,-0.016377456043319895,-0.026490685122170024,-0.5298137024434004,0.22827024840736235,4.565404968147248,0.2701090270617608,5.402180541235217,0.050537576901335965,1.0107515380267194,0.15048058496257657,3.009611699251532,0.09950943674247395,1.9901887348494793,1.9422967201477905,38.84593440295581,0.0001640033369693334,0.0032800667393866685
CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,bs_compliance_stiffer10,bs_compliance_softer10,-0.1,0.1,PASS_ALL_HEART_WAVE,-0.01398058410489976,-0.2796116820979952,0.015237311327161758,0.3047462265432352,-0.022189835322274098,-0.443796706445482,-0.009137149203066594,-0.18274298406133188,0.12999257226428543,2.599851445285709,-0.014096267757718226,-0.2819253551543645,0.8943120125684645,17.88624025136929,0.20544275763678416,4.108855152735683,1.1779009317581761,23.558018635163524,-6.520005261349844e-05,-0.001304001052269969
