section,name,mass_kg,inertial_pos,inertia_diag_kg_m2,body,axis,range_rad,damping,armature,frictionloss,geom_type,friction,solref,solimp,contype,conaffinity,joint,gear,ctrlrange,forcerange,ctrllimited,forcelimited
JOINT,right_hip_pitch_joint,,,,right_hip_pitch_link,0.0 1.0 0.0,-2.556908 2.556908,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_hip_roll_joint,,,,right_hip_roll_link,1.0 0.0 0.0,-2.905973 0.235619,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_hip_yaw_joint,,,,right_hip_yaw_link,0.0 0.0 1.0,-3.429572 1.684242,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_knee_joint,,,,right_knee_link,0.0 1.0 0.0,0.0 2.408554,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_ankle_pitch_joint,,,,right_ankle_pitch_link,0.0 1.0 0.0,-0.802851 0.453786,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_ankle_roll_joint,,,,right_ankle_roll_link,1.0 0.0 0.0,-0.261799 0.261799,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,waist_yaw_joint,,,,waist_yaw_link,0.0 0.0 1.0,-3.429572 2.207842,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,waist_pitch_joint,,,,waist_pitch_link,0.0 1.0 0.0,-0.314159 0.314159,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,waist_roll_joint,,,,torso_link,1.0 0.0 0.0,-0.488692 0.488692,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_shoulder_pitch_joint,,,,left_shoulder_pitch_link,0.0 1.0 0.0,-3.080506 2.033309,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_shoulder_roll_joint,,,,left_shoulder_roll_link,1.0 0.0 0.0,-0.061087 3.0456,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_shoulder_yaw_joint,,,,left_shoulder_yaw_link,0.0 0.0 1.0,-2.556908 2.556908,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_elbow_joint,,,,left_elbow_link,0.0 1.0 0.0,-2.356194 0.0,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_wrist_yaw_joint,,,,left_wrist_yaw_link,0.0 0.0 1.0,-2.556908 2.556908,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_wrist_pitch_joint,,,,left_wrist_pitch_link,0.0 1.0 0.0,-0.575959 0.575959,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,left_wrist_roll_joint,,,,left_wrist_roll_link,1.0 0.0 0.0,-1.50971 0.724312,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_shoulder_pitch_joint,,,,right_shoulder_pitch_link,0.0 1.0 0.0,-3.080506 2.033309,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_shoulder_roll_joint,,,,right_shoulder_roll_link,1.0 0.0 0.0,-3.0456 0.061087,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_shoulder_yaw_joint,,,,right_shoulder_yaw_link,0.0 0.0 1.0,-2.556908 2.556908,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_elbow_joint,,,,right_elbow_link,0.0 1.0 0.0,-2.356194 0.0,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_wrist_yaw_joint,,,,right_wrist_yaw_link,0.0 0.0 1.0,-2.556908 2.556908,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_wrist_pitch_joint,,,,right_wrist_pitch_link,0.0 1.0 0.0,-0.575959 0.575959,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,right_wrist_roll_joint,,,,right_wrist_roll_link,1.0 0.0 0.0,-0.724312 1.50971,0.0,0.03,0.3,,,,,,,,,,,,
JOINT,head_yaw_joint,,,,head_yaw_link,0.0 0.0 1.0,-0.349066 0.349066,0.0,0.03,0.3,,,,,,,,,,,,
CONTACT_GEOM,floor,,,,world,,,,,,0.0,1.0 0.01 0.001,0.02 1.0,0.9 0.95 0.001 0.5 2.0,1.0,1.0,,,,,,
ACTUATOR,motor_left_hip_pitch_joint,,,,,,,,,,,,,,,,left_hip_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_hip_roll_joint,,,,,,,,,,,,,,,,left_hip_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_hip_yaw_joint,,,,,,,,,,,,,,,,left_hip_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_knee_joint,,,,,,,,,,,,,,,,left_knee_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_ankle_pitch_joint,,,,,,,,,,,,,,,,left_ankle_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_ankle_roll_joint,,,,,,,,,,,,,,,,left_ankle_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_hip_pitch_joint,,,,,,,,,,,,,,,,right_hip_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_hip_roll_joint,,,,,,,,,,,,,,,,right_hip_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_hip_yaw_joint,,,,,,,,,,,,,,,,right_hip_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_knee_joint,,,,,,,,,,,,,,,,right_knee_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_ankle_pitch_joint,,,,,,,,,,,,,,,,right_ankle_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_ankle_roll_joint,,,,,,,,,,,,,,,,right_ankle_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_waist_yaw_joint,,,,,,,,,,,,,,,,waist_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-118.0 118.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_waist_pitch_joint,,,,,,,,,,,,,,,,waist_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-48.0 48.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_waist_roll_joint,,,,,,,,,,,,,,,,waist_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-48.0 48.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_head_yaw_joint,,,,,,,,,,,,,,,,head_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-2.6 2.6,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_shoulder_pitch_joint,,,,,,,,,,,,,,,,left_shoulder_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_shoulder_roll_joint,,,,,,,,,,,,,,,,left_shoulder_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_shoulder_yaw_joint,,,,,,,,,,,,,,,,left_shoulder_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_elbow_joint,,,,,,,,,,,,,,,,left_elbow_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_wrist_yaw_joint,,,,,,,,,,,,,,,,left_wrist_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_wrist_pitch_joint,,,,,,,,,,,,,,,,left_wrist_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-2.2 2.2,0.0 0.0,1.0,0.0
ACTUATOR,motor_left_wrist_roll_joint,,,,,,,,,,,,,,,,left_wrist_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-2.2 2.2,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_shoulder_pitch_joint,,,,,,,,,,,,,,,,right_shoulder_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_shoulder_roll_joint,,,,,,,,,,,,,,,,right_shoulder_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-36.0 36.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_shoulder_yaw_joint,,,,,,,,,,,,,,,,right_shoulder_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_elbow_joint,,,,,,,,,,,,,,,,right_elbow_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_wrist_yaw_joint,,,,,,,,,,,,,,,,right_wrist_yaw_joint,1.0 0.0 0.0 0.0 0.0 0.0,-24.0 24.0,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_wrist_pitch_joint,,,,,,,,,,,,,,,,right_wrist_pitch_joint,1.0 0.0 0.0 0.0 0.0 0.0,-2.2 2.2,0.0 0.0,1.0,0.0
ACTUATOR,motor_right_wrist_roll_joint,,,,,,,,,,,,,,,,right_wrist_roll_joint,1.0 0.0 0.0 0.0 0.0 0.0,-2.2 2.2,0.0 0.0,1.0,0.0
