experiment_id,dataset,heart_left_ankle_excursion_rad,heart_knee_excursion_rad,heart_waist_roll_excursion_rad,wave_right_knee_excursion_rad,wave_ankle_excursion_rad,base_pitch_excursion_rad,base_roll_excursion_rad,foot_slip_max_m,contact_penetration_max_m,arm_tracking_rmse_rad,arm_tracking_max_abs_lag_s,safety_pass,stable_no_fall,persistent_saturation_fraction,minimum_limit_margin_rad,family,parameter,level,parameter_value,normalized_parameter_change
bs_damping_005,heart,0.0350336674121586,0.05518616779468402,0.008124814268601802,,,0.0637173049772157,0.003902869571940499,0.0072312571251316,0.0004483395686397,0.1109730888744479,0.16,True,True,0.0,0.04795266070500146,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,low,0.05,0.5
bs_damping_005,wave,,,,0.08213588428299151,0.020872677052729452,0.1102547558214356,0.0114301212885014,0.0097822451236026,0.0005491596395124,0.07786715610774099,0.16,True,True,0.0,0.0462242092044073,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,low,0.05,0.5
bs_damping_015,heart,0.03472138137726968,0.05527459794403902,0.0081192172088193,,,0.0639241967798708,0.0038404741532649,0.0072269970465813,0.0004460020885632,0.11097322327327588,0.16,True,True,0.0,0.04795266111693762,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,high,0.15,1.5
bs_damping_015,wave,,,,0.08068592272346442,0.020838884646365005,0.11028607379738911,0.010766392224068201,0.0097545380034181,0.0005551812206984,0.07786753950720797,0.16,True,True,0.0,0.04622657765203728,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,high,0.15,1.5
bs_armature_minus20,heart,0.0350848040053342,0.0551603074714718,0.0081311564727706,,,0.06366839580232121,0.0038231047465778992,0.0072501531566602,0.0004474748907621,0.11097310580815711,0.16,True,True,0.0,0.04795266062177392,ARMATURE,pitch_chain_armature_scale,minus,0.8,-0.2
bs_armature_minus20,wave,,,,0.08144736919611878,0.02117828286850519,0.1085074109490517,0.010518534416610499,0.0098143707758681,0.0005529405863457,0.07787194512681796,0.16,True,True,0.0,0.04621529001561235,ARMATURE,pitch_chain_armature_scale,minus,0.8,-0.2
bs_armature_plus20,heart,0.034683817572572495,0.055209770263061925,0.008120042966185001,,,0.0637003049713098,0.003834174578654501,0.0072060195872998,0.0004460515671642,0.1109731612376762,0.16,True,True,0.0,0.047952660557770636,ARMATURE,pitch_chain_armature_scale,plus,1.2,0.2
bs_armature_plus20,wave,,,,0.08293632454596567,0.02336768144190876,0.10905016367788309,0.0119145364839206,0.009690971324594,0.000558846302299,0.07786040424438785,0.16,True,True,0.0,0.04622733897094714,ARMATURE,pitch_chain_armature_scale,plus,1.2,0.2
bs_friction_minus10,heart,0.03489876203814221,0.05525157448881296,0.0081672103065161,,,0.0636946781268235,0.0038641394996585003,0.0071263886341422,0.0003551842011802,0.11097325505294245,0.16,True,True,0.0,0.047952665957421564,CONTACT_FRICTION,floor_and_foot_friction_scale,minus,0.9,-0.1
bs_friction_minus10,wave,,,,0.07913638608726442,0.019652284415352286,0.11096073409338589,0.0112129482329345,0.0097202802365176,0.0004543908533766,0.07785927655747288,0.16,True,True,0.0,0.046223263544411926,CONTACT_FRICTION,floor_and_foot_friction_scale,minus,0.9,-0.1
bs_friction_plus10,heart,0.034936728343199,0.05524253720781552,0.008124147462135701,,,0.06379933518320649,0.0038244355801577,0.0073178407308407,0.0005359746336125,0.11097313211661552,0.16,True,True,0.0,0.04795265720219588,CONTACT_FRICTION,floor_and_foot_friction_scale,plus,1.1,0.1
bs_friction_plus10,wave,,,,0.08288421910649468,0.020730867326204952,0.1126286821616016,0.0117260689917668,0.009868133377215,0.000661342820656,0.0778655933063542,0.16,True,True,0.0,0.04620433367313662,CONTACT_FRICTION,floor_and_foot_friction_scale,plus,1.1,0.1
bs_compliance_stiffer10,heart,0.034800039861987486,0.055085726827044657,0.0081504200795496,,,0.06350571729792841,0.0038460269214946,0.0070469471854622,0.0003840383325844,0.11097315828222301,0.16,True,True,0.0,0.047952667608895674,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,minus,0.9,-0.1
bs_compliance_stiffer10,wave,,,,0.0826898200947046,0.021280732939205307,0.11137989821385841,0.0107081988091099,0.0095822433651311,0.0005032605288257,0.077865518209636,0.16,True,True,0.0,0.04620829665004039,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,minus,0.9,-0.1
bs_compliance_softer10,heart,0.0347023434813932,0.055253889530390954,0.008114348629494499,,,0.06381173306434701,0.003830739844174799,0.0073967650126684,0.0005037969128824,0.11097314302982884,0.16,True,True,0.0,0.04795265569358903,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,plus,1.1,0.1
bs_compliance_softer10,wave,,,,0.08253980269329636,0.021799811359157484,0.1105794559632847,0.013537020712013001,0.0099329400412038,0.0006186473458117,0.07786307109198398,0.16,True,True,0.0,0.04623033216230591,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,plus,1.1,0.1
