joint_name,tracking_status,maximum_position_error_deg,return_error_deg,self_collision_steps,joint_limit_violation_steps,persistent_saturation_fraction,runtime_total_mass_kg
left_wrist_roll_joint,SETTLED,0.47500216069659323,-0.0029402362461262567,0,0,0.0,43.4747966592726
right_wrist_roll_joint,SETTLED,0.47490942377203144,-0.002937128716142601,0,0,0.0,43.4747966592726
left_wrist_yaw_joint,SETTLED,0.4746463661129111,-0.002226491934327729,0,0,0.0,43.4747966592726
right_wrist_yaw_joint,SETTLED,0.47461894618369255,-0.002235417485993125,0,0,0.0,43.4747966592726
left_wrist_pitch_joint,SETTLED,0.6797049080635306,-0.019453290461298286,0,0,0.0,43.4747966592726
right_wrist_pitch_joint,SETTLED,0.679676757556187,-0.01943804876496749,0,0,0.0,43.4747966592726
left_elbow_joint,SETTLED,0.610064831459395,-0.020584345406500636,0,0,0.0,43.4747966592726
right_elbow_joint,SETTLED,0.6086695248909892,-0.02071973313943559,0,0,0.0,43.4747966592726
left_shoulder_yaw_joint,SETTLED,0.31403025703004406,-4.8174521592661996e-05,0,0,0.0,43.4747966592726
right_shoulder_yaw_joint,SETTLED,0.3145037677656632,0.00010458120706088452,0,0,0.0,43.4747966592726
left_shoulder_pitch_joint,SETTLED,0.6278379021579701,-0.059491709719244966,0,0,0.0,43.4747966592726
right_shoulder_pitch_joint,SETTLED,0.6274359298627268,-0.05921155157608647,0,0,0.0,43.4747966592726
