sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,ctrl_nm,ctrl_saturation_fraction,lower_margin_rad,upper_margin_rad,reference_target_rad,standing_reference_offset_rad,pitch_balance_correction_nm,roll_balance_correction_nm,contact_avoidance_correction_nm,contact_avoidance_scaling,limit_scaling,saturation_scaling,rate_scaling,allocation_weight,final_balance_addition_nm,equivalent_balance_target_offset_rad,final_joint_target_rad,raw_desired_allocation_weight,preallocation_constraint_scaling,redistributed_allocation_weight,response_model_gate,response_motion_activity,response_asymmetry_gate,arm_motion_energy_rad_s,arm_asymmetry,sagittal_fraction
0.001,-4.999,head_yaw_joint,MEASURED_REAL_TRAJECTORY,4.792213439941406e-05,4.792213439941406e-05,4.7936500200736174e-05,1.4365801322111315e-05,-1.4365801322111546e-08,-0.0002599801114036123,9.999235053985088e-05,0.34911393650020073,0.34901806349979925,4.792213439941406e-05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.792213439941406e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.2804269790649414,-0.24194617380235117,-0.2803635591197116,0.06341994522979189,0.03841738531736044,2.0744577728838074,0.057623827024550205,0.5224874408802884,0.7341495591197116,-0.2804269790649414,0.038480805262590234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7748779378185651,0.0,0.0,-0.24194617380235117,0.7,1.0,0.7748779378185651,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,0.0016298294067382,0.0016298294067382,0.0016295656973551386,-0.0002637093830613817,2.6370938306131964e-07,-0.0002062285175448153,8.592854897700638e-06,0.2634285656973551,0.2601694343026449,0.0016298294067382,0.0,0.0,0.0,0.0,0.7049920556554592,1.0,1.0,1.0,0.5788818045478865,0.0,0.0,0.0016298294067382,0.7,0.7049920556554592,0.5788818045478865,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.173574447631836,-1.173574447631836,-1.1735864852369624,-0.012037605126536063,1.203760512646923e-05,-1.578910575746796,0.0657879406561165,1.1826075147630375,1.1735864852369624,-1.173574447631836,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.173574447631836,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.2902059555053711,-0.25334806586466657,-0.2901695730511789,0.03638245419217739,0.03682150718651234,0.7182179119579888,0.006086592474220244,2.266738426948821,2.847077573051179,-0.2902059555053711,0.03685788964070452,0.0,0.0,0.0010790435013917925,0.7049920556554592,1.0,1.0,1.0,0.06243231888740267,0.0010790435013917925,9.382986968624283e-06,-0.25333868287769795,0.1,0.5639936445243674,0.06243231888740267,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0087242126464843,0.016275787353515703,-0.008702159618368366,0.022053028115933623,0.024977946971884067,3.3484818596913404,0.028376964912638476,0.22691684038163162,2.914675159618368,-0.0087242126464843,0.025,0.0,0.0,3.5339331137773473,0.7049920556554592,1.0,1.0,0.005659416677137508,0.0,0.02,0.00017391304347826088,0.016449700396993963,0.0,0.5639936445243674,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.020421028137207,-0.020421028137207,-0.020419482846942637,0.0015452902643644057,-1.5452902643632582e-06,-0.03368788953724833,0.00028549058929871465,1.6638225171530574,3.4499914828469427,-0.020421028137207,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.020421028137207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_knee_joint,MEASURED_REAL_TRAJECTORY,0.4953727722167969,0.3910378241686856,0.4952626451322219,-0.11012708457497497,-0.1042248209635363,-11.226143966924436,0.09513681327902064,0.4952626451322219,1.9132913548677781,0.4953727722167969,-0.10433494804811128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09962716343381552,0.0,0.0,0.3910378241686856,0.15,0.6,0.09962716343381552,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3945150375366211,0.3945150375366211,0.3945212262369396,0.006188700318508125,-6.18870031848795e-06,-0.18330290268584004,0.00509174729682889,3.4750272262369397,1.6387877737630605,0.3945150375366211,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3945150375366211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.008340835571289,-0.008340835571289,-0.008340773621711902,6.19495770991588e-05,-6.19495770983608e-08,1.231761774454541,0.03421560484595947,0.0527462263782881,3.053940773621712,-0.008340835571289,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.008340835571289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0116004943847656,-0.0116004943847656,-0.011600362593757811,0.0001317910077884323,-1.3179100778921982e-07,0.49622112452330547,0.020675880188471062,2.545307637406242,2.5685083625937577,-0.0116004943847656,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0116004943847656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,-0.0020980834960937,-0.0020980834960937,-0.0020982556687158824,-0.00017217262218222662,1.721726221822796e-07,-0.19135332140698713,0.08697878245772142,0.5738607443312841,0.5780572556687159,-0.0020980834960937,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0020980834960937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.0066757202148437,0.0066757202148437,0.006675711177115137,-9.037728562612123e-06,9.03772856292867e-09,0.043138900588530094,0.019608591176604587,1.5163857111771153,0.7176362888228848,0.0066757202148437,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0066757202148437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495850646319438
